"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","UK_retailPrice","thumbnailURL","imageURL"
7956,"Rescue Units",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,42,"https://brickset.com/sets/460-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/460-1.jpg","https://images.brickset.com/sets/images/460-1.jpg"
9360,"Kindergarten Set",1973,"Duplo","Pre-school",NA,"Normal",TRUE,NA,"https://brickset.com/sets/508-2",0,0,"Box","Retail",NA,8.75,NA,NA
7944,"Building set",1973,"Duplo","Pre-school",NA,"Normal",TRUE,31,"https://brickset.com/sets/515-2",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/515-2.jpg","https://images.brickset.com/sets/images/515-2.jpg"
7960,"Swiss villa",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,155,"https://brickset.com/sets/540-3",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/540-3.jpg","https://images.brickset.com/sets/images/540-3.jpg"
7957,"Conveyor Station",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,173,"https://brickset.com/sets/545-2",0,0,"Box","Retail",NA,NA,"https://images.brickset.com/sets/small/545-2.jpg","https://images.brickset.com/sets/images/545-2.jpg"
7551,"Police Heliport",1973,"LEGOLAND","Vintage","Building","Normal",TRUE,166,"https://brickset.com/sets/560-2",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/560-2.jpg","https://images.brickset.com/sets/images/560-2.jpg"
5283,"Fire House",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,239,"https://brickset.com/sets/570-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/570-1.jpg","https://images.brickset.com/sets/images/570-1.jpg"
7952,"Vintage car",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,41,"https://brickset.com/sets/610-1",0,0,"Box","Retail",NA,0.33,"https://images.brickset.com/sets/small/610-1.jpg","https://images.brickset.com/sets/images/610-1.jpg"
6696,"Police Car",1973,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,19,"https://brickset.com/sets/611-1",0,4,"Box","Retail",NA,0.33,"https://images.brickset.com/sets/small/611-1.jpg","https://images.brickset.com/sets/images/611-1.jpg"
6175,"Ambulance and Helicopter",1973,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,37,"https://brickset.com/sets/653-1",0,1,"Box","Retail",NA,0.55,"https://images.brickset.com/sets/small/653-1.jpg","https://images.brickset.com/sets/images/653-1.jpg"
7954,"Crane Truck",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,36,"https://brickset.com/sets/654-1",0,0,"Box","Retail",NA,0.55,"https://images.brickset.com/sets/small/654-1.jpg","https://images.brickset.com/sets/images/654-1.jpg"
7953,"Mobile Hydraulic Joist",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,36,"https://brickset.com/sets/655-1",0,0,"Box","Retail",NA,0.55,"https://images.brickset.com/sets/small/655-1.jpg","https://images.brickset.com/sets/images/655-1.jpg"
6334,"Digger and Tippers",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,70,"https://brickset.com/sets/686-1",0,0,"Box","Retail",NA,0.88,"https://images.brickset.com/sets/small/686-1.jpg","https://images.brickset.com/sets/images/686-1.jpg"
5097,"Caravelle Aeroplane",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,49,"https://brickset.com/sets/687-1",0,1,"Box","Retail",NA,0.88,"https://images.brickset.com/sets/small/687-1.jpg","https://images.brickset.com/sets/images/687-1.jpg"
6335,"Shell Tanker",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,63,"https://brickset.com/sets/688-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/688-1.jpg","https://images.brickset.com/sets/images/688-1.jpg"
5235,"Wrecker with Car",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,89,"https://brickset.com/sets/710-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/710-1.jpg","https://images.brickset.com/sets/images/710-1.jpg"
5236,"Steam Shovel with Carrier",1973,"LEGOLAND","Vintage",NA,"Normal",TRUE,101,"https://brickset.com/sets/730-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/730-1.jpg","https://images.brickset.com/sets/images/730-1.jpg"
7958,"Universal Motor Set",1973,"Basic","Basic",NA,"Normal",TRUE,32,"https://brickset.com/sets/900-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/900-1.jpg","https://images.brickset.com/sets/images/900-1.jpg"
4534,"Red Bricks",1973,"Basic","Basic","Supplementaries","Normal",TRUE,45,"https://brickset.com/sets/930-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/930-1.jpg","https://images.brickset.com/sets/images/930-1.jpg"
4536,"White Bricks",1973,"Basic","Basic","Supplementaries","Normal",TRUE,45,"https://brickset.com/sets/931-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/931-1.jpg","https://images.brickset.com/sets/images/931-1.jpg"
4537,"Blue and Yellow Bricks",1973,"Basic","Basic","Supplementaries","Normal",TRUE,45,"https://brickset.com/sets/932-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/932-1.jpg","https://images.brickset.com/sets/images/932-1.jpg"
4538,"Doors and Windows",1973,"Basic","Basic","Supplementaries","Normal",TRUE,38,"https://brickset.com/sets/933-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/933-1.jpg","https://images.brickset.com/sets/images/933-1.jpg"
4539,"Roof Bricks, 45°",1973,"Basic","Basic","Supplementaries","Normal",TRUE,55,"https://brickset.com/sets/934-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/934-1.jpg","https://images.brickset.com/sets/images/934-1.jpg"
4540,"Roof Bricks, 33°",1973,"Basic","Basic","Supplementaries","Normal",TRUE,43,"https://brickset.com/sets/935-1",0,1,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/935-1.jpg","https://images.brickset.com/sets/images/935-1.jpg"
4541,"Wheels and Tyres",1973,"Basic","Basic","Supplementaries","Normal",TRUE,20,"https://brickset.com/sets/936-1",0,1,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/936-1.jpg","https://images.brickset.com/sets/images/936-1.jpg"
4542,"Doors and Fences",1973,"Basic","Basic","Supplementaries","Normal",TRUE,34,"https://brickset.com/sets/937-1",0,1,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/937-1.jpg","https://images.brickset.com/sets/images/937-1.jpg"
4543,"Hinges and Turntables",1973,"Basic","Basic","Supplementaries","Normal",TRUE,17,"https://brickset.com/sets/938-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/938-1.jpg","https://images.brickset.com/sets/images/938-1.jpg"
4544,"Flags, Trees and Road Signs",1973,"Basic","Basic","Supplementaries","Normal",TRUE,19,"https://brickset.com/sets/939-1",0,0,"Box","Retail",NA,0.52,"https://images.brickset.com/sets/small/939-1.jpg","https://images.brickset.com/sets/images/939-1.jpg"
7945,"Flags, Signs and Trees",1973,"Basic","Basic","Supplementaries","Normal",TRUE,33,"https://brickset.com/sets/940-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/940-1.jpg","https://images.brickset.com/sets/images/940-1.jpg"
22706,"88 Piece Set",1973,"Samsonite","Vintage","Basic set","Other",TRUE,88,"https://brickset.com/sets/SAMSONITE-12",0,0,"Box","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/SAMSONITE-12.jpg","https://images.brickset.com/sets/images/SAMSONITE-12.jpg"
