"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
3099,"Basic Motor, 9V",1996,"Basic","Basic","Supplementaries","Normal",TRUE,27,NA,"https://brickset.com/sets/624-1",0,0,"{Not specified}","{Not specified}",5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/624-1.jpg","https://images.brickset.com/sets/images/624-1.jpg"
3116,"Building Plate, Green",1996,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/626-1",4.1,23,"Other","Retail",4,4.99,"2007-10-24T00:00:00Z","2014-12-02T00:00:00Z",7.49,"2009-05-08T00:00:00Z","2014-11-21T00:00:00Z",7.99,"2010-09-24T00:00:00Z","2014-12-02T00:00:00Z",25.5,25.5,0.35,0.12,"https://images.brickset.com/sets/small/626-1.jpg","https://images.brickset.com/sets/images/626-1.jpg"
3127,"Building Plate, Blue",1996,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/627-1",0,3,"{Not specified}","{Not specified}",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/627-1.jpg","https://images.brickset.com/sets/images/627-1.jpg"
5014,"X-Large Baseplate Grey",1996,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/628-1",3.9,19,"Shrink-wrapped","Retail",NA,14.99,"2007-10-24T00:00:00Z","2014-12-23T00:00:00Z",10.49,"2009-05-08T00:00:00Z","2015-01-13T00:00:00Z",19.99,"2010-09-24T00:00:00Z","2014-12-23T00:00:00Z",NA,NA,NA,0.25,"https://images.brickset.com/sets/small/628-1.jpg","https://images.brickset.com/sets/images/628-1.jpg"
3141,"Three Building Plates",1996,"Basic","Basic","Supplementaries","Normal",TRUE,3,NA,"https://brickset.com/sets/629-1",0,0,"{Not specified}","{Not specified}",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3148,"Brick Separator, Green",1996,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/630-1",4.4,27,"Polybag","Retail",NA,2.49,"2007-10-24T00:00:00Z","2011-12-03T00:00:00Z",1.99,"2009-05-08T00:00:00Z","2011-12-03T00:00:00Z",2.99,"2010-09-24T00:00:00Z","2011-12-03T00:00:00Z",NA,NA,NA,NA,"https://images.brickset.com/sets/small/630-1.jpg","https://images.brickset.com/sets/images/630-1.jpg"
3157,"Doors and Windows",1996,"Basic","Basic","Supplementaries","Normal",TRUE,52,NA,"https://brickset.com/sets/631-1",0,1,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/631-1.jpg","https://images.brickset.com/sets/images/631-1.jpg"
3168,"Wheels and Tyres",1996,"Basic","Basic","Supplementaries","Normal",TRUE,60,NA,"https://brickset.com/sets/632-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/632-1.jpg","https://images.brickset.com/sets/images/632-1.jpg"
3179,"Roof Tiles",1996,"Basic","Basic","Supplementaries","Normal",TRUE,50,NA,"https://brickset.com/sets/633-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/633-1.jpg","https://images.brickset.com/sets/images/633-1.jpg"
3190,"Extra Bricks in Red",1996,"Basic","Basic","Supplementaries","Normal",TRUE,62,NA,"https://brickset.com/sets/634-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/634-1.jpg","https://images.brickset.com/sets/images/634-1.jpg"
