"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","weight","height","width","depth","thumbnailURL","imageURL"
3020,"Forestmen's Hideout",1988,"Castle","Historical","Forestmen","Normal",TRUE,201,2,"https://brickset.com/sets/6054-1",4.4,14,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6054-1.jpg","https://images.brickset.com/sets/images/6054-1.jpg"
3048,"Black Monarch's Castle",1988,"Castle","Historical","Black Knights","Normal",TRUE,702,12,"https://brickset.com/sets/6085-1",4.7,34,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6085-1.jpg","https://images.brickset.com/sets/images/6085-1.jpg"
3066,"Castle Mini Figures",1988,"Castle","Historical","Accessories","Normal",TRUE,42,6,"https://brickset.com/sets/6103-1",4.2,9,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6103-1.jpg","https://images.brickset.com/sets/images/6103-1.jpg"
3156,"Town Mini-Figures",1988,"Town","Modern day","Accessories","Normal",TRUE,37,6,"https://brickset.com/sets/6309-1",3.8,3,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6309-1.jpg","https://images.brickset.com/sets/images/6309-1.jpg"
3163,"Road Signs",1988,"Town","Modern day","Accessories","Normal",TRUE,11,NA,"https://brickset.com/sets/6315-1",3.6,7,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6315-1.jpg","https://images.brickset.com/sets/images/6315-1.jpg"
3164,"Flags and Fences",1988,"Town","Modern day","Accessories","Normal",TRUE,38,NA,"https://brickset.com/sets/6316-1",4.1,2,"Box","Retail",NA,0.049,7.2,14.2,4.6,"https://images.brickset.com/sets/small/6316-1.jpg","https://images.brickset.com/sets/images/6316-1.jpg"
3165,"Trees and Flowers",1988,"Town","Modern day","Accessories","Normal",TRUE,24,NA,"https://brickset.com/sets/6317-1",4.1,2,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6317-1.jpg","https://images.brickset.com/sets/images/6317-1.jpg"
3199,"Holiday Villa",1988,"Town","Modern day","Leisure","Normal",TRUE,205,2,"https://brickset.com/sets/6349-1",4.3,5,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6349-1.jpg","https://images.brickset.com/sets/images/6349-1.jpg"
3207,"Med-Star Rescue Plane",1988,"Town","Modern day","Medical","Normal",TRUE,159,3,"https://brickset.com/sets/6356-1",4,7,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6356-1.jpg","https://images.brickset.com/sets/images/6356-1.jpg"
3208,"Stunt 'Copter N' Truck",1988,"Town","Modern day","Vehicles","Normal",TRUE,177,2,"https://brickset.com/sets/6357-1",4,9,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6357-1.jpg","https://images.brickset.com/sets/images/6357-1.jpg"
3250,"Metro Park & Service Tower",1988,"Town","Modern day","Shops and Services","Normal",TRUE,620,6,"https://brickset.com/sets/6394-1",4.2,11,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6394-1.jpg","https://images.brickset.com/sets/images/6394-1.jpg"
3251,"Victory Lap Raceway",1988,"Town","Modern day","Racing","Normal",TRUE,606,13,"https://brickset.com/sets/6395-1",4.4,10,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6395-1.jpg","https://images.brickset.com/sets/images/6395-1.jpg"
3352,"Sprint Racer",1988,"Town","Modern day","Racing","Normal",TRUE,32,1,"https://brickset.com/sets/6503-1",3.6,11,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6503-1.jpg","https://images.brickset.com/sets/images/6503-1.jpg"
3353,"Tractor",1988,"Town","Modern day","Construction","Normal",TRUE,25,1,"https://brickset.com/sets/6504-1",3.3,4,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6504-1.jpg","https://images.brickset.com/sets/images/6504-1.jpg"
3354,"Fire Chief's Car",1988,"Town","Modern day","Fire","Normal",TRUE,29,1,"https://brickset.com/sets/6505-1",3,3,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6505-1.jpg","https://images.brickset.com/sets/images/6505-1.jpg"
3380,"Blizzard Blazer",1988,"Town","Modern day","Maintenance","Normal",TRUE,50,1,"https://brickset.com/sets/6524-1",3.9,3,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6524-1.jpg","https://images.brickset.com/sets/images/6524-1.jpg"
3445,"Vacation Camper",1988,"Town","Modern day","Leisure","Normal",TRUE,116,2,"https://brickset.com/sets/6590-1",4,6,"Box","Retail",NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6590-1.jpg","https://images.brickset.com/sets/images/6590-1.jpg"
