"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
8672,"Boba Fett",2011,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853116-1",0,0,"{Not specified}","{Not specified}",NA,4.99,"2011-03-05T00:00:00Z","2012-03-07T00:00:00Z",2.99,"2011-03-29T00:00:00Z","2012-08-01T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2012-03-07T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853116-1.jpg","https://images.brickset.com/sets/images/853116-1.jpg"
8671,"Emperor Palpatine",2011,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853118-1",0,0,"{Not specified}","{Not specified}",NA,4.99,"2011-03-05T00:00:00Z","2011-12-27T00:00:00Z",2.99,"2011-03-29T00:00:00Z","2011-11-14T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2011-12-27T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853118-1.jpg","https://images.brickset.com/sets/images/853118-1.jpg"
8673,"Bossk",2011,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853125-1",0,0,"{Not specified}","{Not specified}",NA,4.99,"2011-03-05T00:00:00Z","2012-01-20T00:00:00Z",2.99,"2011-03-05T00:00:00Z","2011-12-26T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2012-01-20T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853125-1.jpg","https://images.brickset.com/sets/images/853125-1.jpg"
8676,"Star Wars Magnet Set",2011,"Gear","Miscellaneous","Magnets/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853126-1",0,1,"{Not specified}","{Not specified}",NA,14.99,"2011-03-05T00:00:00Z","2011-05-07T00:00:00Z",9.99,"2011-03-05T00:00:00Z","2011-05-11T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853126-1.jpg","https://images.brickset.com/sets/images/853126-1.jpg"
8674,"Cad Bane",2011,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853127-1",0,0,"{Not specified}","{Not specified}",NA,4.99,"2011-03-05T00:00:00Z","2012-01-04T00:00:00Z",2.99,"2011-03-05T00:00:00Z","2011-10-11T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2012-01-04T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853127-1.jpg","https://images.brickset.com/sets/images/853127-1.jpg"
8677,"Aayla Secura",2011,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853129-1",0,1,"{Not specified}","{Not specified}",NA,4.99,"2011-03-05T00:00:00Z","2011-10-25T00:00:00Z",2.99,"2011-03-05T00:00:00Z","2012-05-17T00:00:00Z",5.49,"2011-05-31T00:00:00Z","2011-10-25T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853129-1.jpg","https://images.brickset.com/sets/images/853129-1.jpg"
8675,"Star Wars Magnet Set",2011,"Gear","Miscellaneous","Magnets/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/853130-1",0,1,"{Not specified}","{Not specified}",NA,14.99,"2011-03-05T00:00:00Z","2011-12-27T00:00:00Z",9.99,"2011-03-05T00:00:00Z","2012-02-11T00:00:00Z",15.49,"2011-05-31T00:00:00Z","2011-12-27T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853130-1.jpg","https://images.brickset.com/sets/images/853130-1.jpg"
8772,"LEGO Signature Minifigure Towel",2011,"Gear","Miscellaneous","Housewares","Gear",TRUE,NA,NA,"https://brickset.com/sets/853131-1",0,1,"{Not specified}","{Not specified}",NA,14.99,"2011-09-09T00:00:00Z","2011-11-21T00:00:00Z",9.99,"2011-10-20T00:00:00Z","2011-11-19T00:00:00Z",15.49,"2011-09-09T00:00:00Z","2011-11-21T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853131-1.jpg","https://images.brickset.com/sets/images/853131-1.jpg"
9846,"LEGO Minifigure Mug",2011,"Gear","Miscellaneous","Housewares","Gear",TRUE,NA,NA,"https://brickset.com/sets/853132-1",0,0,"Tag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853132-1.jpg","https://images.brickset.com/sets/images/853132-1.jpg"
8681,"LEGO Signature Minifigure Umbrella",2011,"Gear","Miscellaneous","Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/853136-1",0,0,"{Not specified}","{Not specified}",NA,14.99,"2011-03-05T00:00:00Z","2011-07-06T00:00:00Z",9.99,"2011-03-05T00:00:00Z","2011-03-05T00:00:00Z",15.49,"2011-05-31T00:00:00Z","2011-07-21T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/853136-1.jpg","https://images.brickset.com/sets/images/853136-1.jpg"
