"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","height","width","depth","weight","thumbnailURL","imageURL"
7693,"Small house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,67,"https://brickset.com/sets/1-8",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1-8.jpg","https://images.brickset.com/sets/images/1-8.jpg"
7695,"Medium house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,109,"https://brickset.com/sets/2-8",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2-8.jpg","https://images.brickset.com/sets/images/2-8.jpg"
7697,"Medium house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,158,"https://brickset.com/sets/3-6",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/3-6.jpg","https://images.brickset.com/sets/images/3-6.jpg"
7698,"Large house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,233,"https://brickset.com/sets/4-4",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/4-4.jpg","https://images.brickset.com/sets/images/4-4.jpg"
25534,"Mini House and Vehicles",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,NA,"https://brickset.com/sets/4-6",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
7418,"Roadway Base Plate 50X50",1970,"Samsonite","Vintage","Supplemental","Normal",TRUE,1,"https://brickset.com/sets/078-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/078-1.jpg","https://images.brickset.com/sets/images/078-1.jpg"
7419,"4.5V Replacement Motor",1970,"Trains","Modern day","Supplemental / 4.5V","Normal",TRUE,1,"https://brickset.com/sets/104-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/104-1.jpg","https://images.brickset.com/sets/images/104-1.jpg"
6020,"Steam Locomotive (Push)",1970,"Trains","Modern day","4.5v","Normal",TRUE,60,"https://brickset.com/sets/126-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/126-1.jpg","https://images.brickset.com/sets/images/126-1.jpg"
22704,"4 Car Auto Transport",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,65,"https://brickset.com/sets/157-3",0,0,"Box","Retail - limited",10.16,20.32,5.08,NA,"https://images.brickset.com/sets/small/157-3.jpg","https://images.brickset.com/sets/images/157-3.jpg"
7421,"Big Model Book",1970,"Books","Miscellaneous","LEGO","Book",TRUE,NA,"https://brickset.com/sets/242-4",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/242-4.jpg","https://images.brickset.com/sets/images/242-4.jpg"
