"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
617,"Animal Friends",1995,"Freestyle","Basic",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/1836-1",0,0,"Box","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1836-1.jpg","https://images.brickset.com/sets/images/1836-1.jpg"
618,"Freestyle Set",1995,"Freestyle","Basic",NA,"Normal",TRUE,11,NA,"https://brickset.com/sets/1837-1",0,0,"Box","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1837-1.jpg","https://images.brickset.com/sets/images/1837-1.jpg"
619,"Animal Friends",1995,"Freestyle","Basic",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/1838-1",0,0,"Box","Promotional",5,NA,NA,NA,"https://images.brickset.com/sets/small/1838-1.jpg","https://images.brickset.com/sets/images/1838-1.jpg"
620,"Freestyle Set",1995,"Freestyle","Basic",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/1839-1",0,0,"Box","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1839-1.jpg","https://images.brickset.com/sets/images/1839-1.jpg"
5802,"Trial Size Bag",1995,"Freestyle","Basic",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/1840-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1840-1.jpg","https://images.brickset.com/sets/images/1840-1.jpg"
7229,"Large Green Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,90,3,"https://brickset.com/sets/1844-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
5803,"Trial Size Bag",1995,"Freestyle","Basic",NA,"Normal",TRUE,27,NA,"https://brickset.com/sets/1850-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1850-1.jpg","https://images.brickset.com/sets/images/1850-1.jpg"
22522,"Alligator Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,43,NA,"https://brickset.com/sets/1852-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA
5804,"Trial Size Bag",1995,"Freestyle","Basic",NA,"Normal",TRUE,30,1,"https://brickset.com/sets/1860-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1860-1.jpg","https://images.brickset.com/sets/images/1860-1.jpg"
22523,"Freestyle Trial Set",1995,"Freestyle","Basic",NA,"Normal",TRUE,11,NA,"https://brickset.com/sets/1863-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA
5805,"Trial Size Bag",1995,"Freestyle","Basic",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/1870-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1870-1.jpg","https://images.brickset.com/sets/images/1870-1.jpg"
670,"Surveillance Scooter",1995,"Space","Action/Adventure","Spyrius","Normal",TRUE,23,1,"https://brickset.com/sets/1954-1",3.6,2,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1954-1.jpg","https://images.brickset.com/sets/images/1954-1.jpg"
762,"Small Stack 'n' Learn Set",1995,"Duplo","Pre-school","Primo","Normal",TRUE,9,NA,"https://brickset.com/sets/2080-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2080-1.jpg","https://images.brickset.com/sets/images/2080-1.jpg"
