"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","thumbnailURL","imageURL"
1401,"Contraption Set",1999,"Freestyle","Basic",NA,"Normal",TRUE,27,1,"https://brickset.com/sets/3234-1",0,0,"Polybag","Promotional (Airline)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/3234-1.jpg","https://images.brickset.com/sets/images/3234-1.jpg"
1535,"McDonalds Restaurant",1999,"Town","Modern day","Special","Normal",TRUE,88,2,"https://brickset.com/sets/3438-1",4,6,"Box","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,14.4,19.2,4.8,"https://images.brickset.com/sets/small/3438-1.jpg","https://images.brickset.com/sets/images/3438-1.jpg"
1605,"Aeroplane",1999,"Znap","Technical",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/3505-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,9.6,19.2,4.8,"https://images.brickset.com/sets/small/3505-1.jpg","https://images.brickset.com/sets/images/3505-1.jpg"
1606,"Motorbike",1999,"Znap","Technical",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/3506-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,9.6,19.2,4.8,"https://images.brickset.com/sets/small/3506-1.jpg","https://images.brickset.com/sets/images/3506-1.jpg"
1618,"Forklift",1999,"Znap","Technical",NA,"Normal",TRUE,39,NA,"https://brickset.com/sets/3520-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,12,19.2,4.8,"https://images.brickset.com/sets/small/3520-1.jpg","https://images.brickset.com/sets/images/3520-1.jpg"
1619,"Racer",1999,"Znap","Technical",NA,"Normal",TRUE,35,NA,"https://brickset.com/sets/3521-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,12,19.2,4.8,"https://images.brickset.com/sets/small/3521-1.jpg","https://images.brickset.com/sets/images/3521-1.jpg"
1640,"Helicopter",1999,"Znap","Technical",NA,"Normal",TRUE,79,NA,"https://brickset.com/sets/3554-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,24,33.6,4.8,"https://images.brickset.com/sets/small/3554-1.jpg","https://images.brickset.com/sets/images/3554-1.jpg"
1641,"Jeep",1999,"Znap","Technical",NA,"Normal",TRUE,262,NA,"https://brickset.com/sets/3555-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/3555-1.jpg","https://images.brickset.com/sets/images/3555-1.jpg"
1657,"Super Constructor Set",1999,"Znap","Technical",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/3582-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,28.8,53.2,6,"https://images.brickset.com/sets/small/3582-1.jpg","https://images.brickset.com/sets/images/3582-1.jpg"
1828,"Robotics Invention System Upgrade Kit",1999,"Mindstorms","Technical","1.0","Normal",TRUE,70,NA,"https://brickset.com/sets/3803-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/3803-1.jpg","https://images.brickset.com/sets/images/3803-1.jpg"
24518,"Darth Vader",1999,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/3913-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24519,"Luke Skywalker",1999,"Gear","Miscellaneous","Key Chains/Star Wars","Gear",TRUE,NA,NA,"https://brickset.com/sets/3914-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4956,"Trial Classic Bag 3+",1999,"Classic","Basic",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/4281-1",0,0,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4281-1.jpg","https://images.brickset.com/sets/images/4281-1.jpg"
4957,"Trial Classic Bag 5+",1999,"Classic","Basic",NA,"Normal",TRUE,37,NA,"https://brickset.com/sets/4282-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4282-1.jpg","https://images.brickset.com/sets/images/4282-1.jpg"
4958,"Trial Size Box 3+",1999,"Classic","Basic",NA,"Normal",TRUE,53,NA,"https://brickset.com/sets/4283-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4283-1.jpg","https://images.brickset.com/sets/images/4283-1.jpg"
4959,"Trial Size Box 5+",1999,"Classic","Basic",NA,"Normal",TRUE,121,1,"https://brickset.com/sets/4284-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4284-1.jpg","https://images.brickset.com/sets/images/4284-1.jpg"
2062,"Basic Building Set, 5+",1999,"Basic","Basic",NA,"Normal",TRUE,256,1,"https://brickset.com/sets/4285-1",0,2,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4285-1.jpg","https://images.brickset.com/sets/images/4285-1.jpg"
4960,"Classic Bucket",1999,"Classic","Basic",NA,"Normal",TRUE,400,2,"https://brickset.com/sets/4288-1",0,5,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4288-1.jpg","https://images.brickset.com/sets/images/4288-1.jpg"
4961,"Big Box Playscape",1999,"Classic","Basic",NA,"Normal",TRUE,762,2,"https://brickset.com/sets/4291-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4291-1.jpg","https://images.brickset.com/sets/images/4291-1.jpg"
4963,"Value Pack",1999,"Classic","Basic",NA,"Normal",TRUE,806,NA,"https://brickset.com/sets/4293-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4293-1.jpg","https://images.brickset.com/sets/images/4293-1.jpg"
2175,"Rail Crossing",1999,"Trains","Modern day","9V","Normal",TRUE,1,NA,"https://brickset.com/sets/4519-1",3.9,3,"Box","Retail",NA,9.99,"2007-10-24T00:00:00Z","2008-09-11T00:00:00Z",7.99,"2007-10-24T00:00:00Z","2008-12-02T00:00:00Z",NA,NA,NA,"https://images.brickset.com/sets/small/4519-1.jpg","https://images.brickset.com/sets/images/4519-1.jpg"
2183,"Train Track Snow Remover",1999,"Trains","Modern day","9V","Normal",TRUE,58,1,"https://brickset.com/sets/4533-1",3.7,2,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4533-1.jpg","https://images.brickset.com/sets/images/4533-1.jpg"
2191,"Rail and Road Service Truck",1999,"Trains","Modern day","9V","Normal",TRUE,122,2,"https://brickset.com/sets/4541-1",4.1,2,"Box","Retail - limited",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4541-1.jpg","https://images.brickset.com/sets/images/4541-1.jpg"
2200,"Train Wash",1999,"Trains","Modern day","9V","Normal",TRUE,185,2,"https://brickset.com/sets/4553-1",3.3,5,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4553-1.jpg","https://images.brickset.com/sets/images/4553-1.jpg"
2203,"Train Station",1999,"Trains","Modern day","9V","Normal",TRUE,236,7,"https://brickset.com/sets/4556-1",3.7,4,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4556-1.jpg","https://images.brickset.com/sets/images/4556-1.jpg"
2204,"Freight Loading Station",1999,"Trains","Modern day","9V","Normal",TRUE,215,2,"https://brickset.com/sets/4557-1",0,4,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,28.8,28.8,7.2,"https://images.brickset.com/sets/small/4557-1.jpg","https://images.brickset.com/sets/images/4557-1.jpg"
2207,"Railway Express",1999,"Trains","Modern day","9V","Normal",TRUE,658,9,"https://brickset.com/sets/4560-1",0,1,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4560-1.jpg","https://images.brickset.com/sets/images/4560-1.jpg"
2208,"Railway Express",1999,"Trains","Modern day","9V","Normal",TRUE,665,9,"https://brickset.com/sets/4561-1",3.9,17,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,38.4,53.2,11.4,"https://images.brickset.com/sets/small/4561-1.jpg","https://images.brickset.com/sets/images/4561-1.jpg"
2352,"Ninja Knights",1999,"Castle","Historical","Ninja","Normal",TRUE,31,5,"https://brickset.com/sets/4805-1",3.8,5,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4805-1.jpg","https://images.brickset.com/sets/images/4805-1.jpg"
2379,"The Hover Scout",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,40,1,"https://brickset.com/sets/4910-1",4,15,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,7.2,9.6,4.8,"https://images.brickset.com/sets/small/4910-1.jpg","https://images.brickset.com/sets/images/4910-1.jpg"
2380,"Rapid Rider",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,39,1,"https://brickset.com/sets/4920-1",3.6,11,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,7.2,14.4,6,"https://images.brickset.com/sets/small/4920-1.jpg","https://images.brickset.com/sets/images/4920-1.jpg"
2383,"Rock Raiders Crew",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,46,5,"https://brickset.com/sets/4930-1",4.7,15,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4930-1.jpg","https://images.brickset.com/sets/images/4930-1.jpg"
2384,"The Granite Grinder",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,109,1,"https://brickset.com/sets/4940-1",4,17,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,14.4,24,6,"https://images.brickset.com/sets/small/4940-1.jpg","https://images.brickset.com/sets/images/4940-1.jpg"
2385,"The Loader-Dozer",1999,"Rock Raiders","Action/Adventure",NA,"Normal",TRUE,90,1,"https://brickset.com/sets/4950-1",4.3,19,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,19.2,24,7.2,"https://images.brickset.com/sets/small/4950-1.jpg","https://images.brickset.com/sets/images/4950-1.jpg"
2386,"The Loader-Dozer",1999,"Rock Raiders","Action/Adventure",NA,"Normal",FALSE,87,NA,"https://brickset.com/sets/4959-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
