"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","height","width","depth","thumbnailURL","imageURL"
5279,"Rescue Set",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,151,3,"https://brickset.com/sets/770-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/770-1.jpg","https://images.brickset.com/sets/images/770-1.jpg"
5280,"Road Construction Set",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,164,NA,"https://brickset.com/sets/780-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/780-1.jpg","https://images.brickset.com/sets/images/780-1.jpg"
4523,"Universal Motor Set",1976,"Universal Building Set","Basic",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/901-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/901-1.jpg","https://images.brickset.com/sets/images/901-1.jpg"
4524,"Advanced Basic Set, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,283,3,"https://brickset.com/sets/910-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/910-1.jpg","https://images.brickset.com/sets/images/910-1.jpg"
4525,"Advanced Basic Set, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,401,4,"https://brickset.com/sets/911-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/911-1.jpg","https://images.brickset.com/sets/images/911-1.jpg"
4526,"Advanced Basic Set with Motor, 6+",1976,"Basic","Basic",NA,"Normal",TRUE,471,3,"https://brickset.com/sets/912-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/912-1.jpg","https://images.brickset.com/sets/images/912-1.jpg"
7813,"LEGO Number/Symbol Blocks",1976,"Dacta","Educational",NA,"Normal",TRUE,100,NA,"https://brickset.com/sets/1011-1",0,0,"{Not specified}","{Not specified}",32,NA,NA,NA,"https://images.brickset.com/sets/small/1011-1.jpg","https://images.brickset.com/sets/images/1011-1.jpg"
7819,"Letter Bricks for Wall Board",1976,"Dacta","Educational",NA,"Normal",TRUE,150,NA,"https://brickset.com/sets/1017-1",0,0,"{Not specified}","{Not specified}",48,NA,NA,NA,"https://images.brickset.com/sets/small/1017-1.jpg","https://images.brickset.com/sets/images/1017-1.jpg"
7840,"Educational LEGO Building Set",1976,"Dacta","Educational",NA,"Normal",TRUE,683,NA,"https://brickset.com/sets/1045-2",0,0,"{Not specified}","{Not specified}",38.5,NA,NA,NA,NA,NA
6131,"House Accessories",1976,"Dacta","Educational","Supplementary Set","Normal",TRUE,204,NA,"https://brickset.com/sets/1074-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1074-1.jpg","https://images.brickset.com/sets/images/1074-1.jpg"
7861,"Supplementary Set",1976,"Dacta","Educational",NA,"Normal",TRUE,198,NA,"https://brickset.com/sets/1077-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1077-1.jpg","https://images.brickset.com/sets/images/1077-1.jpg"
418,"Airliner",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/1560-2",0,0,"{Not specified}","Promotional (Airline)",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1560-2.jpg","https://images.brickset.com/sets/images/1560-2.jpg"
420,"Airline Staff",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1561-2",0,1,"{Not specified}","Promotional (Airline)",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1561-2.jpg","https://images.brickset.com/sets/images/1561-2.jpg"
422,"Biplane",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/1562-3",0,0,"{Not specified}","Promotional (Airline)",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1562-3.jpg","https://images.brickset.com/sets/images/1562-3.jpg"
445,"Factory",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,194,2,"https://brickset.com/sets/1601-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1601-1.jpg","https://images.brickset.com/sets/images/1601-1.jpg"
7494,"Windmill",1976,"Basic","Basic",NA,"Other",TRUE,119,NA,"https://brickset.com/sets/WEETABIX2-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/WEETABIX2-1.jpg","https://images.brickset.com/sets/images/WEETABIX2-1.jpg"
7495,"House",1976,"Basic","Basic",NA,"Other",TRUE,140,2,"https://brickset.com/sets/WEETABIX3-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/WEETABIX3-1.jpg","https://images.brickset.com/sets/images/WEETABIX3-1.jpg"
7496,"House",1976,"Basic","Basic",NA,"Other",TRUE,143,2,"https://brickset.com/sets/WEETABIX4-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/WEETABIX4-1.jpg","https://images.brickset.com/sets/images/WEETABIX4-1.jpg"
