"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","height","width","depth","thumbnailURL","imageURL"
668,"Milk Truck",1989,"Town","Modern day","Special","Normal",TRUE,133,1,"https://brickset.com/sets/1952-1",0,1,"Box","Promotional",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1952-1.jpg","https://images.brickset.com/sets/images/1952-1.jpg"
669,"Mouse",1989,"Basic","Basic",NA,"Normal",TRUE,14,NA,"https://brickset.com/sets/1953-1",0,0,"Polybag","Unknown",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1953-1.jpg","https://images.brickset.com/sets/images/1953-1.jpg"
687,"Emirates Airliner",1989,"Town","Modern day","Special","Normal",TRUE,136,2,"https://brickset.com/sets/1973-1",0,0,"Box","Promotional (Airline)",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1973-1.jpg","https://images.brickset.com/sets/images/1973-1.jpg"
24545,"Triple Pack",1989,"Assorted","Miscellaneous",NA,"Collection",TRUE,159,NA,"https://brickset.com/sets/1974-1",0,0,"Box","Retail - limited",6,19,28.6,4.5,"https://images.brickset.com/sets/small/1974-1.jpg","https://images.brickset.com/sets/images/1974-1.jpg"
689,"Flyercracker USA",1989,"Town","Modern day","Flight","Normal",TRUE,74,1,"https://brickset.com/sets/1974-2",0,2,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1974-2.jpg","https://images.brickset.com/sets/images/1974-2.jpg"
690,"Smuggler's Hayride",1989,"Castle","Historical","Forestmen","Normal",TRUE,49,2,"https://brickset.com/sets/1974-3",3.8,4,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1974-3.jpg","https://images.brickset.com/sets/images/1974-3.jpg"
688,"Star Quest",1989,"Space","Action/Adventure","Futuron","Normal",TRUE,36,1,"https://brickset.com/sets/1974-4",3.9,2,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/1974-4.jpg","https://images.brickset.com/sets/images/1974-4.jpg"
738,"Rock 'n' Roller",1989,"Duplo","Pre-school","Baby","Normal",TRUE,3,NA,"https://brickset.com/sets/2040-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2040-1.jpg","https://images.brickset.com/sets/images/2040-1.jpg"
753,"Bath-Tub Buddies",1989,"Duplo","Pre-school","Baby","Normal",TRUE,2,NA,"https://brickset.com/sets/2066-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
758,"Baby Gift Pack",1989,"Duplo","Pre-school","Baby","Normal",TRUE,5,NA,"https://brickset.com/sets/2073-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
4936,"Baby Bath Set",1989,"Duplo","Pre-school","Baby","Normal",TRUE,10,NA,"https://brickset.com/sets/2074-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
913,"Duplo Bucket",1989,"Duplo","Pre-school",NA,"Normal",TRUE,82,2,"https://brickset.com/sets/2424-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2424-1.jpg","https://images.brickset.com/sets/images/2424-1.jpg"
9869,"Farm bucket",1989,"Duplo","Pre-school","Farm","Normal",TRUE,56,4,"https://brickset.com/sets/2426-1",0,0,"Tub","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2426-1.jpg","https://images.brickset.com/sets/images/2426-1.jpg"
6366,"{duplo box}",1989,"Duplo","Pre-school",NA,"Normal",TRUE,18,2,"https://brickset.com/sets/2430-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2430-1.jpg","https://images.brickset.com/sets/images/2430-1.jpg"
970,"Tow Truck",1989,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2617-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2617-1.jpg","https://images.brickset.com/sets/images/2617-1.jpg"
993,"Fishing Boat",1989,"Duplo","Pre-school",NA,"Normal",TRUE,15,2,"https://brickset.com/sets/2643-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1001,"Cannon Ball Clowns",1989,"Duplo","Pre-school",NA,"Normal",TRUE,5,2,"https://brickset.com/sets/2650-2",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2650-2.jpg","https://images.brickset.com/sets/images/2650-2.jpg"
1003,"Circus Artists and Elephant",1989,"Duplo","Pre-school",NA,"Normal",TRUE,6,3,"https://brickset.com/sets/2651-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1006,"Village Post Office",1989,"Duplo","Pre-school",NA,"Normal",TRUE,23,3,"https://brickset.com/sets/2656-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1007,"Service Station",1989,"Duplo","Pre-school",NA,"Normal",TRUE,43,2,"https://brickset.com/sets/2657-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2657-1.jpg","https://images.brickset.com/sets/images/2657-1.jpg"
1008,"Fire Station",1989,"Duplo","Pre-school",NA,"Normal",TRUE,57,4,"https://brickset.com/sets/2658-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2658-1.jpg","https://images.brickset.com/sets/images/2658-1.jpg"
