"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","thumbnailURL","imageURL"
641,"Large Play Bucket, 3+",1991,"Basic","Basic",NA,"Normal",TRUE,449,2,"https://brickset.com/sets/1882-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1882-1.jpg","https://images.brickset.com/sets/images/1882-1.jpg"
10116,"Pre-School Building Set (XL)",1991,"Duplo","Pre-school",NA,"Normal",TRUE,99,1,"https://brickset.com/sets/1977-2",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1977-2.jpg","https://images.brickset.com/sets/images/1977-2.jpg"
692,"Santa Claus",1991,"Basic","Basic","Seasonal","Normal",TRUE,39,NA,"https://brickset.com/sets/1978-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1978-1.jpg","https://images.brickset.com/sets/images/1978-1.jpg"
694,"Snowman",1991,"Basic","Basic","Seasonal","Normal",TRUE,42,NA,"https://brickset.com/sets/1979-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1979-1.jpg","https://images.brickset.com/sets/images/1979-1.jpg"
695,"Santa's Elves",1991,"Basic","Basic","Seasonal","Normal",TRUE,30,NA,"https://brickset.com/sets/1980-1",0,1,"Polybag","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1980-1.jpg","https://images.brickset.com/sets/images/1980-1.jpg"
855,"Red and Green Building Plates",1991,"Duplo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/2303-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2303-1.jpg","https://images.brickset.com/sets/images/2303-1.jpg"
858,"Large Red Building Plate",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2306-1",0,0,"Shrink-wrapped","Retail",NA,NA,NA,NA,NA,NA,NA,NA
865,"Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,29,NA,"https://brickset.com/sets/2313-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2313-1.jpg","https://images.brickset.com/sets/images/2313-1.jpg"
866,"Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,38,NA,"https://brickset.com/sets/2314-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2314-1.jpg","https://images.brickset.com/sets/images/2314-1.jpg"
868,"Pull Back Motor",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2318-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2318-1.jpg","https://images.brickset.com/sets/images/2318-1.jpg"
