"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
31026,"Police Station",2021,"Icons","Model making","Modular Buildings Collection","Normal",TRUE,2923,5,"https://brickset.com/sets/10278-1",4.4,4,"Box","LEGO exclusive",18,199.99,"2021-01-02T00:00:00Z",NA,169.99,"2021-01-01T00:00:00Z",NA,269.99,"2021-01-02T00:00:00Z",NA,199.99,"2021-01-02T00:00:00Z",NA,47.6,57.7,11.8,4.012,"https://images.brickset.com/sets/small/10278-1.jpg","https://images.brickset.com/sets/images/10278-1.jpg"
31754,"Volkswagen T2 Camper Van",2021,"Icons","Model making","Vehicles","Normal",TRUE,2207,NA,"https://brickset.com/sets/10279-1",4.1,0,"Box","LEGO exclusive",18,179.99,"2021-08-02T00:00:00Z","2022-11-12T00:00:00Z",139.99,"2021-08-01T00:00:00Z","2022-11-29T00:00:00Z",249.99,"2021-08-03T00:00:00Z","2022-11-12T00:00:00Z",159.99,"2021-08-02T00:00:00Z","2022-11-30T00:00:00Z",37.4,57.8,11.2,2.945,"https://images.brickset.com/sets/small/10279-1.jpg","https://images.brickset.com/sets/images/10279-1.jpg"
31025,"Flower Bouquet",2021,"Icons","Model making","Botanical Collection","Normal",TRUE,756,NA,"https://brickset.com/sets/10280-1",4.3,3,"Box","Retail",18,59.99,"2021-01-02T00:00:00Z",NA,54.99,"2021-01-01T00:00:00Z",NA,79.99,"2021-01-02T00:00:00Z",NA,59.99,"2021-01-02T00:00:00Z",NA,38.2,26.2,7.1,0.76,"https://images.brickset.com/sets/small/10280-1.jpg","https://images.brickset.com/sets/images/10280-1.jpg"
30970,"Bonsai Tree",2021,"Icons","Model making","Botanical Collection","Normal",TRUE,878,NA,"https://brickset.com/sets/10281-1",4.4,5,"Box","Retail",18,49.99,"2021-01-02T00:00:00Z",NA,44.99,"2021-01-01T00:00:00Z",NA,69.99,"2021-01-02T00:00:00Z",NA,49.99,"2021-01-02T00:00:00Z",NA,38.2,26.2,7.1,0.76,"https://images.brickset.com/sets/small/10281-1.jpg","https://images.brickset.com/sets/images/10281-1.jpg"
31725,"Adidas Originals Superstar",2021,"Icons","Model making","Adidas","Normal",TRUE,731,NA,"https://brickset.com/sets/10282-1",4.2,0,"Box","LEGO exclusive",18,79.99,"2021-07-03T00:00:00Z","2021-09-01T00:00:00Z",79.99,"2021-07-01T00:00:00Z","2021-09-01T00:00:00Z",109.99,"2021-07-03T00:00:00Z","2021-09-01T00:00:00Z",89.99,"2021-07-02T00:00:00Z","2021-09-01T00:00:00Z",11.2,32.2,19.7,NA,"https://images.brickset.com/sets/small/10282-1.jpg","https://images.brickset.com/sets/images/10282-1.jpg"
31849,"Adidas Originals Superstar X Footshop 'Blueprinting'",2021,"Icons","Model making","Adidas","Normal",TRUE,NA,NA,"https://brickset.com/sets/10282-2",0,0,"Box","Retail - limited",18,79.99,"2021-09-02T00:00:00Z","2022-11-24T00:00:00Z",79.99,"2021-09-02T00:00:00Z","2023-01-17T00:00:00Z",109.99,"2021-09-02T00:00:00Z","2022-12-18T00:00:00Z",89.99,"2021-09-02T00:00:00Z","2023-01-19T00:00:00Z",11.2,32.2,19.7,NA,"https://images.brickset.com/sets/small/10282-2.jpg","https://images.brickset.com/sets/images/10282-2.jpg"
31546,"NASA Space Shuttle Discovery",2021,"Icons","Model making","Space","Normal",TRUE,2354,NA,"https://brickset.com/sets/10283-1",4.6,2,"Box","LEGO exclusive",18,199.99,"2021-04-07T00:00:00Z",NA,169.99,"2021-04-07T00:00:00Z",NA,269.99,"2021-04-07T00:00:00Z",NA,199.99,"2021-04-08T00:00:00Z",NA,48,58.2,9.1,NA,"https://images.brickset.com/sets/small/10283-1.jpg","https://images.brickset.com/sets/images/10283-1.jpg"
31815,"Camp Nou - FC Barcelona",2021,"Icons","Model making","Stadiums","Normal",TRUE,5509,NA,"https://brickset.com/sets/10284-1",4.5,1,"Box","LEGO exclusive",18,349.99,"2021-09-03T00:00:00Z","2022-11-26T00:00:00Z",289.99,"2021-09-03T00:00:00Z","2022-09-09T00:00:00Z",449.99,"2021-09-03T00:00:00Z","2022-11-26T00:00:00Z",329.99,"2021-09-10T00:00:00Z","2022-09-21T00:00:00Z",48,58.2,17,NA,"https://images.brickset.com/sets/small/10284-1.jpg","https://images.brickset.com/sets/images/10284-1.jpg"
31629,"Bird of Paradise",2021,"Icons","Model making","Botanical Collection","Normal",TRUE,1173,NA,"https://brickset.com/sets/10289-1",4,1,"Box","Retail",18,99.99,"2021-06-19T00:00:00Z",NA,89.99,"2021-06-05T00:00:00Z",NA,139.99,"2021-06-19T00:00:00Z",NA,99.99,"2021-06-02T00:00:00Z",NA,48,28.2,9.1,1.363,"https://images.brickset.com/sets/small/10289-1.jpg","https://images.brickset.com/sets/images/10289-1.jpg"
31756,"Pickup Truck",2021,"Icons","Model making","Vehicles","Normal",TRUE,1677,NA,"https://brickset.com/sets/10290-1",4.2,3,"Box","LEGO exclusive",18,129.99,"2021-07-03T00:00:00Z",NA,114.99,"2021-10-01T00:00:00Z",NA,169.99,"2021-07-03T00:00:00Z",NA,129.99,"2021-10-02T00:00:00Z",NA,28.2,48,11.8,1.978,"https://images.brickset.com/sets/small/10290-1.jpg","https://images.brickset.com/sets/images/10290-1.jpg"
