"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
2802,"Fuel Pumper",1978,"Town","Modern day","Classic","Normal",TRUE,79,1,"https://brickset.com/sets/554-1",4.2,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/554-1.jpg","https://images.brickset.com/sets/images/554-1.jpg"
5301,"Coast Guard Station",1978,"Town","Modern day",NA,"Normal",TRUE,319,5,"https://brickset.com/sets/575-1",0,4,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/575-1.jpg","https://images.brickset.com/sets/images/575-1.jpg"
31781,"Coast Guard Station (Canadian version)",1978,"Town","Modern day",NA,"Normal",TRUE,284,5,"https://brickset.com/sets/575-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/575-2.jpg","https://images.brickset.com/sets/images/575-2.jpg"
2925,"Engine Co. No. 9",1978,"Town","Modern day",NA,"Normal",TRUE,353,4,"https://brickset.com/sets/590-1",4,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/590-1.jpg","https://images.brickset.com/sets/images/590-1.jpg"
2972,"Police Car",1978,"Town","Modern day","Classic","Normal",TRUE,23,1,"https://brickset.com/sets/600-2",3.4,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/600-2.jpg","https://images.brickset.com/sets/images/600-2.jpg"
2979,"Shell Filling Station",1978,"Town","Modern day","Classic","Normal",TRUE,13,1,"https://brickset.com/sets/601-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/601-1.jpg","https://images.brickset.com/sets/images/601-1.jpg"
2987,"Fire Chief's Car",1978,"Town","Modern day","Classic","Normal",TRUE,29,1,"https://brickset.com/sets/602-1",3.3,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/602-1.jpg","https://images.brickset.com/sets/images/602-1.jpg"
2997,"Motorbike",1978,"Town","Modern day","Classic","Normal",TRUE,26,1,"https://brickset.com/sets/603-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/603-1.jpg","https://images.brickset.com/sets/images/603-1.jpg"
7124,"Shell Service Car",1978,"Town","Modern day","Classic","Normal",TRUE,28,1,"https://brickset.com/sets/604-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/604-1.jpg","https://images.brickset.com/sets/images/604-1.jpg"
3019,"Street Crew",1978,"Town","Modern day","Classic","Normal",TRUE,18,1,"https://brickset.com/sets/605-1",3.4,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/605-1.jpg","https://images.brickset.com/sets/images/605-1.jpg"
3025,"Ambulance",1978,"Town","Modern day","Classic","Normal",TRUE,30,1,"https://brickset.com/sets/606-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/606-1.jpg","https://images.brickset.com/sets/images/606-1.jpg"
3089,"Fire Truck",1978,"Town","Modern day","Classic","Normal",TRUE,37,1,"https://brickset.com/sets/620-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/620-1.jpg","https://images.brickset.com/sets/images/620-1.jpg"
3091,"Police Car",1978,"Town","Modern day","Classic","Normal",TRUE,39,1,"https://brickset.com/sets/621-1",3.8,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/621-1.jpg","https://images.brickset.com/sets/images/621-1.jpg"
3092,"Tipper Truck",1978,"Town","Modern day","Classic","Normal",TRUE,45,NA,"https://brickset.com/sets/622-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/622-1.jpg","https://images.brickset.com/sets/images/622-1.jpg"
