"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","thumbnailURL","imageURL"
23464,"Castle Minifigures",1984,"Castle","Historical","Classic","Normal",TRUE,10,6,"https://brickset.com/sets/15-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
123,"Mail Van",1984,"Town","Modern day","Special","Normal",TRUE,65,1,"https://brickset.com/sets/105-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/105-1.jpg","https://images.brickset.com/sets/images/105-1.jpg"
27121,"The Building Book",1984,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/226-4",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/226-4.jpg","https://images.brickset.com/sets/images/226-4.jpg"
1327,"Basic Building Set, 3+",1984,"Basic","Basic",NA,"Normal",TRUE,83,NA,"https://brickset.com/sets/311-3",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/311-3.jpg","https://images.brickset.com/sets/images/311-3.jpg"
2716,"Basic Building Set, 5+",1984,"Basic","Basic",NA,"Normal",TRUE,89,NA,"https://brickset.com/sets/533-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/533-1.jpg","https://images.brickset.com/sets/images/533-1.jpg"
8417,"Storage Cabinet",1984,"Gear","Miscellaneous","Storage","Gear",TRUE,NA,NA,"https://brickset.com/sets/759-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/759-1.jpg","https://images.brickset.com/sets/images/759-1.jpg"
10172,"Storage Cabinet",1984,"Gear","Miscellaneous","Storage","Gear",TRUE,NA,NA,"https://brickset.com/sets/760-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
10090,"Fabuland Characters",1984,"Fabuland","Junior",NA,"Normal",TRUE,NA,2,"https://brickset.com/sets/801-4",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/801-4.jpg","https://images.brickset.com/sets/images/801-4.jpg"
7814,"Mosaic Set",1984,"Dacta","Educational",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1012-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1012-1.jpg","https://images.brickset.com/sets/images/1012-1.jpg"
5048,"Technic II Powered Machines Set",1984,"Dacta","Educational","Technic","Normal",TRUE,278,NA,"https://brickset.com/sets/1032-1",0,1,"{Not specified}","{Not specified}",80,"https://images.brickset.com/sets/small/1032-1.jpg","https://images.brickset.com/sets/images/1032-1.jpg"
7847,"Basic Pack",1984,"Dacta","Educational",NA,"Normal",TRUE,396,6,"https://brickset.com/sets/1051-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1051-1.jpg","https://images.brickset.com/sets/images/1051-1.jpg"
7848,"{Spare Elements}",1984,"Dacta","Educational",NA,"Normal",TRUE,699,NA,"https://brickset.com/sets/1052-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1052-1.jpg","https://images.brickset.com/sets/images/1052-1.jpg"
7849,"Community Buildings",1984,"Dacta","Educational",NA,"Normal",TRUE,914,NA,"https://brickset.com/sets/1053-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1053-1.jpg","https://images.brickset.com/sets/images/1053-1.jpg"
7867,"{Spare Elements - Structures}",1984,"Dacta","Educational",NA,"Normal",TRUE,198,NA,"https://brickset.com/sets/1084-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1084-1.jpg","https://images.brickset.com/sets/images/1084-1.jpg"
30659,"Upper part of housing for 4.5V/12V train motor",1984,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/1214-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1214-1.jpg","https://images.brickset.com/sets/images/1214-1.jpg"
22450,"Trial Pack Duck",1984,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1900-1",0,0,"Box","Retail - limited",NA,NA,NA
5919,"Trial Size Offer",1984,"Basic","Basic",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/1901-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1901-1.jpg","https://images.brickset.com/sets/images/1901-1.jpg"
22451,"Basic Building Set with Storage Case",1984,"Basic","Basic",NA,"Normal",TRUE,83,NA,"https://brickset.com/sets/1932-1",0,0,"Other","Retail - limited",NA,NA,NA
22452,"Basic Set with Storage Case",1984,"Basic","Basic",NA,"Normal",TRUE,137,NA,"https://brickset.com/sets/1954-2",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/1954-2.jpg","https://images.brickset.com/sets/images/1954-2.jpg"
8427,"Town 3-Pack",1984,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,97,NA,"https://brickset.com/sets/1976-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1976-1.jpg","https://images.brickset.com/sets/images/1976-1.jpg"
22453,"Town Value Pack",1984,"Town","Modern day","Product Collection","Collection",TRUE,78,NA,"https://brickset.com/sets/1979-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA
696,"Space Value Pack",1984,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,97,NA,"https://brickset.com/sets/1983-1",0,0,"Blister pack","{Not specified}",NA,"https://images.brickset.com/sets/small/1983-1.jpg","https://images.brickset.com/sets/images/1983-1.jpg"
748,"Squirrel Rattle",1984,"Duplo","Pre-school","Baby","Normal",TRUE,2,NA,"https://brickset.com/sets/2054-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
749,"Rocking Horse",1984,"Duplo","Pre-school","Baby","Normal",TRUE,2,1,"https://brickset.com/sets/2055-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
857,"Base Plate, Red",1984,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2305-1",0,0,"{Not specified}","{Not specified}",10,NA,NA
859,"Supplementary Set",1984,"Duplo","Pre-school",NA,"Normal",TRUE,18,NA,"https://brickset.com/sets/2307-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
861,"Supplementary Set",1984,"Duplo","Pre-school",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/2309-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2309-1.jpg","https://images.brickset.com/sets/images/2309-1.jpg"
876,"Basic Set Animal",1984,"Duplo","Pre-school",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/2335-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2335-1.jpg","https://images.brickset.com/sets/images/2335-1.jpg"
883,"Basic Set House",1984,"Duplo","Pre-school",NA,"Normal",TRUE,15,2,"https://brickset.com/sets/2345-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
887,"Basic Set Vehicles",1984,"Duplo","Pre-school",NA,"Normal",TRUE,25,2,"https://brickset.com/sets/2355-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
897,"Basic Set Town",1984,"Duplo","Pre-school",NA,"Normal",TRUE,53,4,"https://brickset.com/sets/2375-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
971,"Deep Sea Diver",1984,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2618-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
972,"Helicopter",1984,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2619-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2619-1.jpg","https://images.brickset.com/sets/images/2619-1.jpg"
985,"Tow Truck",1984,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2636-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
991,"Petrol Station",1984,"Duplo","Pre-school",NA,"Normal",TRUE,12,2,"https://brickset.com/sets/2639-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2639-1.jpg","https://images.brickset.com/sets/images/2639-1.jpg"
999,"Sea Explorer",1984,"Duplo","Pre-school",NA,"Normal",TRUE,36,3,"https://brickset.com/sets/2649-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2649-1.jpg","https://images.brickset.com/sets/images/2649-1.jpg"
1056,"Train Points",1984,"Duplo","Pre-school","Trains","Normal",TRUE,10,NA,"https://brickset.com/sets/2713-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
1058,"Train Bridge",1984,"Duplo","Pre-school","Trains","Normal",TRUE,5,NA,"https://brickset.com/sets/2717-1",0,0,"{Not specified}","{Not specified}",9,NA,NA
1697,"Percy Pilot",1984,"Fabuland","Junior",NA,"Normal",TRUE,8,1,"https://brickset.com/sets/3630-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3630-1.jpg","https://images.brickset.com/sets/images/3630-1.jpg"
1705,"Paddy Wagon",1984,"Fabuland","Junior",NA,"Normal",TRUE,9,2,"https://brickset.com/sets/3639-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3639-1.jpg","https://images.brickset.com/sets/images/3639-1.jpg"
1725,"Bertie Bulldog (Police Chief) and Constable Bulldog",1984,"Fabuland","Junior",NA,"Normal",TRUE,63,2,"https://brickset.com/sets/3664-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3664-1.jpg","https://images.brickset.com/sets/images/3664-1.jpg"
