"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
428,"Happy Face Carry Case",1994,"Duplo","Pre-school",NA,"Normal",TRUE,30,NA,"https://brickset.com/sets/1576-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
6317,"Mini Box, 3+",1994,"Basic","Basic",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/1701-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1701-1.jpg","https://images.brickset.com/sets/images/1701-1.jpg"
516,"Fire Fighter 4 x 4",1994,"Town","Modern day","Fire","Normal",TRUE,59,1,"https://brickset.com/sets/1702-1",3.1,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1702-1.jpg","https://images.brickset.com/sets/images/1702-1.jpg"
22502,"Dalmatian Station Building Set",1994,"Basic","Basic",NA,"Normal",TRUE,172,NA,"https://brickset.com/sets/1703-1",0,0,"Other","Retail - limited",NA,NA,NA
519,"(Unnamed)",1994,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,47,1,"https://brickset.com/sets/1704-1",3.6,4,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1704-1.jpg","https://images.brickset.com/sets/images/1704-1.jpg"
22503,"Large Dinosaur Bucket",1994,"Basic","Basic",NA,"Normal",TRUE,329,NA,"https://brickset.com/sets/1705-2",0,0,"Bucket","Retail - limited",NA,NA,NA
22504,"Small Bucket",1994,"Basic","Basic",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1706-2",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/1706-2.jpg","https://images.brickset.com/sets/images/1706-2.jpg"
5212,"Blue Ribbon Savings!",1994,"Basic","Basic",NA,"Normal",TRUE,650,NA,"https://brickset.com/sets/1708-1",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/1708-2.jpg","https://images.brickset.com/sets/images/1708-2.jpg"
22505,"Small Bucket",1994,"Basic","Basic",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1709-2",0,0,"Bucket","Retail",NA,NA,NA
526,"Snowmobile",1994,"Town","Modern day","Leisure","Normal",TRUE,24,1,"https://brickset.com/sets/1710-1",3.4,1,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1710-1.jpg","https://images.brickset.com/sets/images/1710-1.jpg"
