"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
2102,"Blue Strata XXL",2004,"Creator","Model making",NA,"Normal",TRUE,1200,NA,"https://brickset.com/sets/4411-1",0,2,"Tub","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4411-1.jpg","https://images.brickset.com/sets/images/4411-1.jpg"
2103,"Olympia Bucket",2004,"Creator","Model making",NA,"Normal",TRUE,200,NA,"https://brickset.com/sets/4412-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4412-1.jpg","https://images.brickset.com/sets/images/4412-1.jpg"
4973,"Creator Half Tub Blue",2004,"Creator","Model making",NA,"Normal",TRUE,500,NA,"https://brickset.com/sets/4414-1",0,0,"Tub","Retail",NA,NA,NA,NA,9.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4414-1.jpg","https://images.brickset.com/sets/images/4414-1.jpg"
2105,"Better Building More Fun",2004,"Creator","Model making",NA,"Normal",TRUE,2000,NA,"https://brickset.com/sets/4425-1",0,0,"Tub","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4425-1.jpg","https://images.brickset.com/sets/images/4425-1.jpg"
2153,"Star Destroyer",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,87,NA,"https://brickset.com/sets/4492-1",3.8,16,"Blister pack","Retail",NA,7,NA,NA,6.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4492-1.jpg","https://images.brickset.com/sets/images/4492-1.jpg"
2154,"Sith Infiltrator",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,55,NA,"https://brickset.com/sets/4493-1",3.4,5,"Blister pack","Retail",NA,6.99,NA,NA,6.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4493-1.jpg","https://images.brickset.com/sets/images/4493-1.jpg"
2155,"Imperial Shuttle",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,82,NA,"https://brickset.com/sets/4494-1",4,10,"Blister pack","Retail",NA,7,NA,NA,6.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4494-1.jpg","https://images.brickset.com/sets/images/4494-1.jpg"
2156,"AT-TE",2004,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,63,NA,"https://brickset.com/sets/4495-1",3.8,8,"Blister pack","Retail",NA,7,NA,NA,6.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4495-1.jpg","https://images.brickset.com/sets/images/4495-1.jpg"
2157,"Fun with Building Tub",2004,"Creator","Model making",NA,"Normal",TRUE,1000,NA,"https://brickset.com/sets/4496-1",0,5,"Tub","Retail",NA,20,NA,NA,19.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4496-1.jpg","https://images.brickset.com/sets/images/4496-1.jpg"
2158,"Pretend and Create",2004,"Creator","Model making",NA,"Normal",TRUE,1000,NA,"https://brickset.com/sets/4497-1",0,0,"Tub","Retail",NA,20,NA,NA,29.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4497-1.jpg","https://images.brickset.com/sets/images/4497-1.jpg"
2160,"Rebel Snowspeeder",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,214,3,"https://brickset.com/sets/4500-1",4.1,45,"Box","Retail",NA,20,NA,NA,19.99,NA,NA,19.2,28.8,6,0.28,"https://images.brickset.com/sets/small/4500-1.jpg","https://images.brickset.com/sets/images/4500-1.jpg"
2161,"Mos Eisley Cantina",2004,"Star Wars","Licensed","Episode IV","Normal",TRUE,193,5,"https://brickset.com/sets/4501-1",4.1,35,"Box","Retail",NA,30,NA,NA,27.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4501-1.jpg","https://images.brickset.com/sets/images/4501-1.jpg"
2162,"X-wing Fighter",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,563,3,"https://brickset.com/sets/4502-1",4.4,43,"Box","Retail",NA,50,NA,NA,49.99,NA,NA,28.8,38.4,7.2,0.74,"https://images.brickset.com/sets/small/4502-1.jpg","https://images.brickset.com/sets/images/4502-1.jpg"
2163,"Millennium Falcon",2004,"Star Wars","Licensed","Episode V","Normal",TRUE,985,5,"https://brickset.com/sets/4504-1",4.5,48,"Box","Retail",NA,100,NA,NA,99.99,NA,NA,38.4,57.6,9.6,1.83,"https://images.brickset.com/sets/small/4504-1.jpg","https://images.brickset.com/sets/images/4504-1.jpg"
