"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight","thumbnailURL","imageURL"
2513,"Micro Motor 9V",1993,"Service Packs","Miscellaneous",NA,"Normal",TRUE,4,NA,"https://brickset.com/sets/5119-1",0,0,"Polybag","LEGO exclusive",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5119-1.jpg","https://images.brickset.com/sets/images/5119-1.jpg"
2514,"Polarity Reversal Switch for 8082 (9V)",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,3,NA,"https://brickset.com/sets/5120-1",0,0,"Polybag","LEGO exclusive",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5120-1.jpg","https://images.brickset.com/sets/images/5120-1.jpg"
2624,"Small Beams and Plates",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,26,NA,"https://brickset.com/sets/5233-2",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2627,"10 Large Technic Beams Black",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,10,NA,"https://brickset.com/sets/5235-1",0,0,"Polybag","LEGO exclusive",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5235-1.jpg","https://images.brickset.com/sets/images/5235-1.jpg"
2646,"Shock Absorbers Large",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,2,NA,"https://brickset.com/sets/5252-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5252-1.jpg","https://images.brickset.com/sets/images/5252-1.jpg"
2661,"Assorted Cross Axles",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,16,NA,"https://brickset.com/sets/5267-1",0,0,"Polybag","LEGO exclusive",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5267-1.jpg","https://images.brickset.com/sets/images/5267-1.jpg"
2669,"Toggle Joints and Connector Pegs and Rods",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,48,NA,"https://brickset.com/sets/5275-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5275-1.jpg","https://images.brickset.com/sets/images/5275-1.jpg"
2670,"Gear Wheels, Worm Gears and Racks, Universal Joints",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,23,NA,"https://brickset.com/sets/5276-1",0,0,"Polybag","LEGO exclusive",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5276-1.jpg","https://images.brickset.com/sets/images/5276-1.jpg"
2671,"Wedge Belt, Pulleys and V-Belts",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,12,NA,"https://brickset.com/sets/5277-1",0,0,"Polybag","LEGO exclusive",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5277-1.jpg","https://images.brickset.com/sets/images/5277-1.jpg"
2673,"Steering Elements, Plates and Gear Racks",1993,"Service Packs","Miscellaneous","Technic","Normal",TRUE,16,NA,"https://brickset.com/sets/5279-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5279-1.jpg","https://images.brickset.com/sets/images/5279-1.jpg"
