"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","height","width","depth","thumbnailURL","imageURL"
3469,"Fire Chief's Car",1986,"Town","Modern day","Fire","Normal",TRUE,29,1,"https://brickset.com/sets/6612-1",2.9,3,"Box","Retail",NA,NA,NA,5.8,9.5,3.7,"https://images.brickset.com/sets/small/6612-1.jpg","https://images.brickset.com/sets/images/6612-1.jpg"
3470,"Telephone Booth",1986,"Town","Modern day","Shops and Services","Normal",TRUE,24,1,"https://brickset.com/sets/6613-1",3.8,6,"Box","Retail",NA,NA,NA,5.8,9.5,3.8,"https://images.brickset.com/sets/small/6613-1.jpg","https://images.brickset.com/sets/images/6613-1.jpg"
3491,"Stock Car",1986,"Town","Modern day","Racing","Normal",TRUE,47,1,"https://brickset.com/sets/6634-1",3.9,8,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6634-1.jpg","https://images.brickset.com/sets/images/6634-1.jpg"
3512,"Bulldozer",1986,"Town","Modern day","Construction","Normal",TRUE,65,1,"https://brickset.com/sets/6658-1",3.8,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6658-1.jpg","https://images.brickset.com/sets/images/6658-1.jpg"
3513,"TV Camera Crew",1986,"Town","Modern day","Vehicles","Normal",TRUE,64,2,"https://brickset.com/sets/6659-1",3.6,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6659-1.jpg","https://images.brickset.com/sets/images/6659-1.jpg"
3530,"Mobile Command Unit",1986,"Town","Modern day","Police","Normal",TRUE,100,2,"https://brickset.com/sets/6676-1",3.9,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6676-1.jpg","https://images.brickset.com/sets/images/6676-1.jpg"
3531,"Motocross Racing",1986,"Town","Modern day","Racing","Normal",TRUE,72,1,"https://brickset.com/sets/6677-1",4.1,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6677-1.jpg","https://images.brickset.com/sets/images/6677-1.jpg"
3553,"RV with Speedboat",1986,"Town","Modern day","Leisure","Normal",TRUE,129,1,"https://brickset.com/sets/6698-1",4.3,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6698-1.jpg","https://images.brickset.com/sets/images/6698-1.jpg"
3557,"Space Mini-Figures",1986,"Space","Action/Adventure","Classic","Normal",TRUE,56,6,"https://brickset.com/sets/6702-1",4.4,4,"Box","Retail",NA,5,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6702-1.jpg","https://images.brickset.com/sets/images/6702-1.jpg"
3592,"Sonic Robot",1986,"Space","Action/Adventure","Classic","Normal",TRUE,103,2,"https://brickset.com/sets/6750-1",3.9,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6750-1.jpg","https://images.brickset.com/sets/images/6750-1.jpg"
