"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
133,"Bulk Bucket",2000,"Duplo","Pre-school",NA,"Normal",TRUE,48,NA,"https://brickset.com/sets/1086-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1086-1.jpg","https://images.brickset.com/sets/images/1086-1.jpg"
174,"Santa's Truck",2000,"Town","Modern day","Special","Normal",TRUE,27,1,"https://brickset.com/sets/1177-1",0,1,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1177-1.jpg","https://images.brickset.com/sets/images/1177-1.jpg"
189,"Telekom Race Cyclist",2000,"Town","Modern day","Telekom","Normal",TRUE,7,1,"https://brickset.com/sets/1196-1",3.4,3,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1196-1.jpg","https://images.brickset.com/sets/images/1196-1.jpg"
190,"Telekom Race Cyclist and Television Motorbike",2000,"Town","Modern day","Telekom","Normal",TRUE,26,3,"https://brickset.com/sets/1197-1",0,1,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,14.4,4.8,NA,"https://images.brickset.com/sets/small/1197-1.jpg","https://images.brickset.com/sets/images/1197-1.jpg"
191,"Telekom Race Cyclists and Service Crew",2000,"Town","Modern day","Telekom","Normal",TRUE,81,3,"https://brickset.com/sets/1198-1",0,2,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,24,4.8,NA,"https://images.brickset.com/sets/small/1198-1.jpg","https://images.brickset.com/sets/images/1198-1.jpg"
192,"Telekom Race Cyclists and Winners' Podium",2000,"Town","Modern day","Telekom","Normal",TRUE,129,8,"https://brickset.com/sets/1199-1",0,1,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,28.8,4.8,NA,"https://images.brickset.com/sets/small/1199-1.jpg","https://images.brickset.com/sets/images/1199-1.jpg"
213,"Tea With Bumble Bee",2000,"Duplo","Pre-school","Little Forest Friends","Normal",TRUE,10,2,"https://brickset.com/sets/1261-1",0,0,"{Not specified}","Promotional (Airline)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/1261-1.jpg","https://images.brickset.com/sets/images/1261-1.jpg"
214,"Easter Bunny",2000,"Seasonal","Miscellaneous","Easter","Normal",TRUE,27,NA,"https://brickset.com/sets/1263-1",0,0,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,9.6,4.8,NA,"https://images.brickset.com/sets/small/1263-1.jpg","https://images.brickset.com/sets/images/1263-1.jpg"
215,"Easter Chicks",2000,"Seasonal","Miscellaneous","Easter","Normal",TRUE,26,NA,"https://brickset.com/sets/1264-1",0,0,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,9.6,4.8,NA,"https://images.brickset.com/sets/small/1264-1.jpg","https://images.brickset.com/sets/images/1264-1.jpg"
221,"Blue Racer",2000,"Town","Modern day","Race","Normal",TRUE,23,1,"https://brickset.com/sets/1272-1",0,1,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,9.6,3.9,NA,"https://images.brickset.com/sets/small/1272-1.jpg","https://images.brickset.com/sets/images/1272-1.jpg"
222,"Red Four Wheel Driver",2000,"Town","Modern day","Race","Normal",TRUE,20,1,"https://brickset.com/sets/1273-1",0,0,"Box","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,9.6,3.9,NA,"https://images.brickset.com/sets/small/1273-1.jpg","https://images.brickset.com/sets/images/1273-1.jpg"
