"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
31588,"Space Mini-Figures",1982,"Space","Action/Adventure","Classic","Normal",TRUE,24,4,"https://brickset.com/sets/14-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/14-1.jpg","https://images.brickset.com/sets/images/14-1.jpg"
2970,"Basic Building Set, 5+",1982,"Basic","Basic",NA,"Normal",TRUE,748,3,"https://brickset.com/sets/599-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/599-1.jpg","https://images.brickset.com/sets/images/599-1.jpg"
5047,"Technic I Simple Machines Set",1982,"Dacta","Educational","Technic","Normal",TRUE,178,NA,"https://brickset.com/sets/1030-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1030-1.jpg","https://images.brickset.com/sets/images/1030-1.jpg"
6513,"Little People with Accessories",1982,"Dacta","Educational","Town","Normal",TRUE,138,36,"https://brickset.com/sets/1066-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1066-1.jpg","https://images.brickset.com/sets/images/1066-1.jpg"
7864,"Roof Bricks",1982,"Dacta","Educational",NA,"Normal",TRUE,336,NA,"https://brickset.com/sets/1082-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1082-1.jpg","https://images.brickset.com/sets/images/1082-1.jpg"
26888,"Hooks",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1201-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
22614,"Keys for wind-up motor",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1205-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1205-1.jpg","https://images.brickset.com/sets/images/1205-1.jpg"
9119,"{Fences and Gates}",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/1209-1",0,0,"Polybag","LEGO exclusive",NA,"https://images.brickset.com/sets/small/1209-1.jpg","https://images.brickset.com/sets/images/1209-1.jpg"
195,"Space Stands and Brackets",1982,"Service Packs","Miscellaneous","Space","Normal",TRUE,8,NA,"https://brickset.com/sets/1211-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA
31380,"Rocket tops",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1212-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
31381,"Space Radar Disks",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/1213-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
24044,"Yellow beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1221-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24046,"Blue beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1222-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24047,"Black beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1223-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24045,"Red beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1224-1",0,0,"Polybag","{Not specified}",NA,NA,NA
22615,"Tractor wheels and tyres",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/1226-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1226-1.jpg","https://images.brickset.com/sets/images/1226-1.jpg"
31379,"Chain links",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,70,NA,"https://brickset.com/sets/1229-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1229-1.jpg","https://images.brickset.com/sets/images/1229-1.jpg"
436,"Breakdown Assistance",1982,"Town","Modern day","Special","Normal",TRUE,233,4,"https://brickset.com/sets/1590-2",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1590-2.jpg","https://images.brickset.com/sets/images/1590-2.jpg"
22544,"Pampers Gift Pack",1982,"Duplo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/1600-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1600-1.jpg","https://images.brickset.com/sets/images/1600-1.jpg"
