"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","thumbnailURL","imageURL"
26980,"Light Prisms & Holder, Red/Yellow Light Covers",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,7,NA,"https://brickset.com/sets/1147-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/1147-1.jpg","https://images.brickset.com/sets/images/1147-1.jpg"
30660,"Lower part of housing for 4.5V/12V train motor",1981,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/1215-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/1215-1.jpg","https://images.brickset.com/sets/images/1215-1.jpg"
432,"Silja Line Ferry",1981,"Promotional","Miscellaneous","Ferries","Normal",TRUE,182,NA,"https://brickset.com/sets/1581-1",0,0,"Box","Promotional",NA,NA,"https://images.brickset.com/sets/small/1581-1.jpg","https://images.brickset.com/sets/images/1581-1.jpg"
872,"Basic Set",1981,"Duplo","Pre-school",NA,"Normal",TRUE,9,1,"https://brickset.com/sets/2330-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/2330-1.jpg","https://images.brickset.com/sets/images/2330-1.jpg"
880,"Basic Set",1981,"Duplo","Pre-school",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/2340-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
886,"Basic Building Set",1981,"Duplo","Pre-school",NA,"Normal",TRUE,22,2,"https://brickset.com/sets/2350-1",0,0,"Box","{Not specified}",1,NA,"https://images.brickset.com/sets/small/2350-1.jpg","https://images.brickset.com/sets/images/2350-1.jpg"
889,"Basic Set",1981,"Duplo","Pre-school",NA,"Normal",TRUE,32,3,"https://brickset.com/sets/2360-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
894,"Basic Set",1981,"Duplo","Pre-school",NA,"Normal",TRUE,45,4,"https://brickset.com/sets/2370-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
976,"Helicopter",1981,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2624-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
995,"Service Station",1981,"Duplo","Pre-school",NA,"Normal",TRUE,14,2,"https://brickset.com/sets/2644-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA
1666,"Elton Elephant",1981,"Fabuland","Junior",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/3601-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3601-1.jpg","https://images.brickset.com/sets/images/3601-1.jpg"
1668,"Boris Bulldog and Mailbox",1981,"Fabuland","Junior",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/3603-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3603-1.jpg","https://images.brickset.com/sets/images/3603-1.jpg"
4993,"Percy Pig",1981,"Fabuland","Junior",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/3615-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3615-1.jpg","https://images.brickset.com/sets/images/3615-1.jpg"
1695,"Perry Panda and Chester Chimp",1981,"Fabuland","Junior",NA,"Normal",TRUE,3,2,"https://brickset.com/sets/3628-1",0,1,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3628-1.jpg","https://images.brickset.com/sets/images/3628-1.jpg"
1696,"Barney Bear",1981,"Fabuland","Junior",NA,"Normal",TRUE,16,1,"https://brickset.com/sets/3629-1",0,0,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3629-1.jpg","https://images.brickset.com/sets/images/3629-1.jpg"
1701,"Bonnie Bunny's Camper",1981,"Fabuland","Junior",NA,"Normal",TRUE,25,1,"https://brickset.com/sets/3635-1",0,2,"{Not specified}","{Not specified}",NA,NA,"https://images.brickset.com/sets/small/3635-1.jpg","https://images.brickset.com/sets/images/3635-1.jpg"
