"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable"
2560,"5166",1,"Lamp Holders, Tool Holder Plates",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,18,NA,"https://brickset.com/sets/5166-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5166-1.jpg","https://images.brickset.com/sets/images/5166-1.jpg",NA,NA,NA,NA,NA,NA
2665,"5271",1,"Tyres and Hubs 49.6 mm White",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,4,NA,"https://brickset.com/sets/5271-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5271-1.jpg","https://images.brickset.com/sets/images/5271-1.jpg",NA,NA,NA,NA,NA,NA
2666,"5272",1,"Cylinder Motor",1991,"Service Packs","Miscellaneous","Technic","Normal",TRUE,9,NA,"https://brickset.com/sets/5272-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5272-1.jpg","https://images.brickset.com/sets/images/5272-1.jpg",NA,NA,NA,NA,NA,NA
2692,"5300",1,"Train Motor 9V",1991,"Service Packs","Miscellaneous","Trains","Normal",TRUE,3,NA,"https://brickset.com/sets/5300-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5300-1.jpg","https://images.brickset.com/sets/images/5300-1.jpg",NA,NA,NA,NA,NA,NA
2808,"5550",1,"Custom Rally Van",1991,"Model Team","Model making",NA,"Normal",TRUE,525,NA,"https://brickset.com/sets/5550-1",4.5,4,"Box","Retail","https://images.brickset.com/sets/small/5550-1.jpg","https://images.brickset.com/sets/images/5550-1.jpg",NA,NA,NA,NA,NA,NA
3095,"6234",1,"Renegade's Raft",1991,"Pirates","Historical",NA,"Normal",TRUE,38,1,"https://brickset.com/sets/6234-1",3.5,13,"Box","Retail","https://images.brickset.com/sets/small/6234-1.jpg","https://images.brickset.com/sets/images/6234-1.jpg",NA,NA,NA,NA,NA,NA
3115,"6259",1,"Broadside's Brig",1991,"Pirates","Historical","Imperial Guards","Normal",TRUE,68,3,"https://brickset.com/sets/6259-1",3.7,10,"Box","Retail","https://images.brickset.com/sets/small/6259-1.jpg","https://images.brickset.com/sets/images/6259-1.jpg",NA,NA,NA,NA,NA,NA
3125,"6267",1,"Lagoon Lock-Up",1991,"Pirates","Historical","Imperial Guards","Normal",TRUE,193,5,"https://brickset.com/sets/6267-1",4.4,13,"Box","Retail","https://images.brickset.com/sets/small/6267-1.jpg","https://images.brickset.com/sets/images/6267-1.jpg",NA,NA,NA,NA,NA,NA
3130,"6273",1,"Rock Island Refuge",1991,"Pirates","Historical",NA,"Normal",TRUE,381,7,"https://brickset.com/sets/6273-1",4.5,7,"Box","Retail","https://images.brickset.com/sets/small/6273-1.jpg","https://images.brickset.com/sets/images/6273-1.jpg",NA,NA,NA,NA,NA,NA
3197,"6347",1,"Monorail Accessory Track",1991,"Town","Modern day","Monorail","Normal",TRUE,54,NA,"https://brickset.com/sets/6347-1",4.3,2,"Box","Retail","https://images.brickset.com/sets/small/6347-1.jpg","https://images.brickset.com/sets/images/6347-1.jpg",NA,NA,NA,NA,NA,NA
3203,"6352",1,"Cargomaster Crane",1991,"Town","Modern day","Vehicles","Normal",TRUE,140,1,"https://brickset.com/sets/6352-1",3.9,4,"Box","Retail","https://images.brickset.com/sets/small/6352-1.jpg","https://images.brickset.com/sets/images/6352-1.jpg",NA,NA,NA,NA,NA,NA
3204,"6353",1,"Coastal Cutter",1991,"Town","Modern day","Coastguard","Normal",TRUE,185,2,"https://brickset.com/sets/6353-1",4.1,6,"Box","Retail","https://images.brickset.com/sets/small/6353-1.jpg","https://images.brickset.com/sets/images/6353-1.jpg",NA,NA,NA,NA,NA,NA
3286,"6430",1,"Night Patroller",1991,"Town","Modern day","Police","Normal",TRUE,140,1,"https://brickset.com/sets/6430-1",4.2,5,"Box","Retail","https://images.brickset.com/sets/small/6430-1.jpg","https://images.brickset.com/sets/images/6430-1.jpg",NA,NA,NA,NA,NA,NA
3296,"6440",1,"Jetport Fire Squad",1991,"Town","Modern day","Fire","Normal",TRUE,159,2,"https://brickset.com/sets/6440-1",4.2,2,"Box","Retail","https://images.brickset.com/sets/small/6440-1.jpg","https://images.brickset.com/sets/images/6440-1.jpg",NA,NA,NA,NA,NA,NA
3361,"6509",1,"Red Devil Racer",1991,"Town","Modern day","Racing","Normal",TRUE,39,1,"https://brickset.com/sets/6509-1",3.8,4,"Box","Retail","https://images.brickset.com/sets/small/6509-1.jpg","https://images.brickset.com/sets/images/6509-1.jpg",NA,NA,NA,NA,NA,NA
3362,"6510",1,"Mud Runner",1991,"Town","Modern day","Vehicles","Normal",TRUE,34,1,"https://brickset.com/sets/6510-1",3.2,4,"Box","Retail","https://images.brickset.com/sets/small/6510-1.jpg","https://images.brickset.com/sets/images/6510-1.jpg",NA,NA,NA,NA,NA,NA
3390,"6531",1,"Flame Chaser",1991,"Town","Modern day","Fire","Normal",TRUE,55,1,"https://brickset.com/sets/6531-1",3.5,2,"Box","Retail","https://images.brickset.com/sets/small/6531-1.jpg","https://images.brickset.com/sets/images/6531-1.jpg",NA,NA,NA,NA,NA,NA
3391,"6532",1,"Diesel Dumper",1991,"Town","Modern day","Construction","Normal",TRUE,46,1,"https://brickset.com/sets/6532-1",3.1,3,"Box","Retail","https://images.brickset.com/sets/small/6532-1.jpg","https://images.brickset.com/sets/images/6532-1.jpg",NA,NA,NA,NA,NA,NA
3399,"6540",1,"Pier Police",1991,"Town","Modern day","Police","Normal",TRUE,352,4,"https://brickset.com/sets/6540-1",4.1,8,"Box","Retail","https://images.brickset.com/sets/small/6540-1.jpg","https://images.brickset.com/sets/images/6540-1.jpg",NA,NA,NA,NA,NA,NA
3400,"6541",1,"Intercoastal Seaport",1991,"Town","Modern day","Boats","Normal",TRUE,545,5,"https://brickset.com/sets/6541-1",4.5,5,"Box","Retail","https://images.brickset.com/sets/small/6541-1.jpg","https://images.brickset.com/sets/images/6541-1.jpg",NA,NA,NA,NA,NA,NA
3401,"6542",1,"Launch & Load Seaport",1991,"Town","Modern day","Boats","Normal",TRUE,1080,7,"https://brickset.com/sets/6542-1",4.7,9,"Box","Retail","https://images.brickset.com/sets/small/6542-1.jpg","https://images.brickset.com/sets/images/6542-1.jpg",NA,NA,NA,NA,NA,NA
3448,"6593",1,"Blaze Battler",1991,"Town","Modern day","Fire","Normal",TRUE,126,1,"https://brickset.com/sets/6593-1",3.8,4,"Box","Retail","https://images.brickset.com/sets/small/6593-1.jpg","https://images.brickset.com/sets/images/6593-1.jpg",NA,NA,NA,NA,NA,NA
3498,"6645",1,"Street Sweeper",1991,"Town","Modern day","Maintenance","Normal",TRUE,65,2,"https://brickset.com/sets/6645-1",4,5,"Box","Retail","https://images.brickset.com/sets/small/6645-1.jpg","https://images.brickset.com/sets/images/6645-1.jpg",NA,NA,NA,NA,NA,NA
3499,"6646",1,"Screaming Patriot",1991,"Town","Modern day","Racing","Normal",TRUE,65,1,"https://brickset.com/sets/6646-1",3.4,4,"Box","Retail","https://images.brickset.com/sets/small/6646-1.jpg","https://images.brickset.com/sets/images/6646-1.jpg",NA,NA,NA,NA,NA,NA
3523,"6669",1,"Diesel Daredevil",1991,"Town","Modern day","Vehicles","Normal",TRUE,90,1,"https://brickset.com/sets/6669-1",3.8,2,"Box","Retail","https://images.brickset.com/sets/small/6669-1.jpg","https://images.brickset.com/sets/images/6669-1.jpg",NA,NA,NA,NA,NA,NA
3534,"6679",1,"Dark Shark",1991,"Town","Modern day","Boats","Normal",TRUE,83,2,"https://brickset.com/sets/6679-1",3.8,9,"Box","Retail","https://images.brickset.com/sets/small/6679-1.jpg","https://images.brickset.com/sets/images/6679-1.jpg",NA,NA,NA,NA,NA,NA
3559,"6704",1,"Minifig Pack",1991,"Space","Action/Adventure","Miscellaneous","Normal",TRUE,44,6,"https://brickset.com/sets/6704-1",4.4,4,"Box","Retail","https://images.brickset.com/sets/small/6704-1.jpg","https://images.brickset.com/sets/images/6704-1.jpg",NA,NA,NA,NA,NA,NA
3565,"6710",1,"Space Landing Pads",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,2,NA,"https://brickset.com/sets/6710-1",4.6,1,"Shrink-wrapped","Retail","https://images.brickset.com/sets/small/6710-1.jpg","https://images.brickset.com/sets/images/6710-1.jpg",NA,NA,NA,NA,NA,NA
3627,"6812",1,"Grid Trekkor",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,25,1,"https://brickset.com/sets/6812-1",3.7,9,"Box","Retail","https://images.brickset.com/sets/small/6812-1.jpg","https://images.brickset.com/sets/images/6812-1.jpg",NA,NA,NA,NA,NA,NA
3646,"6832",1,"Super Nova II",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,42,1,"https://brickset.com/sets/6832-1",3.7,6,"Box","Retail","https://images.brickset.com/sets/small/6832-1.jpg","https://images.brickset.com/sets/images/6832-1.jpg",NA,NA,NA,NA,NA,NA
3662,"6851",1,"Tri-Wheeled Tyrax",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,39,1,"https://brickset.com/sets/6851-1",3.3,6,"Box","Retail","https://images.brickset.com/sets/small/6851-1.jpg","https://images.brickset.com/sets/images/6851-1.jpg",NA,NA,NA,NA,NA,NA
3668,"6862",1,"Secret M:Tron Space Voyager",1991,"Space","Action/Adventure","M-Tron","Normal",TRUE,333,NA,"https://brickset.com/sets/6862-1",0,1,"Other","LEGO exclusive","https://images.brickset.com/sets/small/6862-1.jpg","https://images.brickset.com/sets/images/6862-1.jpg",NA,NA,NA,NA,NA,NA
3676,"6878",1,"Sub Orbital Guardian",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,69,1,"https://brickset.com/sets/6878-1",4,4,"Box","Retail","https://images.brickset.com/sets/small/6878-1.jpg","https://images.brickset.com/sets/images/6878-1.jpg",NA,NA,NA,NA,NA,NA
3685,"6887",1,"Allied Avenger",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,100,1,"https://brickset.com/sets/6887-1",4.2,4,"Box","Retail","https://images.brickset.com/sets/small/6887-1.jpg","https://images.brickset.com/sets/images/6887-1.jpg",NA,NA,NA,NA,NA,NA
3717,"6933",1,"Spectral Starguider",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,208,2,"https://brickset.com/sets/6933-1",4.2,8,"Box","Retail","https://images.brickset.com/sets/small/6933-1.jpg","https://images.brickset.com/sets/images/6933-1.jpg",NA,NA,NA,NA,NA,NA
3749,"6981",1,"Aerial Intruder",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,267,2,"https://brickset.com/sets/6981-1",4.2,10,"Box","Retail","https://images.brickset.com/sets/small/6981-1.jpg","https://images.brickset.com/sets/images/6981-1.jpg",NA,NA,NA,NA,NA,NA
3756,"6988",1,"Alpha Centauri Outpost",1991,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,406,5,"https://brickset.com/sets/6988-1",4.1,6,"Box","Retail","https://images.brickset.com/sets/small/6988-1.jpg","https://images.brickset.com/sets/images/6988-1.jpg",NA,NA,NA,NA,NA,NA
4118,"8074",1,"Universal Set with Flex System",1991,"Technic","Technical","Universal","Normal",TRUE,313,NA,"https://brickset.com/sets/8074-1",3.7,1,"Box","Retail","https://images.brickset.com/sets/small/8074-1.jpg","https://images.brickset.com/sets/images/8074-1.jpg",NA,NA,NA,NA,NA,NA
4463,"8810",1,"Cafe Racer",1991,"Technic","Technical",NA,"Normal",TRUE,80,NA,"https://brickset.com/sets/8810-1",3.3,3,"Box","Retail","https://images.brickset.com/sets/small/8810-1.jpg","https://images.brickset.com/sets/images/8810-1.jpg",NA,NA,NA,NA,NA,NA
4466,"8815",1,"Speedway Bandit",1991,"Technic","Technical",NA,"Normal",TRUE,77,NA,"https://brickset.com/sets/8815-1",3.6,4,"Box","Retail","https://images.brickset.com/sets/small/8815-1.jpg","https://images.brickset.com/sets/images/8815-1.jpg",NA,NA,NA,NA,NA,NA
4469,"8820",1,"Mountain Rambler",1991,"Technic","Technical",NA,"Normal",TRUE,139,NA,"https://brickset.com/sets/8820-1",3.5,1,"Box","Retail","https://images.brickset.com/sets/small/8820-1.jpg","https://images.brickset.com/sets/images/8820-1.jpg",NA,NA,NA,NA,NA,NA
4480,"8838",1,"Shock Cycle",1991,"Technic","Technical",NA,"Normal",TRUE,251,NA,"https://brickset.com/sets/8838-1",3.9,4,"Box","Retail","https://images.brickset.com/sets/small/8838-1.jpg","https://images.brickset.com/sets/images/8838-1.jpg",NA,NA,NA,NA,NA,NA
4499,"8856",1,"Whirlwind Rescue",1991,"Technic","Technical",NA,"Normal",TRUE,517,NA,"https://brickset.com/sets/8856-1",4,4,"Box","Retail","https://images.brickset.com/sets/small/8856-1.jpg","https://images.brickset.com/sets/images/8856-1.jpg",NA,NA,NA,NA,NA,NA
4516,"8891",1,"Designer's Manual",1991,"Books","Miscellaneous","LEGO","Book",TRUE,1,NA,"https://brickset.com/sets/8891-1",0,1,"None (loose parts)","Retail","https://images.brickset.com/sets/small/8891-1.jpg","https://images.brickset.com/sets/images/8891-1.jpg",NA,NA,NA,NA,NA,NA
48565,"9252",1,"Large LEGO Basic Set",1991,"Dacta","Educational",NA,"Normal",TRUE,626,NA,"https://brickset.com/sets/9252-1",0,0,"Plastic box","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
9341,"9353",1,"Theme Set",1991,"Dacta","Educational","Town","Normal",TRUE,924,NA,"https://brickset.com/sets/9353-1",0,0,"Plastic box","{Not specified}","https://images.brickset.com/sets/small/9353-1.jpg","https://images.brickset.com/sets/images/9353-1.jpg",NA,NA,NA,NA,NA,NA
9391,"9354",1,"Town Street Theme",1991,"Dacta","Educational","Town","Normal",TRUE,496,NA,"https://brickset.com/sets/9354-1",0,0,"Plastic box","{Not specified}","https://images.brickset.com/sets/small/9354-1.jpg","https://images.brickset.com/sets/images/9354-1.jpg",NA,NA,NA,NA,NA,NA
8074,"9355",1,"Dacta Space Theme Set",1991,"Dacta","Educational",NA,"Normal",TRUE,538,8,"https://brickset.com/sets/9355-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/9355-1.jpg","https://images.brickset.com/sets/images/9355-1.jpg",NA,NA,NA,NA,NA,NA
8786,"9361",1,"People",1991,"Dacta","Educational",NA,"Normal",TRUE,36,24,"https://brickset.com/sets/9361-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/9361-1.jpg","https://images.brickset.com/sets/images/9361-1.jpg",NA,NA,NA,NA,NA,NA
23263,"9362",1,"Road plates",1991,"Dacta","Educational",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/9362-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
31665,"9452",1,"Giant LEGO topic set",1991,"Dacta","Educational",NA,"Normal",TRUE,2165,NA,"https://brickset.com/sets/9452-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
31864,"BK15SPR1991",1,"BRICK KICKS Spring 1991",1991,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK15SPR1991-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/BK15SPR1991-1.jpg","https://images.brickset.com/sets/images/BK15SPR1991-1.jpg",NA,NA,NA,NA,NA,NA
31865,"BK16SUM1991",1,"BRICK KICKS Summer 1991",1991,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK16SUM1991-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/BK16SUM1991-1.jpg","https://images.brickset.com/sets/images/BK16SUM1991-1.jpg",NA,NA,NA,NA,NA,NA
31866,"BK17FAL1991",1,"BRICK KICKS Fall 1991",1991,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK17FAL1991-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/BK17FAL1991-1.jpg","https://images.brickset.com/sets/images/BK17FAL1991-1.jpg",NA,NA,NA,NA,NA,NA
31867,"BK18WIN1991",1,"BRICK KICKS Winter 1991 - 1992",1991,"Books","Miscellaneous","Brick Kicks","Book",TRUE,NA,NA,"https://brickset.com/sets/BK18WIN1991-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/BK18WIN1991-1.jpg","https://images.brickset.com/sets/images/BK18WIN1991-1.jpg",NA,NA,NA,NA,NA,NA
