"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable"
10115,"1878",1,"Small Bucket",1991,"Basic","Basic",NA,"Normal",TRUE,393,1,"https://brickset.com/sets/1878-1",0,0,"Bucket","Retail","https://images.brickset.com/sets/small/1878-1.jpg","https://images.brickset.com/sets/images/1878-1.jpg",NA,NA,NA,NA,NA,NA
640,"1881",1,"Play Bucket of Bricks, 3+",1991,"Basic","Basic",NA,"Normal",TRUE,288,1,"https://brickset.com/sets/1881-1",0,0,"Bucket","Retail","https://images.brickset.com/sets/small/1881-1.jpg","https://images.brickset.com/sets/images/1881-1.jpg",NA,NA,NA,NA,NA,NA
641,"1882",1,"Large Play Bucket, 3+",1991,"Basic","Basic",NA,"Normal",TRUE,449,2,"https://brickset.com/sets/1882-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1882-1.jpg","https://images.brickset.com/sets/images/1882-1.jpg",NA,NA,NA,NA,NA,NA
10116,"1977",2,"Pre-School Building Set (XL)",1991,"Duplo","Pre-school",NA,"Normal",TRUE,99,1,"https://brickset.com/sets/1977-2",0,0,"Bucket","Retail - limited","https://images.brickset.com/sets/small/1977-2.jpg","https://images.brickset.com/sets/images/1977-2.jpg",NA,NA,NA,NA,NA,NA
692,"1978",1,"Santa Claus",1991,"Basic","Basic","Seasonal","Normal",TRUE,39,NA,"https://brickset.com/sets/1978-1",0,1,"Polybag","{Not specified}","https://images.brickset.com/sets/small/1978-1.jpg","https://images.brickset.com/sets/images/1978-1.jpg",NA,NA,NA,NA,NA,NA
694,"1979",1,"Snowman",1991,"Basic","Basic","Seasonal","Normal",TRUE,42,NA,"https://brickset.com/sets/1979-1",0,1,"Polybag","{Not specified}","https://images.brickset.com/sets/small/1979-1.jpg","https://images.brickset.com/sets/images/1979-1.jpg",NA,NA,NA,NA,NA,NA
695,"1980",1,"Santa's Elves",1991,"Basic","Basic","Seasonal","Normal",TRUE,30,NA,"https://brickset.com/sets/1980-1",0,1,"Polybag","{Not specified}","https://images.brickset.com/sets/small/1980-1.jpg","https://images.brickset.com/sets/images/1980-1.jpg",NA,NA,NA,NA,NA,NA
855,"2303",1,"Red and Green Building Plates",1991,"Duplo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/2303-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2303-1.jpg","https://images.brickset.com/sets/images/2303-1.jpg",NA,NA,NA,NA,NA,NA
858,"2306",1,"Large Red Building Plate",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2306-1",0,0,"Shrink-wrapped","Retail",NA,NA,NA,NA,NA,NA,NA,NA
865,"2313",1,"Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,29,NA,"https://brickset.com/sets/2313-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2313-1.jpg","https://images.brickset.com/sets/images/2313-1.jpg",NA,NA,NA,NA,NA,NA
866,"2314",1,"Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,38,NA,"https://brickset.com/sets/2314-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2314-1.jpg","https://images.brickset.com/sets/images/2314-1.jpg",NA,NA,NA,NA,NA,NA
868,"2318",1,"Pull Back Motor",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2318-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2318-1.jpg","https://images.brickset.com/sets/images/2318-1.jpg",NA,NA,NA,NA,NA,NA
873,"2331",1,"Barney, The Skateboard Bear",1991,"Duplo","Pre-school",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/2331-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2331-1.jpg","https://images.brickset.com/sets/images/2331-1.jpg",NA,NA,NA,NA,NA,NA
881,"2341",1,"Peter's Holiday Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/2341-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2341-1.jpg","https://images.brickset.com/sets/images/2341-1.jpg",NA,NA,NA,NA,NA,NA
890,"2361",1,"Matt and Mutt Building Set",1991,"Duplo","Pre-school",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/2361-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
895,"2371",1,"Flying School",1991,"Duplo","Pre-school",NA,"Normal",TRUE,36,3,"https://brickset.com/sets/2371-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
898,"2376",1,"Play Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/2376-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
901,"2381",1,"Bucket of Bricks",1991,"Duplo","Pre-school",NA,"Normal",TRUE,64,1,"https://brickset.com/sets/2381-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2381-1.jpg","https://images.brickset.com/sets/images/2381-1.jpg",NA,NA,NA,NA,NA,NA
902,"2386",1,"Circus Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,50,3,"https://brickset.com/sets/2386-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
22467,"2391",1,"Farm in a Bucket",1991,"Duplo","Pre-school",NA,"Normal",TRUE,60,3,"https://brickset.com/sets/2391-1",0,0,"Bucket","Retail - limited","https://images.brickset.com/sets/small/2391-1.jpg","https://images.brickset.com/sets/images/2391-1.jpg",NA,NA,NA,NA,NA,NA
906,"2392",1,"Farmyard",1991,"Duplo","Pre-school",NA,"Normal",TRUE,60,3,"https://brickset.com/sets/2392-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
22468,"2443",1,"Lil' Skipper",1991,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2443-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22469,"2447",1,"Speedway",1991,"Duplo","Pre-school",NA,"Normal",TRUE,9,2,"https://brickset.com/sets/2447-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22470,"2451",1,"Police Squad",1991,"Duplo","Pre-school",NA,"Normal",TRUE,13,2,"https://brickset.com/sets/2451-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22471,"2455",1,"Corral",1991,"Duplo","Pre-school",NA,"Normal",TRUE,24,2,"https://brickset.com/sets/2455-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22472,"2459",1,"Express Train",1991,"Duplo","Pre-school",NA,"Normal",TRUE,38,3,"https://brickset.com/sets/2459-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
1004,"2654",1,"Police Emergency Unit",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,2,"https://brickset.com/sets/2654-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1010,"2660",1,"Zoo Nursery",1991,"Duplo","Pre-school",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/2660-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2660-1.jpg","https://images.brickset.com/sets/images/2660-1.jpg",NA,NA,NA,NA,NA,NA
1021,"2671",1,"Grand Prix Racing Team",1991,"Duplo","Pre-school",NA,"Normal",TRUE,7,2,"https://brickset.com/sets/2671-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2671-1.jpg","https://images.brickset.com/sets/images/2671-1.jpg",NA,NA,NA,NA,NA,NA
1022,"2672",1,"Police Station",1991,"Duplo","Pre-school",NA,"Normal",TRUE,16,3,"https://brickset.com/sets/2672-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2672-1.jpg","https://images.brickset.com/sets/images/2672-1.jpg",NA,NA,NA,NA,NA,NA
1093,"2771",1,"DUPLO Family",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,7,"https://brickset.com/sets/2771-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2771-1.jpg","https://images.brickset.com/sets/images/2771-1.jpg",NA,NA,NA,NA,NA,NA
1094,"2772",1,"DUPLO World People",1991,"Duplo","Pre-school",NA,"Normal",TRUE,12,12,"https://brickset.com/sets/2772-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1095,"2773",1,"Barbecue",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,3,"https://brickset.com/sets/2773-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1097,"2775",1,"Bathroom",1991,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2775-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2775-1.jpg","https://images.brickset.com/sets/images/2775-1.jpg",NA,NA,NA,NA,NA,NA
1098,"2776",1,"Bedroom",1991,"Duplo","Pre-school",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/2776-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1099,"2777",1,"Living Room",1991,"Duplo","Pre-school",NA,"Normal",TRUE,12,1,"https://brickset.com/sets/2777-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1100,"2778",1,"Kitchen",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,1,"https://brickset.com/sets/2778-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2778-1.jpg","https://images.brickset.com/sets/images/2778-1.jpg",NA,NA,NA,NA,NA,NA
1101,"2779",1,"Playhouse (Unfurnished)",1991,"Duplo","Pre-school",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2779-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1103,"2780",1,"Complete Playhouse",1991,"Duplo","Pre-school",NA,"Normal",TRUE,50,4,"https://brickset.com/sets/2780-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2780-1.jpg","https://images.brickset.com/sets/images/2780-1.jpg",NA,NA,NA,NA,NA,NA
1872,"4011",1,"Cabin Cruiser",1991,"Boats","Modern day",NA,"Normal",TRUE,90,2,"https://brickset.com/sets/4011-1",4.1,14,"Box","Retail","https://images.brickset.com/sets/small/4011-1.jpg","https://images.brickset.com/sets/images/4011-1.jpg",NA,NA,NA,NA,NA,NA
1882,"4021",1,"Police Patrol",1991,"Boats","Modern day",NA,"Normal",TRUE,195,3,"https://brickset.com/sets/4021-1",4,4,"Box","Retail","https://images.brickset.com/sets/small/4021-1.jpg","https://images.brickset.com/sets/images/4021-1.jpg",NA,NA,NA,NA,NA,NA
1892,"4031",1,"Firefighter",1991,"Boats","Modern day",NA,"Normal",TRUE,361,4,"https://brickset.com/sets/4031-1",4.3,2,"Box","Retail","https://images.brickset.com/sets/small/4031-1.jpg","https://images.brickset.com/sets/images/4031-1.jpg",NA,NA,NA,NA,NA,NA
2173,"4515",1,"Straight Rails",1991,"Trains","Modern day","9V","Normal",TRUE,8,NA,"https://brickset.com/sets/4515-1",4,3,"Box","Retail","https://images.brickset.com/sets/small/4515-1.jpg","https://images.brickset.com/sets/images/4515-1.jpg",12.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",11.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z"
2177,"4520",1,"Curved Rails",1991,"Trains","Modern day","9V","Normal",TRUE,8,NA,"https://brickset.com/sets/4520-1",3.7,1,"Box","Retail","https://images.brickset.com/sets/small/4520-1.jpg","https://images.brickset.com/sets/images/4520-1.jpg",12.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",11.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z"
2181,"4531",1,"Manual Points with Track",1991,"Trains","Modern day","9V","Normal",TRUE,6,NA,"https://brickset.com/sets/4531-1",4,2,"Box","Retail","https://images.brickset.com/sets/small/4531-1.jpg","https://images.brickset.com/sets/images/4531-1.jpg",27.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",NA,NA,NA
2186,"4536",1,"Blue Hopper Car",1991,"Trains","Modern day","9V","Normal",TRUE,166,NA,"https://brickset.com/sets/4536-1",4.2,3,"Box","Retail","https://images.brickset.com/sets/small/4536-1.jpg","https://images.brickset.com/sets/images/4536-1.jpg",NA,NA,NA,NA,NA,NA
2189,"4539",1,"Manual Level Crossing",1991,"Trains","Modern day","9V","Normal",TRUE,110,1,"https://brickset.com/sets/4539-1",3.7,1,"Box","Retail","https://images.brickset.com/sets/small/4539-1.jpg","https://images.brickset.com/sets/images/4539-1.jpg",NA,NA,NA,NA,NA,NA
2192,"4543",1,"Railroad Tractor Flatbed",1991,"Trains","Modern day","9V","Normal",TRUE,178,1,"https://brickset.com/sets/4543-1",4.2,3,"Box","Retail","https://images.brickset.com/sets/small/4543-1.jpg","https://images.brickset.com/sets/images/4543-1.jpg",NA,NA,NA,NA,NA,NA
