"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","height","width","depth","weight"
7693,"1",8,"Small house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,67,"https://brickset.com/sets/1-8",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1-8.jpg","https://images.brickset.com/sets/images/1-8.jpg",NA,NA,NA,NA
7695,"2",8,"Medium house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,109,"https://brickset.com/sets/2-8",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2-8.jpg","https://images.brickset.com/sets/images/2-8.jpg",NA,NA,NA,NA
7697,"3",6,"Medium house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,158,"https://brickset.com/sets/3-6",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/3-6.jpg","https://images.brickset.com/sets/images/3-6.jpg",NA,NA,NA,NA
7698,"4",4,"Large house set",1970,"Minitalia","Vintage",NA,"Normal",TRUE,233,"https://brickset.com/sets/4-4",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/4-4.jpg","https://images.brickset.com/sets/images/4-4.jpg",NA,NA,NA,NA
25534,"4",6,"Mini House and Vehicles",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,NA,"https://brickset.com/sets/4-6",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
7418,"078",1,"Roadway Base Plate 50X50",1970,"Samsonite","Vintage","Supplemental","Normal",TRUE,1,"https://brickset.com/sets/078-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/078-1.jpg","https://images.brickset.com/sets/images/078-1.jpg",NA,NA,NA,NA
7419,"104",1,"4.5V Replacement Motor",1970,"Trains","Modern day","Supplemental / 4.5V","Normal",TRUE,1,"https://brickset.com/sets/104-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/104-1.jpg","https://images.brickset.com/sets/images/104-1.jpg",NA,NA,NA,NA
6020,"126",1,"Steam Locomotive (Push)",1970,"Trains","Modern day","4.5v","Normal",TRUE,60,"https://brickset.com/sets/126-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/126-1.jpg","https://images.brickset.com/sets/images/126-1.jpg",NA,NA,NA,NA
22704,"157",3,"4 Car Auto Transport",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,65,"https://brickset.com/sets/157-3",0,0,"Box","Retail - limited","https://images.brickset.com/sets/small/157-3.jpg","https://images.brickset.com/sets/images/157-3.jpg",10.16,20.32,5.08,NA
7421,"242",4,"Big Model Book",1970,"Books","Miscellaneous","LEGO","Book",TRUE,NA,"https://brickset.com/sets/242-4",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/242-4.jpg","https://images.brickset.com/sets/images/242-4.jpg",NA,NA,NA,NA
24327,"271",3,"Mini-House with Vehicles",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,89,"https://brickset.com/sets/271-3",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/271-3.jpg","https://images.brickset.com/sets/images/271-3.jpg",NA,NA,NA,NA
7330,"311",5,"Remote Control Car Set",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,271,"https://brickset.com/sets/311-5",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/311-5.jpg","https://images.brickset.com/sets/images/311-5.jpg",NA,NA,NA,NA
7420,"312",1,"Remote Control Supplement",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,1,"https://brickset.com/sets/312-1",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/312-1.jpg","https://images.brickset.com/sets/images/312-1.jpg",NA,NA,NA,NA
7331,"338",1,"Ambulance",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,74,"https://brickset.com/sets/338-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/338-1.jpg","https://images.brickset.com/sets/images/338-1.jpg",NA,NA,NA,NA
26583,"345",3,"House with Mini-Wheel Car",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,136,"https://brickset.com/sets/345-3",0,0,"Box","Retail","https://images.brickset.com/sets/small/345-3.jpg","https://images.brickset.com/sets/images/345-3.jpg",25.4,19.685,3.175,NA
7333,"346",1,"Jumbo Jet",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,121,"https://brickset.com/sets/346-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/346-1.jpg","https://images.brickset.com/sets/images/346-1.jpg",5.08,15.5,10.3,0.166
6323,"347",1,"Fire Station",1970,"LEGOLAND","Vintage","Building","Normal",TRUE,320,"https://brickset.com/sets/347-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/347-1.jpg","https://images.brickset.com/sets/images/347-1.jpg",NA,NA,NA,NA
27606,"347",4,"Fire Station with Mini-Wheel Vehicles",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,216,"https://brickset.com/sets/347-4",0,0,"Box","Retail","https://images.brickset.com/sets/small/347-4.jpg","https://images.brickset.com/sets/images/347-4.jpg",20.32,29.845,5.08,NA
7334,"348",2,"Mini-Wheel Car and Truck Set",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,211,"https://brickset.com/sets/348-2",0,0,"Box","Retail","https://images.brickset.com/sets/small/348-2.jpg","https://images.brickset.com/sets/images/348-2.jpg",20.4,20.4,5.5,NA
7335,"367",2,"Mini Airport and Vehicle",1970,"Samsonite","Vintage","Model Maker","Normal",TRUE,233,"https://brickset.com/sets/367-2",0,0,"Box","{Not specified}","https://images.brickset.com/sets/small/367-2.jpg","https://images.brickset.com/sets/images/367-2.jpg",NA,NA,NA,NA
7411,"512",1,"Building Set ",1970,"Duplo","Pre-school","Basic Set","Normal",TRUE,20,"https://brickset.com/sets/512-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/512-1.jpg","https://images.brickset.com/sets/images/512-1.jpg",NA,NA,NA,NA
7412,"513",1,"Building Set ",1970,"Duplo","Pre-school","Basic Set","Normal",TRUE,29,"https://brickset.com/sets/513-1",0,0,"Box","Retail","https://images.brickset.com/sets/small/513-1.jpg","https://images.brickset.com/sets/images/513-1.jpg",NA,NA,NA,NA
6325,"600",1,"Ambulance",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,17,"https://brickset.com/sets/600-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/600-1.jpg","https://images.brickset.com/sets/images/600-1.jpg",NA,NA,NA,NA
7336,"601",2,"Tow Truck",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,15,"https://brickset.com/sets/601-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/601-2.jpg","https://images.brickset.com/sets/images/601-2.jpg",NA,NA,NA,NA
6326,"602",2,"Van with opening doors",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,24,"https://brickset.com/sets/602-2",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/602-2.jpg","https://images.brickset.com/sets/images/602-2.jpg",NA,NA,NA,NA
7337,"603",3,"Veteran Car",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,32,"https://brickset.com/sets/603-3",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/603-3.jpg","https://images.brickset.com/sets/images/603-3.jpg",NA,NA,NA,NA
7338,"620",2,"Fire engine with opening doors and ladder",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,40,"https://brickset.com/sets/620-2",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/620-2.jpg","https://images.brickset.com/sets/images/620-2.jpg",NA,NA,NA,NA
7339,"621",2,"Articulated petrol tanker",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,43,"https://brickset.com/sets/621-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/621-2.jpg","https://images.brickset.com/sets/images/621-2.jpg",NA,NA,NA,NA
6470,"622",2,"Parcels trolley",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,33,"https://brickset.com/sets/622-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/622-2.jpg","https://images.brickset.com/sets/images/622-2.jpg",NA,NA,NA,NA
7340,"623",2,"Car and caravan",1970,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,32,"https://brickset.com/sets/623-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/623-2.jpg","https://images.brickset.com/sets/images/623-2.jpg",NA,NA,NA,NA
7417,"708",1,"2m Extension Cord for Points",1970,"Trains","Modern day","Supplemental / 12V","Normal",TRUE,1,"https://brickset.com/sets/708-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/708-1.jpg","https://images.brickset.com/sets/images/708-1.jpg",NA,NA,NA,NA
