"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth"
122,"1029",1,"Milk Delivery Truck",1999,"Town","Modern day","Special","Normal",TRUE,95,1,"https://brickset.com/sets/1029-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1029-1.jpg","https://images.brickset.com/sets/images/1029-1.jpg",NA,NA,NA,NA,NA,NA,9.6,19.2,4.8
124,"1054",1,"Stena Line Ferry",1999,"Promotional","Miscellaneous","Ferries","Normal",TRUE,212,NA,"https://brickset.com/sets/1054-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1054-1.jpg","https://images.brickset.com/sets/images/1054-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"1061",1,"Single Disc Pack",1999,"Technic","Technical","Slizer","Normal",TRUE,1,NA,"https://brickset.com/sets/1061-1",0,0,"Polybag","Unknown",NA,"https://images.brickset.com/sets/small/1061-1.jpg","https://images.brickset.com/sets/images/1061-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"1068",1,"Air Patrol",1999,"Town","Modern day","Extreme Team","Normal",TRUE,20,1,"https://brickset.com/sets/1068-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1068-1.jpg","https://images.brickset.com/sets/images/1068-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
128,"1069",1,"Speedboat",1999,"Town","Modern day","Res-Q","Normal",TRUE,22,1,"https://brickset.com/sets/1069-1",0,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1069-1.jpg","https://images.brickset.com/sets/images/1069-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
131,"1070",1,"Stunt Flyer",1999,"Town","Modern day","Extreme Team","Normal",TRUE,20,1,"https://brickset.com/sets/1070-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1070-1.jpg","https://images.brickset.com/sets/images/1070-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
132,"1076",1,"Advent Calendar",1999,"Basic","Basic","Seasonal","Normal",TRUE,229,NA,"https://brickset.com/sets/1076-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1076-1.jpg","https://images.brickset.com/sets/images/1076-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"1088",1,"Road Burner",1999,"Town","Modern day","Extreme Team","Normal",TRUE,25,NA,"https://brickset.com/sets/1088-1",3.5,3,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1088-1.jpg","https://images.brickset.com/sets/images/1088-1.jpg",NA,NA,NA,NA,NA,NA,0,0,0
135,"1094",1,"Johnny Thunder",1999,"Adventurers","Historical","Desert","Normal",TRUE,13,1,"https://brickset.com/sets/1094-1",3.5,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/1094-1.jpg","https://images.brickset.com/sets/images/1094-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"1095",1,"Super Sub",1999,"Aquazone","Action/Adventure","Hydronauts","Normal",TRUE,24,1,"https://brickset.com/sets/1095-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1095-1.jpg","https://images.brickset.com/sets/images/1095-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,3.9
