"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","height","width","depth","weight"
7855,"1065",1,"House Accessories",1985,"Dacta","Educational",NA,"Normal",TRUE,184,NA,"https://brickset.com/sets/1065-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1065-1.jpg","https://images.brickset.com/sets/images/1065-1.jpg",NA,NA,NA,NA
7856,"1067",1,"Community Vehicles",1985,"Dacta","Educational",NA,"Normal",TRUE,203,14,"https://brickset.com/sets/1067-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1067-1.jpg","https://images.brickset.com/sets/images/1067-1.jpg",NA,NA,NA,NA
7868,"1085",1,"Large Baseplate 48 x 48",1985,"Dacta","Educational",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/1085-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
7869,"1087",1,"6 Lego Baseplates 8 x 16 Green",1985,"Dacta","Educational",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1087-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1087-1.jpg","https://images.brickset.com/sets/images/1087-1.jpg",NA,NA,NA,NA
7870,"1089",1,"Lego Basic Figures",1985,"Dacta","Educational",NA,"Normal",TRUE,24,24,"https://brickset.com/sets/1089-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1089-1.jpg","https://images.brickset.com/sets/images/1089-1.jpg",NA,NA,NA,NA
9402,"1512",2,"Basic Set with Storage Case",1985,"Basic","Basic","Universal Building Set","Normal",TRUE,99,1,"https://brickset.com/sets/1512-2",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
6183,"1520",1,"Basic Building Set with Storage Case",1985,"Basic","Basic",NA,"Normal",TRUE,210,1,"https://brickset.com/sets/1520-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1520-1.jpg","https://images.brickset.com/sets/images/1520-1.jpg",NA,NA,NA,NA
22561,"1537",2,"Rattle Round with Ball",1985,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1537-2",0,0,"Polybag","Retail",NA,NA,NA,NA,NA,NA,NA
22562,"1538",2,"Building Bricks",1985,"Duplo","Pre-school",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/1538-2",0,0,"Polybag","Retail",NA,NA,NA,NA,NA,NA,NA
22563,"1539",2,"Building Bricks with Figure",1985,"Duplo","Pre-school",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/1539-2",0,0,"Polybag","Retail",NA,NA,NA,NA,NA,NA,NA
48288,"1545",2,"Race Car",1985,"Universal Building Set","Basic",NA,"Normal",TRUE,17,1,"https://brickset.com/sets/1545-2",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1545-2.jpg","https://images.brickset.com/sets/images/1545-2.jpg",NA,NA,NA,NA
24248,"1546",1,"Aircraft",1985,"Universal Building Set","Basic",NA,"Normal",TRUE,26,1,"https://brickset.com/sets/1546-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1546-1.jpg","https://images.brickset.com/sets/images/1546-1.jpg",NA,NA,NA,NA
405,"1548",2,"Helicopter",1985,"Universal Building Set","Basic",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/1548-2",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1548-2.jpg","https://images.brickset.com/sets/images/1548-2.jpg",NA,NA,NA,NA
48287,"1549",2,"Boat",1985,"Universal Building Set","Basic",NA,"Normal",TRUE,38,NA,"https://brickset.com/sets/1549-2",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1549-2.jpg","https://images.brickset.com/sets/images/1549-2.jpg",NA,NA,NA,NA
22564,"1550",2,"Basic Set",1985,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1550-2",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1550-2.jpg","https://images.brickset.com/sets/images/1550-2.jpg",NA,NA,NA,NA
408,"1551",1,"Duck",1985,"Basic","Basic",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1551-1",0,1,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1551-1.jpg","https://images.brickset.com/sets/images/1551-1.jpg",NA,NA,NA,NA
410,"1552",1,"Maersk Truck and Trailer Unit",1985,"Town","Modern day","Special","Normal",TRUE,352,1,"https://brickset.com/sets/1552-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1552-1.jpg","https://images.brickset.com/sets/images/1552-1.jpg",NA,NA,NA,NA
9403,"1560",3,"Basic Building Set",1985,"Basic","Basic","Universal Building Set","Normal",TRUE,27,NA,"https://brickset.com/sets/1560-3",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1560-3.jpg","https://images.brickset.com/sets/images/1560-3.jpg",NA,NA,NA,NA
22565,"1562",2,"Basic Building Set",1985,"Basic","Basic",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/1562-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1562-2.jpg","https://images.brickset.com/sets/images/1562-2.jpg",NA,NA,NA,NA
488,"1655",1,"Viking Line Ferry",1985,"Promotional","Miscellaneous","Ferries","Normal",TRUE,176,NA,"https://brickset.com/sets/1655-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1655-1.jpg","https://images.brickset.com/sets/images/1655-1.jpg",NA,NA,NA,NA
22566,"1957",1,"Building Set with Storage Bunny",1985,"Duplo","Pre-school",NA,"Normal",TRUE,29,2,"https://brickset.com/sets/1957-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
22567,"1958",2,"Basic Model",1985,"Duplo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/1958-2",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
22568,"1959",2,"Basic Model",1985,"Duplo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/1959-2",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
9438,"1960",2,"Special Value Set",1985,"Basic","Basic","Universal Building Set","Normal",TRUE,96,1,"https://brickset.com/sets/1960-2",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
22569,"1961",1,"Basic Set with Storage Case",1985,"Basic","Basic",NA,"Normal",TRUE,95,1,"https://brickset.com/sets/1961-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
22570,"1962",1,"Basic Building Set",1985,"Basic","Basic",NA,"Normal",TRUE,211,1,"https://brickset.com/sets/1962-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1962-1.jpg","https://images.brickset.com/sets/images/1962-1.jpg",NA,NA,NA,NA
5518,"1964",1,"Basic Building Set",1985,"Basic","Basic",NA,"Normal",TRUE,27,NA,"https://brickset.com/sets/1964-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA
5567,"1965",1,"Building Set, Trial Size Offer",1985,"Basic","Basic",NA,"Normal",TRUE,32,1,"https://brickset.com/sets/1965-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1965-1.jpg","https://images.brickset.com/sets/images/1965-1.jpg",NA,NA,NA,NA
