"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","height","width","depth","weight"
22519,"22",3,"Value Pack Italy",1995,"Assorted","Miscellaneous",NA,"Collection",TRUE,91,NA,"https://brickset.com/sets/22-3",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/22-3.jpg","https://images.brickset.com/sets/images/22-3.jpg",NA,NA,NA,NA
22520,"23",2,"Value Pack Italy",1995,"Town","Modern day","Product Collection","Collection",TRUE,156,NA,"https://brickset.com/sets/23-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/23-2.jpg","https://images.brickset.com/sets/images/23-2.jpg",NA,NA,NA,NA
493,"1660",1,"Kronprins Frederik Ferry",1995,"Promotional","Miscellaneous","Ferries","Normal",TRUE,163,NA,"https://brickset.com/sets/1660-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1660-1.jpg","https://images.brickset.com/sets/images/1660-1.jpg",NA,NA,NA,NA
534,"1714",1,"Surveillance Scooter",1995,"Space","Action/Adventure","Spyrius","Normal",TRUE,22,1,"https://brickset.com/sets/1714-1",3.6,1,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1714-1.jpg","https://images.brickset.com/sets/images/1714-1.jpg",NA,NA,NA,NA
8779,"1715",1,"Standard Bricks",1995,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1715-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1715-1.jpg","https://images.brickset.com/sets/images/1715-1.jpg",NA,NA,NA,NA
9436,"1719",2,"Freestyle Bricks and Plates",1995,"Freestyle","Basic",NA,"Normal",TRUE,199,NA,"https://brickset.com/sets/1719-2",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
10358,"1734",1,"Large Clown Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,77,NA,"https://brickset.com/sets/1734-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA
556,"1736",1,"Wizard's Cart",1995,"Castle","Historical","Dragon Knights","Normal",TRUE,17,1,"https://brickset.com/sets/1736-1",3.8,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/1736-1.jpg","https://images.brickset.com/sets/images/1736-1.jpg",NA,NA,NA,NA
562,"1743",1,"Standard Bricks, 5+",1995,"Basic","Basic",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/1743-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1743-1.jpg","https://images.brickset.com/sets/images/1743-1.jpg",NA,NA,NA,NA
10359,"1744",1,"Medium Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,51,1,"https://brickset.com/sets/1744-1",0,0,"Bucket","Retail - limited",2,"https://images.brickset.com/sets/small/1744-1.jpg","https://images.brickset.com/sets/images/1744-1.jpg",NA,NA,NA,NA
563,"1745",1,"Standard Bricks, 3+",1995,"Basic","Basic",NA,"Normal",TRUE,404,NA,"https://brickset.com/sets/1745-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA
564,"1746",1,"Wiz the Wizard",1995,"Castle","Historical","Dragon Knights","Normal",TRUE,17,1,"https://brickset.com/sets/1746-1",0,3,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1746-1.jpg","https://images.brickset.com/sets/images/1746-1.jpg",NA,NA,NA,NA
8113,"1756",1,"Animals",1995,"Basic","Basic",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/1756-1",0,1,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1756-1.jpg","https://images.brickset.com/sets/images/1756-1.jpg",NA,NA,NA,NA
8114,"1758",1,"Animals",1995,"Basic","Basic",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/1758-1",0,0,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1758-1.jpg","https://images.brickset.com/sets/images/1758-1.jpg",NA,NA,NA,NA
569,"1759",1,"Parrot",1995,"Duplo","Pre-school",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/1759-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1759-1.jpg","https://images.brickset.com/sets/images/1759-1.jpg",NA,NA,NA,NA
570,"1760",1,"Go-Kart",1995,"Town","Modern day","Racing","Normal",TRUE,16,1,"https://brickset.com/sets/1760-1",2.6,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/1760-1.jpg","https://images.brickset.com/sets/images/1760-1.jpg",NA,NA,NA,NA
571,"1761",1,"Paradisa Speedboat",1995,"Town","Modern day","Paradisa","Normal",TRUE,21,1,"https://brickset.com/sets/1761-1",2.9,3,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1761-1.jpg","https://images.brickset.com/sets/images/1761-1.jpg",NA,NA,NA,NA
572,"1762",1,"Go-Kart",1995,"Town","Modern day","Racing","Normal",TRUE,16,1,"https://brickset.com/sets/1762-1",0,2,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1762-1.jpg","https://images.brickset.com/sets/images/1762-1.jpg",NA,NA,NA,NA
5005,"1764",1,"Birthday Building Set",1995,"Duplo","Pre-school",NA,"Normal",TRUE,100,NA,"https://brickset.com/sets/1764-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1764-1.jpg","https://images.brickset.com/sets/images/1764-1.jpg",NA,NA,NA,NA
10360,"1765",1,"Small Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,34,NA,"https://brickset.com/sets/1765-1",0,0,"Bucket","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA
10361,"1766",1,"Small Freestyle Bucket",1995,"Freestyle","Basic",NA,"Normal",TRUE,109,NA,"https://brickset.com/sets/1766-1",0,0,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA
8115,"1767",1,"Animals",1995,"Basic","Basic",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1767-1",0,0,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1767-1.jpg","https://images.brickset.com/sets/images/1767-1.jpg",NA,NA,NA,NA
8116,"1768",1,"Animals",1995,"Basic","Basic",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/1768-1",0,0,"Polybag","Retail - limited",NA,"https://images.brickset.com/sets/small/1768-1.jpg","https://images.brickset.com/sets/images/1768-1.jpg",NA,NA,NA,NA
583,"1785",1,"Crater Critters",1995,"Space","Action/Adventure","Miscellaneous","Normal",TRUE,143,NA,"https://brickset.com/sets/1785-1",0,3,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1785-1.jpg","https://images.brickset.com/sets/images/1785-1.jpg",NA,NA,NA,NA
584,"1786",1,"Jailbreak Joe",1995,"Town","Modern day","Police","Normal",TRUE,186,4,"https://brickset.com/sets/1786-1",0,2,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1786-1.jpg","https://images.brickset.com/sets/images/1786-1.jpg",NA,NA,NA,NA
585,"1787",1,"Crater Cruiser",1995,"Space","Action/Adventure","Unitron","Normal",TRUE,183,2,"https://brickset.com/sets/1787-1",3.7,7,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1787-1.jpg","https://images.brickset.com/sets/images/1787-1.jpg",NA,NA,NA,NA
586,"1788",1,"Treasure Chest",1995,"Pirates","Historical",NA,"Normal",TRUE,159,4,"https://brickset.com/sets/1788-1",4.1,3,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1788-1.jpg","https://images.brickset.com/sets/images/1788-1.jpg",NA,NA,NA,NA
587,"1789",1,"Star Hawk II",1995,"Space","Action/Adventure","Unitron","Normal",TRUE,292,2,"https://brickset.com/sets/1789-1",4.2,7,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1789-1.jpg","https://images.brickset.com/sets/images/1789-1.jpg",NA,NA,NA,NA
591,"1793",1,"Space Station Zenon",1995,"Space","Action/Adventure","Unitron","Normal",TRUE,346,3,"https://brickset.com/sets/1793-1",3.7,9,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1793-1.jpg","https://images.brickset.com/sets/images/1793-1.jpg",NA,NA,NA,NA
10362,"1805",1,"Small Bucket",1995,"Duplo","Pre-school",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/1805-1",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/1805-1.jpg","https://images.brickset.com/sets/images/1805-1.jpg",NA,NA,NA,NA
