"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
3218,"6366",1,"Fire & Rescue Squad",1984,"Town","Modern day","Fire","Normal",TRUE,99,3,"https://brickset.com/sets/6366-1",3.9,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/6366-1.jpg","https://images.brickset.com/sets/images/6366-1.jpg"
3219,"6367",1,"Semi Truck",1984,"Town","Modern day","Vehicles","Normal",TRUE,155,1,"https://brickset.com/sets/6367-1",4.1,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6367-1.jpg","https://images.brickset.com/sets/images/6367-1.jpg"
3226,"6373",1,"Motorcycle Shop",1984,"Town","Modern day","Shops and Services","Normal",TRUE,171,2,"https://brickset.com/sets/6373-1",4.1,8,"Box","Retail",NA,"https://images.brickset.com/sets/small/6373-1.jpg","https://images.brickset.com/sets/images/6373-1.jpg"
3247,"6391",1,"Cargo Centre",1984,"Town","Modern day","Shops and Services","Normal",TRUE,553,5,"https://brickset.com/sets/6391-1",4.6,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/6391-1.jpg","https://images.brickset.com/sets/images/6391-1.jpg"
3462,"6605",1,"Road Racer",1984,"Town","Modern day","Racing","Normal",TRUE,20,1,"https://brickset.com/sets/6605-1",3.3,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6605-1.jpg","https://images.brickset.com/sets/images/6605-1.jpg"
3477,"6621",1,"Fire Truck",1984,"Town","Modern day","Fire","Normal",TRUE,38,1,"https://brickset.com/sets/6621-1",3.4,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6621-1.jpg","https://images.brickset.com/sets/images/6621-1.jpg"
3478,"6622",1,"Mailman on Motorcycle",1984,"Town","Modern day","Postal","Normal",TRUE,26,2,"https://brickset.com/sets/6622-1",3.8,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6622-1.jpg","https://images.brickset.com/sets/images/6622-1.jpg"
4925,"6628",2,"Construction Workers",1984,"Town","Modern day","Accessories","Normal",TRUE,20,4,"https://brickset.com/sets/6628-2",0,1,"Blister pack","Retail - limited",NA,"https://images.brickset.com/sets/small/6628-2.jpg","https://images.brickset.com/sets/images/6628-2.jpg"
3509,"6655",1,"Auto & Tire Repair",1984,"Town","Modern day","Shops and Services","Normal",TRUE,58,1,"https://brickset.com/sets/6655-1",3.8,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6655-1.jpg","https://images.brickset.com/sets/images/6655-1.jpg"
3539,"6684",1,"Police Patrol Squad",1984,"Town","Modern day","Police","Normal",TRUE,77,2,"https://brickset.com/sets/6684-1",3.8,7,"Box","Retail",NA,"https://images.brickset.com/sets/small/6684-1.jpg","https://images.brickset.com/sets/images/6684-1.jpg"
3541,"6686",1,"Backhoe",1984,"Town","Modern day","Construction","Normal",TRUE,88,1,"https://brickset.com/sets/6686-1",4,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6686-1.jpg","https://images.brickset.com/sets/images/6686-1.jpg"
3549,"6694",1,"Car with Camper",1984,"Town","Modern day","Leisure","Normal",TRUE,109,2,"https://brickset.com/sets/6694-1",4.1,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6694-1.jpg","https://images.brickset.com/sets/images/6694-1.jpg"
3550,"6695",1,"Tanker Truck",1984,"Town","Modern day","Vehicles","Normal",TRUE,106,1,"https://brickset.com/sets/6695-1",4,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/6695-1.jpg","https://images.brickset.com/sets/images/6695-1.jpg"
3551,"6696",1,"Fuel Tanker",1984,"Town","Modern day","Vehicles","Normal",TRUE,97,1,"https://brickset.com/sets/6696-1",0,3,"Box","Retail - limited",7,"https://images.brickset.com/sets/small/6696-1.jpg","https://images.brickset.com/sets/images/6696-1.jpg"
3619,"6804",1,"Surface Rover",1984,"Space","Action/Adventure","Classic","Normal",TRUE,21,1,"https://brickset.com/sets/6804-1",3.4,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6804-1.jpg","https://images.brickset.com/sets/images/6804-1.jpg"
3638,"6824",1,"Space Dart I",1984,"Space","Action/Adventure","Classic","Normal",TRUE,48,1,"https://brickset.com/sets/6824-1",3.9,5,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6824-1.jpg","https://images.brickset.com/sets/images/6824-1.jpg"
3656,"6846",1,"Tri-Star Voyager",1984,"Space","Action/Adventure","Classic","Normal",TRUE,69,1,"https://brickset.com/sets/6846-1",4.2,5,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6846-1.jpg","https://images.brickset.com/sets/images/6846-1.jpg"
3670,"6871",1,"Star Patrol Launcher",1984,"Space","Action/Adventure","Classic","Normal",TRUE,63,2,"https://brickset.com/sets/6871-1",3.9,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6871-1.jpg","https://images.brickset.com/sets/images/6871-1.jpg"
3679,"6881",1,"Lunar Rocket Launcher",1984,"Space","Action/Adventure","Classic","Normal",TRUE,97,1,"https://brickset.com/sets/6881-1",4.2,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6881-1.jpg","https://images.brickset.com/sets/images/6881-1.jpg"
3712,"6928",1,"Uranium Search Vehicle",1984,"Space","Action/Adventure","Classic","Normal",TRUE,199,2,"https://brickset.com/sets/6928-1",4.1,4,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6928-1.jpg","https://images.brickset.com/sets/images/6928-1.jpg"
3726,"6951",1,"Robot Command Centre",1984,"Space","Action/Adventure","Classic","Normal",TRUE,295,3,"https://brickset.com/sets/6951-1",4.3,9,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6951-1.jpg","https://images.brickset.com/sets/images/6951-1.jpg"
3741,"6971",1,"Inter-Galactic Command Base",1984,"Space","Action/Adventure","Classic","Normal",TRUE,328,3,"https://brickset.com/sets/6971-1",4.3,5,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/6971-1.jpg","https://images.brickset.com/sets/images/6971-1.jpg"
4098,"8020",1,"Universal Set",1984,"Technic","Technical","Universal","Normal",TRUE,119,NA,"https://brickset.com/sets/8020-1",3.9,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/8020-1.jpg","https://images.brickset.com/sets/images/8020-1.jpg"
4107,"8040",1,"Universal Set",1984,"Technic","Technical","Universal","Normal",TRUE,163,NA,"https://brickset.com/sets/8040-1",3.6,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/8040-1.jpg","https://images.brickset.com/sets/images/8040-1.jpg"
4485,"8843",1,"Fork-Lift Truck",1984,"Technic","Technical",NA,"Normal",TRUE,269,NA,"https://brickset.com/sets/8843-1",3.8,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/8843-1.jpg","https://images.brickset.com/sets/images/8843-1.jpg"
4494,"8851",1,"Excavator",1984,"Technic","Technical",NA,"Normal",TRUE,347,NA,"https://brickset.com/sets/8851-1",4.1,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/8851-1.jpg","https://images.brickset.com/sets/images/8851-1.jpg"
4513,"8889",1,"Ideas Book",1984,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/8889-1",4.1,4,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/8889-1.jpg","https://images.brickset.com/sets/images/8889-1.jpg"
