"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","height","width","depth"
7479,"212",2,"Scooter",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/212-2",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/212-2.jpg","https://images.brickset.com/sets/images/212-2.jpg",NA,NA,NA
6517,"256",1,"Police Officers and Motorcycle",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,86,NA,"https://brickset.com/sets/256-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/256-1.jpg","https://images.brickset.com/sets/images/256-1.jpg",NA,NA,NA
7480,"258",1,"Zoo (with Baseboard)",1976,"Basic","Basic",NA,"Normal",TRUE,486,NA,"https://brickset.com/sets/258-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/258-1.jpg","https://images.brickset.com/sets/images/258-1.jpg",NA,NA,NA
1353,"314",1,"Police Launch",1976,"LEGOLAND","Vintage","Boats","Normal",TRUE,53,2,"https://brickset.com/sets/314-1",3,4,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/314-1.jpg","https://images.brickset.com/sets/images/314-1.jpg",NA,NA,NA
7482,"315",2,"Container Ship",1976,"LEGOLAND","Vintage","Boats","Normal",TRUE,95,NA,"https://brickset.com/sets/315-2",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/315-2.jpg","https://images.brickset.com/sets/images/315-2.jpg",NA,NA,NA
5085,"368",1,"Taxi Garage",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,156,2,"https://brickset.com/sets/368-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/368-1.jpg","https://images.brickset.com/sets/images/368-1.jpg",NA,NA,NA
7436,"369",1,"Coast Guard Station",1976,"LEGOLAND","Vintage","Building","Normal",TRUE,275,5,"https://brickset.com/sets/369-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/369-1.jpg","https://images.brickset.com/sets/images/369-1.jpg",NA,NA,NA
7228,"370",1,"Police Headquarters",1976,"LEGOLAND","Vintage","Building","Normal",TRUE,280,4,"https://brickset.com/sets/370-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/370-1.jpg","https://images.brickset.com/sets/images/370-1.jpg",NA,NA,NA
5216,"385",1,"Jeep with Steering",1976,"LEGOLAND","Vintage","Town","Normal",TRUE,57,NA,"https://brickset.com/sets/385-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/385-1.jpg","https://images.brickset.com/sets/images/385-1.jpg",NA,NA,NA
5106,"386",1,"Air Ambulance",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,151,3,"https://brickset.com/sets/386-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/386-1.jpg","https://images.brickset.com/sets/images/386-1.jpg",NA,NA,NA
