"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight"
7648,"2008",1,"Heart",2008,"Miscellaneous","Miscellaneous","Employee gift","Normal",TRUE,92,NA,"https://brickset.com/sets/2008-1",0,0,"Polybag","Not sold",7,"https://images.brickset.com/sets/small/2008-1.jpg","https://images.brickset.com/sets/images/2008-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6491,"2230",1,"In-flight Helicopter and Raft",2008,"City","Modern day","Great Outdoors","Normal",TRUE,115,2,"https://brickset.com/sets/2230-1",0,1,"Box","Promotional (Airline)",NA,"https://images.brickset.com/sets/small/2230-1.jpg","https://images.brickset.com/sets/images/2230-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6219,"3830",1,"The Bikini Bottom Express",2008,"SpongeBob SquarePants","Licensed",NA,"Normal",TRUE,210,3,"https://brickset.com/sets/3830-1",4,11,"Box","Retail",6,"https://images.brickset.com/sets/small/3830-1.jpg","https://images.brickset.com/sets/images/3830-1.jpg",19.99,"2007-12-22T00:00:00Z","2009-12-01T00:00:00Z",18.59,"2008-05-04T00:00:00Z","2009-11-06T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,28.8,4.8,0.41
6220,"3831",1,"Rocket Ride",2008,"SpongeBob SquarePants","Licensed",NA,"Normal",TRUE,279,3,"https://brickset.com/sets/3831-1",4,6,"Box","Retail",7,"https://images.brickset.com/sets/small/3831-1.jpg","https://images.brickset.com/sets/images/3831-1.jpg",29.99,"2007-12-22T00:00:00Z","2009-11-24T00:00:00Z",26.45,"2008-05-04T00:00:00Z","2009-11-22T00:00:00Z",NA,NA,NA,NA,NA,NA,38.4,28.8,6,0.6
6536,"3832",1,"SpongeBob's Emergency",2008,"SpongeBob SquarePants","Licensed",NA,"Normal",TRUE,236,3,"https://brickset.com/sets/3832-1",3.8,5,"Box","Retail",7,"https://images.brickset.com/sets/small/3832-1.jpg","https://images.brickset.com/sets/images/3832-1.jpg",29.99,"2008-08-03T00:00:00Z","2009-04-10T00:00:00Z",24.49,"2008-07-02T00:00:00Z","2009-01-07T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,38.4,6,NA
6443,"4210",1,"Coast Guard Platform",2008,"City","Modern day","Coast Guard","Normal",TRUE,469,4,"https://brickset.com/sets/4210-1",4.2,7,"Box","Retail",NA,"https://images.brickset.com/sets/small/4210-1.jpg","https://images.brickset.com/sets/images/4210-1.jpg",49.99,"2008-10-19T00:00:00Z","2009-03-17T00:00:00Z",43.99,"2008-07-10T00:00:00Z","2009-01-19T00:00:00Z",NA,NA,NA,NA,NA,NA,38.4,48,7.2,NA
6295,"4837",1,"Mini Trains",2008,"Creator","Model making","3 in 1","Normal",TRUE,73,NA,"https://brickset.com/sets/4837-1",3.7,10,"Plastic canister","Retail",NA,"https://images.brickset.com/sets/small/4837-1.jpg","https://images.brickset.com/sets/images/4837-1.jpg",4.99,"2007-12-21T00:00:00Z","2009-02-01T00:00:00Z",3.89,"2008-01-02T00:00:00Z","2009-12-30T00:00:00Z",NA,NA,NA,NA,NA,NA,14.35,10.2,4.8,0.11
6294,"4838",1,"Mini Vehicles",2008,"Creator","Model making","3 in 1","Normal",TRUE,79,NA,"https://brickset.com/sets/4838-1",3.5,5,"Plastic canister","Retail",6,"https://images.brickset.com/sets/small/4838-1.jpg","https://images.brickset.com/sets/images/4838-1.jpg",4.99,"2007-12-21T00:00:00Z","2009-02-21T00:00:00Z",3.89,"2008-01-02T00:00:00Z","2009-12-30T00:00:00Z",NA,NA,NA,NA,NA,NA,14.35,10.2,4.8,0.11
6589,"4862",1,"Ambush",2008,"Duplo","Pre-school","Castle","Normal",TRUE,15,2,"https://brickset.com/sets/4862-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4862-1.jpg","https://images.brickset.com/sets/images/4862-1.jpg",16.99,"2008-06-01T00:00:00Z","2009-05-06T00:00:00Z",9.79,"2008-05-14T00:00:00Z","2009-06-19T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6591,"4863",1,"Sentry & Catapult",2008,"Duplo","Pre-school","Castle","Normal",TRUE,41,2,"https://brickset.com/sets/4863-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4863-1.jpg","https://images.brickset.com/sets/images/4863-1.jpg",24.99,"2008-07-21T00:00:00Z","2008-10-23T00:00:00Z",19.55,"2008-05-21T00:00:00Z","2009-07-20T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,38.4,7.2,NA
6590,"4864",1,"Castle",2008,"Duplo","Pre-school","Castle","Normal",TRUE,115,3,"https://brickset.com/sets/4864-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4864-1.jpg","https://images.brickset.com/sets/images/4864-1.jpg",79.99,"2008-05-26T00:00:00Z","2009-10-06T00:00:00Z",54.99,"2008-05-14T00:00:00Z","2009-12-12T00:00:00Z",NA,NA,NA,NA,NA,NA,48,57.6,9.6,NA
6592,"4897",1,"Police Trike",2008,"City","Modern day","Police","Normal",FALSE,24,NA,"https://brickset.com/sets/4897-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/4897-1.jpg","https://images.brickset.com/sets/images/4897-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6593,"4898",1,"Coast Guard Boat",2008,"City","Modern day","Coast Guard","Normal",TRUE,35,1,"https://brickset.com/sets/4898-1",0,2,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/4898-1.jpg","https://images.brickset.com/sets/images/4898-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,0,NA
6594,"4900",1,"Fire Helicopter",2008,"City","Modern day","Fire","Normal",TRUE,34,1,"https://brickset.com/sets/4900-1",3.2,6,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/4900-1.jpg","https://images.brickset.com/sets/images/4900-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,1.2,NA
6435,"4993",1,"Cool Convertible",2008,"Creator","Model making","3 in 1","Normal",TRUE,648,NA,"https://brickset.com/sets/4993-1",4.1,6,"Box","Retail",8,"https://images.brickset.com/sets/small/4993-1.jpg","https://images.brickset.com/sets/images/4993-1.jpg",49.99,"2008-05-26T00:00:00Z","2010-11-18T00:00:00Z",39.99,"2008-06-07T00:00:00Z","2010-12-03T00:00:00Z",59.99,"2010-09-24T00:00:00Z","2011-05-22T00:00:00Z",NA,NA,NA,28.8,48.01,7.2,1.35
6237,"4994",1,"Fierce Creatures",2008,"Creator","Model making","3 in 1","Normal",TRUE,193,NA,"https://brickset.com/sets/4994-1",3.4,3,"Box","Retail",6,"https://images.brickset.com/sets/small/4994-1.jpg","https://images.brickset.com/sets/images/4994-1.jpg",12.99,"2007-12-07T00:00:00Z","2009-12-06T00:00:00Z",8.79,"2008-01-02T00:00:00Z","2009-11-18T00:00:00Z",NA,NA,NA,NA,NA,NA,19.2,28.8,4.8,0.28
6238,"4995",1,"Cargo Copter",2008,"Creator","Model making","3 in 1","Normal",TRUE,272,NA,"https://brickset.com/sets/4995-1",3.8,6,"Box","Retail",7,"https://images.brickset.com/sets/small/4995-1.jpg","https://images.brickset.com/sets/images/4995-1.jpg",19.99,"2007-12-22T00:00:00Z","2009-12-12T00:00:00Z",15.65,"2008-01-02T00:00:00Z","2009-11-24T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,28.8,6,0.6
6231,"4996",1,"Beach House",2008,"Creator","Model making","3 in 1","Normal",TRUE,522,NA,"https://brickset.com/sets/4996-1",4.2,34,"Box","Retail",8,"https://images.brickset.com/sets/small/4996-1.jpg","https://images.brickset.com/sets/images/4996-1.jpg",34.99,"2007-12-21T00:00:00Z","2010-11-28T00:00:00Z",24.99,"2008-01-02T00:00:00Z","2010-11-25T00:00:00Z",39.99,"2010-09-24T00:00:00Z","2011-05-22T00:00:00Z",NA,NA,NA,28.8,38.4,7.2,1.13
6436,"4997",1,"Transport Ferry",2008,"Creator","Model making","3 in 1","Normal",TRUE,1279,NA,"https://brickset.com/sets/4997-1",4.4,13,"Box","Retail",8,"https://images.brickset.com/sets/small/4997-1.jpg","https://images.brickset.com/sets/images/4997-1.jpg",69.99,"2008-06-27T00:00:00Z","2009-11-24T00:00:00Z",51.85,"2008-06-07T00:00:00Z","2010-01-08T00:00:00Z",NA,NA,NA,NA,NA,NA,38.4,57.6,9.6,2.24
6437,"4998",1,"Stegosaurus",2008,"Creator","Model making","3 in 1","Normal",TRUE,731,NA,"https://brickset.com/sets/4998-1",4.1,3,"Box","Retail",7,"https://images.brickset.com/sets/small/4998-1.jpg","https://images.brickset.com/sets/images/4998-1.jpg",49.99,"2008-05-26T00:00:00Z","2009-11-30T00:00:00Z",36.19,"2008-06-07T00:00:00Z","2009-11-10T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,48,7.2,1.34
6678,"4999",1,"Vestas Wind Turbine",2008,"Advanced models","Model making","Vestas","Normal",TRUE,815,3,"https://brickset.com/sets/4999-1",4.3,4,"Box","Promotional",NA,"https://images.brickset.com/sets/small/4999-1.jpg","https://images.brickset.com/sets/images/4999-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6472,"5372",1,"Skeleton Chariot",2008,"Castle","Historical","Fantasy Era","Normal",TRUE,20,NA,"https://brickset.com/sets/5372-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/5372-1.jpg","https://images.brickset.com/sets/images/5372-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6474,"5373",1,"Knight & Catapult",2008,"Castle","Historical","Fantasy Era","Normal",FALSE,21,NA,"https://brickset.com/sets/5373-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/5373-1.jpg","https://images.brickset.com/sets/images/5373-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9837,"5380",2,"Large Brick Box - Green Plate Version",2008,"Duplo","Pre-school",NA,"Normal",TRUE,71,1,"https://brickset.com/sets/5380-2",0,0,"Tub","{Not specified}",NA,"https://images.brickset.com/sets/small/5380-2.jpg","https://images.brickset.com/sets/images/5380-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6457,"5522",1,"Golden Anniversary Set",2008,"Bricks and More","Basic",NA,"Normal",TRUE,700,NA,"https://brickset.com/sets/5522-1",3.9,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/5522-1.jpg","https://images.brickset.com/sets/images/5522-1.jpg",39.99,"2008-05-26T00:00:00Z","2009-03-31T00:00:00Z",19.99,"2008-05-14T00:00:00Z","2008-11-21T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,48,7.2,1.1
6506,"5543",1,"Percy at the Sheds",2008,"Duplo","Pre-school","Thomas & Friends","Normal",TRUE,34,1,"https://brickset.com/sets/5543-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/5543-1.jpg","https://images.brickset.com/sets/images/5543-1.jpg",19.99,"2008-06-30T00:00:00Z","2009-11-14T00:00:00Z",17.59,"2008-05-14T00:00:00Z","2010-01-25T00:00:00Z",NA,NA,NA,NA,NA,NA,28.8,28.8,9.6,0.64
