"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
31588,"14",1,"Space Mini-Figures",1982,"Space","Action/Adventure","Classic","Normal",TRUE,24,4,"https://brickset.com/sets/14-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/14-1.jpg","https://images.brickset.com/sets/images/14-1.jpg"
2970,"599",1,"Basic Building Set, 5+",1982,"Basic","Basic",NA,"Normal",TRUE,748,3,"https://brickset.com/sets/599-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/599-1.jpg","https://images.brickset.com/sets/images/599-1.jpg"
5047,"1030",1,"Technic I Simple Machines Set",1982,"Dacta","Educational","Technic","Normal",TRUE,178,NA,"https://brickset.com/sets/1030-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1030-1.jpg","https://images.brickset.com/sets/images/1030-1.jpg"
6513,"1066",1,"Little People with Accessories",1982,"Dacta","Educational","Town","Normal",TRUE,138,36,"https://brickset.com/sets/1066-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1066-1.jpg","https://images.brickset.com/sets/images/1066-1.jpg"
7864,"1082",1,"Roof Bricks",1982,"Dacta","Educational",NA,"Normal",TRUE,336,NA,"https://brickset.com/sets/1082-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1082-1.jpg","https://images.brickset.com/sets/images/1082-1.jpg"
26888,"1201",1,"Hooks",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1201-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
22614,"1205",1,"Keys for wind-up motor",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1205-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1205-1.jpg","https://images.brickset.com/sets/images/1205-1.jpg"
9119,"1209",1,"{Fences and Gates}",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/1209-1",0,0,"Polybag","LEGO exclusive",NA,"https://images.brickset.com/sets/small/1209-1.jpg","https://images.brickset.com/sets/images/1209-1.jpg"
195,"1211",1,"Space Stands and Brackets",1982,"Service Packs","Miscellaneous","Space","Normal",TRUE,8,NA,"https://brickset.com/sets/1211-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA
31380,"1212",1,"Rocket tops",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1212-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
31381,"1213",1,"Space Radar Disks",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/1213-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
24044,"1221",1,"Yellow beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1221-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24046,"1222",1,"Blue beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1222-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24047,"1223",1,"Black beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1223-1",0,0,"Polybag","{Not specified}",NA,NA,NA
24045,"1224",1,"Red beams",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,8,NA,"https://brickset.com/sets/1224-1",0,0,"Polybag","{Not specified}",NA,NA,NA
22615,"1226",1,"Tractor wheels and tyres",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/1226-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1226-1.jpg","https://images.brickset.com/sets/images/1226-1.jpg"
31379,"1229",1,"Chain links",1982,"Service Packs","Miscellaneous",NA,"Normal",TRUE,70,NA,"https://brickset.com/sets/1229-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1229-1.jpg","https://images.brickset.com/sets/images/1229-1.jpg"
48619,"1230",1,"Bulldozer chain links",1982,"Service Packs","Miscellaneous","Technic","Normal",TRUE,54,NA,"https://brickset.com/sets/1230-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
436,"1590",2,"Breakdown Assistance",1982,"Town","Modern day","Special","Normal",TRUE,233,4,"https://brickset.com/sets/1590-2",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1590-2.jpg","https://images.brickset.com/sets/images/1590-2.jpg"
22544,"1600",1,"Pampers Gift Pack",1982,"Duplo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/1600-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1600-1.jpg","https://images.brickset.com/sets/images/1600-1.jpg"
489,"1656",2,"Viking Line Ferry",1982,"Promotional","Miscellaneous","Ferries","Normal",TRUE,244,NA,"https://brickset.com/sets/1656-2",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1656-2.jpg","https://images.brickset.com/sets/images/1656-2.jpg"
492,"1658",1,"Viking Line Ferry 'Viking Saga'",1982,"Promotional","Miscellaneous","Ferries","Normal",TRUE,207,NA,"https://brickset.com/sets/1658-1",0,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1658-1.jpg","https://images.brickset.com/sets/images/1658-1.jpg"
5920,"1905",1,"Mini Building Set",1982,"Basic","Basic",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/1905-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1905-1.jpg","https://images.brickset.com/sets/images/1905-1.jpg"
5807,"1910",1,"3+ Building Set",1982,"Basic","Basic",NA,"Normal",TRUE,85,NA,"https://brickset.com/sets/1910-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1910-1.jpg","https://images.brickset.com/sets/images/1910-1.jpg"
22545,"1920",1,"Promo Basic Set",1982,"Basic","Basic",NA,"Normal",TRUE,115,NA,"https://brickset.com/sets/1920-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1920-1.jpg","https://images.brickset.com/sets/images/1920-1.jpg"
22546,"1922",2,"Basic Building Set with Storage Case",1982,"Basic","Basic",NA,"Normal",TRUE,52,NA,"https://brickset.com/sets/1922-2",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/1922-2.jpg","https://images.brickset.com/sets/images/1922-2.jpg"
