"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight"
22438,"1166",1,"Stack-n-Learn Gift Item",2003,"Duplo","Pre-school",NA,"Normal",TRUE,42,2,"https://brickset.com/sets/1166-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,"1385",1,"Clikits Bracelet",2003,"Clikits","Girls",NA,"Normal",TRUE,13,NA,"https://brickset.com/sets/1385-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1385-1.jpg","https://images.brickset.com/sets/images/1385-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,"1431",1,"Tahnok Va",2003,"Bionicle","Constraction","Bohrok Va","Normal",TRUE,27,NA,"https://brickset.com/sets/1431-1",0,3,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1431-1.jpg","https://images.brickset.com/sets/images/1431-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"1432",1,"Nuhvok Va",2003,"Bionicle","Constraction","Bohrok Va","Normal",TRUE,26,NA,"https://brickset.com/sets/1432-1",0,2,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1432-1.jpg","https://images.brickset.com/sets/images/1432-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,"1433",1,"Gahlok Va",2003,"Bionicle","Constraction","Bohrok Va","Normal",TRUE,26,NA,"https://brickset.com/sets/1433-1",0,3,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1433-1.jpg","https://images.brickset.com/sets/images/1433-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"1434",1,"Lehvak Va",2003,"Bionicle","Constraction","Bohrok Va","Normal",TRUE,25,NA,"https://brickset.com/sets/1434-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1434-1.jpg","https://images.brickset.com/sets/images/1434-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,"1441",1,"Fikou",2003,"Bionicle","Constraction","Rahi","Normal",TRUE,13,NA,"https://brickset.com/sets/1441-1",4.2,7,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1441-1.jpg","https://images.brickset.com/sets/images/1441-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23647,"1729",2,"Luke Skywalker pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1729-2",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1729-2.jpg","https://images.brickset.com/sets/images/1729-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23648,"1730",2,"Paploo pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1730-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1730-2.jpg","https://images.brickset.com/sets/images/1730-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23649,"1731",2,"Storm Trooper pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1731-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1731-2.jpg","https://images.brickset.com/sets/images/1731-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23650,"1732",2,"Obi-Wan Kenobi pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1732-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1732-2.jpg","https://images.brickset.com/sets/images/1732-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23651,"1733",2,"Tusken Raider pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1733-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1733-2.jpg","https://images.brickset.com/sets/images/1733-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23652,"1734",2,"Yoda pen",2003,"Gear","Miscellaneous","Pens","Gear",TRUE,NA,NA,"https://brickset.com/sets/1734-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1734-2.jpg","https://images.brickset.com/sets/images/1734-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,"3219",1,"Mini TIE Fighter",2003,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,12,NA,"https://brickset.com/sets/3219-1",3.5,5,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/3219-1.jpg","https://images.brickset.com/sets/images/3219-1.jpg",NA,NA,NA,NA,NA,NA,14,14,1,NA
1397,"3223",1,"Little Fish",2003,"Creator","Model making","Designer Set","Normal",TRUE,43,NA,"https://brickset.com/sets/3223-1",0,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/3223-1.jpg","https://images.brickset.com/sets/images/3223-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,"3284",1,"Bob's Busy Day",2003,"Explore","Pre-school","Bob the Builder","Normal",TRUE,9,1,"https://brickset.com/sets/3284-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3284-1.jpg","https://images.brickset.com/sets/images/3284-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,"3285",1,"Wendy in the Office",2003,"Explore","Pre-school","Bob the Builder","Normal",TRUE,9,1,"https://brickset.com/sets/3285-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3285-1.jpg","https://images.brickset.com/sets/images/3285-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,"3286",1,"Spud and Bird",2003,"Explore","Pre-school","Bob the Builder","Normal",TRUE,9,1,"https://brickset.com/sets/3286-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3286-1.jpg","https://images.brickset.com/sets/images/3286-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,"3287",1,"Takutanuva",2003,"Bionicle","Constraction","Warriors","Collection",TRUE,399,NA,"https://brickset.com/sets/3287-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3287-1.jpg","https://images.brickset.com/sets/images/3287-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,"3380",1,"Johnny Thunder",2003,"Adventurers","Historical","Orient Expedition","Normal",TRUE,6,1,"https://brickset.com/sets/3380-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/3380-1.jpg","https://images.brickset.com/sets/images/3380-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
