"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight"
2084,"4346",1,"Robo Pod",2004,"Creator","Model making","3 in 1","Normal",TRUE,50,NA,"https://brickset.com/sets/4346-1",3.8,9,"Plastic canister","Retail",NA,"https://images.brickset.com/sets/small/4346-1.jpg","https://images.brickset.com/sets/images/4346-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
23129,"4346",2,"Robo Pod",2004,"Creator","Model making",NA,"Normal",TRUE,47,NA,"https://brickset.com/sets/4346-2",0,0,"Polybag","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
2085,"4347",1,"Auto Pod",2004,"Creator","Model making","3 in 1","Normal",TRUE,39,NA,"https://brickset.com/sets/4347-1",3.6,9,"Plastic canister","Retail",NA,"https://images.brickset.com/sets/small/4347-1.jpg","https://images.brickset.com/sets/images/4347-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
23128,"4347",2,"Auto Pod",2004,"Creator","Model making",NA,"Normal",TRUE,36,NA,"https://brickset.com/sets/4347-2",0,0,"Polybag","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
2086,"4348",1,"Aero Pod",2004,"Creator","Model making","3 in 1","Normal",TRUE,36,NA,"https://brickset.com/sets/4348-1",3.4,6,"Plastic canister","Retail",NA,"https://images.brickset.com/sets/small/4348-1.jpg","https://images.brickset.com/sets/images/4348-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
23126,"4348",2,"Aero Pod",2004,"Creator","Model making",NA,"Normal",TRUE,33,NA,"https://brickset.com/sets/4348-2",0,0,"Polybag","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
2087,"4349",1,"Creatures Pod",2004,"Creator","Model making","3 in 1","Normal",TRUE,44,NA,"https://brickset.com/sets/4349-1",3.5,9,"Plastic canister","Retail",NA,"https://images.brickset.com/sets/small/4349-1.jpg","https://images.brickset.com/sets/images/4349-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
23127,"4349",2,"Wild Pod",2004,"Creator","Model making",NA,"Normal",TRUE,41,NA,"https://brickset.com/sets/4349-2",0,0,"Polybag","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,11,6,NA
2098,"4406",1,"Buildings",2004,"Creator","Model making",NA,"Normal",TRUE,506,NA,"https://brickset.com/sets/4406-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/4406-1.jpg","https://images.brickset.com/sets/images/4406-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,38.4,9.6,NA
2099,"4407",1,"Transportation",2004,"Creator","Model making",NA,"Normal",TRUE,301,NA,"https://brickset.com/sets/4407-1",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/4407-1.jpg","https://images.brickset.com/sets/images/4407-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,28.8,9.6,NA
2100,"4408",1,"Animals",2004,"Creator","Model making",NA,"Normal",TRUE,202,NA,"https://brickset.com/sets/4408-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/4408-1.jpg","https://images.brickset.com/sets/images/4408-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,28.8,6,NA
2101,"4410",1,"Build and Create",2004,"Creator","Model making",NA,"Normal",TRUE,500,NA,"https://brickset.com/sets/4410-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/4410-1.jpg","https://images.brickset.com/sets/images/4410-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,28.8,9.6,NA
2102,"4411",1,"Blue Strata XXL",2004,"Creator","Model making","Bucket","Normal",TRUE,1200,NA,"https://brickset.com/sets/4411-1",0,2,"Tub","Retail",NA,"https://images.brickset.com/sets/small/4411-1.jpg","https://images.brickset.com/sets/images/4411-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,37.6,27.3,NA
2103,"4412",1,"Olympia Bucket",2004,"Creator","Model making","Bucket","Normal",TRUE,200,NA,"https://brickset.com/sets/4412-1",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/4412-1.jpg","https://images.brickset.com/sets/images/4412-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
