"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
8415,"1",11,"Basic Souvenir Box",1981,"Basic","Basic",NA,"Normal",TRUE,38,NA,"https://brickset.com/sets/1-11",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1-11.jpg","https://images.brickset.com/sets/images/1-11.jpg"
845,"226",2,"Building Ideas Book",1981,"Books","Miscellaneous","LEGO","Book",TRUE,NA,NA,"https://brickset.com/sets/226-2",3.9,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/226-2.jpg","https://images.brickset.com/sets/images/226-2.jpg"
1395,"322",1,"Basic Set",1981,"Basic","Basic",NA,"Normal",TRUE,53,NA,"https://brickset.com/sets/322-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/322-1.jpg","https://images.brickset.com/sets/images/322-1.jpg"
1462,"333",1,"Basic Set",1981,"Basic","Basic",NA,"Normal",TRUE,98,2,"https://brickset.com/sets/333-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/333-1.jpg","https://images.brickset.com/sets/images/333-1.jpg"
1636,"355",2,"Universal Building Set",1981,"Basic","Basic",NA,"Normal",TRUE,181,2,"https://brickset.com/sets/355-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/355-2.jpg","https://images.brickset.com/sets/images/355-2.jpg"
1721,"366",1,"Basic Building Set",1981,"Basic","Basic",NA,"Normal",TRUE,184,2,"https://brickset.com/sets/366-1",0,0,"Box","{Not specified}",3,"https://images.brickset.com/sets/small/366-1.jpg","https://images.brickset.com/sets/images/366-1.jpg"
2780,"544",1,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,141,1,"https://brickset.com/sets/544-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/544-1.jpg","https://images.brickset.com/sets/images/544-1.jpg"
2806,"555",2,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,246,2,"https://brickset.com/sets/555-2",4,4,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/555-2.jpg","https://images.brickset.com/sets/images/555-2.jpg"
2824,"566",1,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,288,2,"https://brickset.com/sets/566-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/566-1.jpg","https://images.brickset.com/sets/images/566-1.jpg"
2850,"577",1,"Basic Building Set, 5+",1981,"Basic","Basic",NA,"Normal",TRUE,384,2,"https://brickset.com/sets/577-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/577-1.jpg","https://images.brickset.com/sets/images/577-1.jpg"
