"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight"
248,"1298",1,"Advent Calendar",1998,"Classic","Basic",NA,"Collection",TRUE,158,NA,"https://brickset.com/sets/1298-1",0,1,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1298-1.jpg","https://images.brickset.com/sets/images/1298-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,"1800",1,"Turtle",1998,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1800-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1800-1.jpg","https://images.brickset.com/sets/images/1800-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,"2000",1,"Sally Starfish",1998,"Primo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2000-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2000-1.jpg","https://images.brickset.com/sets/images/2000-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"2001",1,"Sun Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/2001-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2001-1.jpg","https://images.brickset.com/sets/images/2001-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4929,"2002",1,"Jumbo Building Bag",1998,"Primo","Pre-school",NA,"Normal",TRUE,80,NA,"https://brickset.com/sets/2002-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,"2007",1,"Singing Camel",1998,"Primo","Pre-school",NA,"Normal",TRUE,1,1,"https://brickset.com/sets/2007-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2007-1.jpg","https://images.brickset.com/sets/images/2007-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,"2011",1,"My Home Stack 'n' Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/2011-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2011-1.jpg","https://images.brickset.com/sets/images/2011-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9405,"2012",1,"Lucy Ladybug",1998,"Primo","Pre-school",NA,"Normal",TRUE,13,NA,"https://brickset.com/sets/2012-1",0,0,"Plastic box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,"2013",1,"My First Train Stack 'n' Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,10,1,"https://brickset.com/sets/2013-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2013-1.jpg","https://images.brickset.com/sets/images/2013-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4932,"2017",1,"Choo Choo Train",1998,"Primo","Pre-school",NA,"Normal",TRUE,13,1,"https://brickset.com/sets/2017-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,"2018",1,"Little Brother Stack 'n' Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,19,1,"https://brickset.com/sets/2018-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2018-1.jpg","https://images.brickset.com/sets/images/2018-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6653,"2019",1,"Bumper Stack and Learn Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,30,1,"https://brickset.com/sets/2019-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2019-1.jpg","https://images.brickset.com/sets/images/2019-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"2021",1,"Clarence Caterpillar and Friends Gift Set",1998,"Primo","Pre-school",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/2021-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2021-1.jpg","https://images.brickset.com/sets/images/2021-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,"2022",1,"Edward Elephant",1998,"Primo","Pre-school",NA,"Normal",TRUE,11,NA,"https://brickset.com/sets/2022-1",0,0,"Other","Retail",NA,"https://images.brickset.com/sets/small/2022-1.jpg","https://images.brickset.com/sets/images/2022-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4933,"2028",2,"Try-Me-Set with Bee",1998,"Primo","Pre-school",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/2028-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,"2130",1,"Duck",1998,"Basic","Basic",NA,"Normal",TRUE,7,NA,"https://brickset.com/sets/2130-1",0,2,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2130-1.jpg","https://images.brickset.com/sets/images/2130-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,"2131",1,"Hippo",1998,"Basic","Basic",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/2131-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2131-1.jpg","https://images.brickset.com/sets/images/2131-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"2132",1,"Cow",1998,"Basic","Basic",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2132-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2132-1.jpg","https://images.brickset.com/sets/images/2132-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,"2133",1,"Bull",1998,"Basic","Basic",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/2133-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2133-1.jpg","https://images.brickset.com/sets/images/2133-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"2134",1,"Bison",1998,"Basic","Basic",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2134-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2134-1.jpg","https://images.brickset.com/sets/images/2134-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,"2198",1,"Building Plates",1998,"Duplo","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/2198-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2198-1.jpg","https://images.brickset.com/sets/images/2198-1.jpg",6.99,"2007-10-24T00:00:00Z","2011-12-13T00:00:00Z",8.49,"2007-10-24T00:00:00Z","2011-12-28T00:00:00Z",9.99,"2010-09-24T00:00:00Z","2011-12-13T00:00:00Z",19.51,29.21,1.7,0.21
831,"2222",1,"Tunnel Fun",1998,"Duplo","Pre-school",NA,"Normal",TRUE,33,1,"https://brickset.com/sets/2222-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2222-1.jpg","https://images.brickset.com/sets/images/2222-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
832,"2223",1,"Spooky House",1998,"Duplo","Pre-school",NA,"Normal",TRUE,39,2,"https://brickset.com/sets/2223-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,"2224",1,"Duplo Tub",1998,"Duplo","Pre-school",NA,"Normal",TRUE,118,2,"https://brickset.com/sets/2224-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2224-1.jpg","https://images.brickset.com/sets/images/2224-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"2226",1,"Duplo Bucket",1998,"Duplo","Pre-school",NA,"Normal",TRUE,50,NA,"https://brickset.com/sets/2226-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
