"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight"
142,"1100",1,"Sky Pirates",2001,"Town","Modern day","Special","Normal",TRUE,108,2,"https://brickset.com/sets/1100-1",0,1,"Box","Promotional (Airline)",NA,"https://images.brickset.com/sets/small/1100-1.jpg","https://images.brickset.com/sets/images/1100-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"1195",1,"Alien Encounter",2001,"Space","Action/Adventure","Life On Mars","Normal",TRUE,42,2,"https://brickset.com/sets/1195-1",3.9,7,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1195-1.jpg","https://images.brickset.com/sets/images/1195-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22439,"1201",2,"Chicken Run",2001,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1201-2",0,0,"Polybag","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,"1202",1,"Single Racers Figure Pack",2001,"Racers","Racing","Xalax","Normal",TRUE,1,1,"https://brickset.com/sets/1202-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1202-1.jpg","https://images.brickset.com/sets/images/1202-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"1237",1,"Honda Asimo",2001,"Technic","Technical","Licensed","Normal",TRUE,56,NA,"https://brickset.com/sets/1237-1",0,1,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1237-1.jpg","https://images.brickset.com/sets/images/1237-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22440,"1238",1,"Medium Bucket",2001,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1238-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"1239",1,"Subzero",2001,"Racers","Racing","Xalax","Normal",TRUE,4,1,"https://brickset.com/sets/1239-1",0,5,"Box","Promotional",NA,"https://images.brickset.com/sets/small/1239-1.jpg","https://images.brickset.com/sets/images/1239-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"1351",1,"Movie Backdrop Studio",2001,"Studios","Modern day","Stunts","Normal",TRUE,211,3,"https://brickset.com/sets/1351-1",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/1351-1.jpg","https://images.brickset.com/sets/images/1351-1.jpg",NA,NA,NA,NA,NA,NA,28.8,48,6,NA
255,"1352",1,"Explosion Studio",2001,"Studios","Modern day","Stunts","Normal",TRUE,232,4,"https://brickset.com/sets/1352-1",3.9,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/1352-1.jpg","https://images.brickset.com/sets/images/1352-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,"1353",1,"Car Stunt Studio",2001,"Studios","Modern day","Stunts","Normal",TRUE,166,2,"https://brickset.com/sets/1353-1",0,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/1353-1.jpg","https://images.brickset.com/sets/images/1353-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,"1354",1,"Dino Head Attack",2001,"Studios","Modern day","Adventurers","Normal",TRUE,94,2,"https://brickset.com/sets/1354-1",3.5,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/1354-1.jpg","https://images.brickset.com/sets/images/1354-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"1355",1,"Temple of Gloom",2001,"Studios","Modern day","Adventurers","Normal",TRUE,58,2,"https://brickset.com/sets/1355-1",3.7,9,"Box","Retail",NA,"https://images.brickset.com/sets/small/1355-1.jpg","https://images.brickset.com/sets/images/1355-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,"1356",1,"Stuntman Catapult",2001,"Studios","Modern day","Stunts","Normal",TRUE,29,2,"https://brickset.com/sets/1356-1",3.5,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/1356-1.jpg","https://images.brickset.com/sets/images/1356-1.jpg",NA,NA,NA,NA,NA,NA,9.6,9.6,4.8,NA
260,"1357",1,"Cameraman",2001,"Studios","Modern day",NA,"Normal",TRUE,21,1,"https://brickset.com/sets/1357-1",3.6,11,"Box","Retail",NA,"https://images.brickset.com/sets/small/1357-1.jpg","https://images.brickset.com/sets/images/1357-1.jpg",NA,NA,NA,NA,NA,NA,7.2,9.6,4.8,NA
262,"1360",1,"Director's Copter",2001,"Studios","Modern day",NA,"Normal",TRUE,22,1,"https://brickset.com/sets/1360-1",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/1360-1.jpg","https://images.brickset.com/sets/images/1360-1.jpg",NA,NA,NA,NA,NA,NA,14.4,9.6,3.9,NA
263,"1361",1,"Camera Car",2001,"Studios","Modern day",NA,"Normal",TRUE,20,1,"https://brickset.com/sets/1361-1",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/1361-1.jpg","https://images.brickset.com/sets/images/1361-1.jpg",NA,NA,NA,NA,NA,NA,14.4,9.6,3.9,NA
264,"1362",1,"Air Boat",2001,"Studios","Modern day","Stunts","Normal",TRUE,24,1,"https://brickset.com/sets/1362-1",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/1362-1.jpg","https://images.brickset.com/sets/images/1362-1.jpg",NA,NA,NA,NA,NA,NA,14.4,9.6,3.9,NA
265,"1363",1,"Stunt Go-Cart",2001,"Studios","Modern day","Stunts","Normal",TRUE,25,1,"https://brickset.com/sets/1363-1",0,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/1363-1.jpg","https://images.brickset.com/sets/images/1363-1.jpg",NA,NA,NA,NA,NA,NA,14.4,9.6,3.9,NA
267,"1370",1,"Raptor Rumble",2001,"Studios","Modern day","Jurassic Park III","Normal",TRUE,157,3,"https://brickset.com/sets/1370-1",3.5,8,"Box","Retail",NA,"https://images.brickset.com/sets/small/1370-1.jpg","https://images.brickset.com/sets/images/1370-1.jpg",NA,NA,NA,NA,NA,NA,19.2,28.8,4.8,NA
268,"1371",1,"Spinosaurus Attack",2001,"Studios","Modern day","Jurassic Park III","Normal",TRUE,155,2,"https://brickset.com/sets/1371-1",3.9,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/1371-1.jpg","https://images.brickset.com/sets/images/1371-1.jpg",NA,NA,NA,NA,NA,NA,28.8,28.8,4.8,NA
279,"1388",1,"Huki",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1388-1",4,14,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1388-1.jpg","https://images.brickset.com/sets/images/1388-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,"1389",1,"Onepu",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1389-1",3.9,15,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1389-1.jpg","https://images.brickset.com/sets/images/1389-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"1390",1,"Maku",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1390-1",3.9,12,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1390-1.jpg","https://images.brickset.com/sets/images/1390-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,"1391",1,"Jala",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1391-1",4,12,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1391-1.jpg","https://images.brickset.com/sets/images/1391-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"1392",1,"Kongu",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1392-1",4.1,10,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1392-1.jpg","https://images.brickset.com/sets/images/1392-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"1393",1,"Matoro",2001,"Bionicle","Constraction","Matoran","Normal",TRUE,8,NA,"https://brickset.com/sets/1393-1",3.7,9,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1393-1.jpg","https://images.brickset.com/sets/images/1393-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,"1403",1,"Racing Leopard",2001,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/1403-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1403-1.jpg","https://images.brickset.com/sets/images/1403-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,"1404",1,"Racing Tiger",2001,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/1404-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1404-1.jpg","https://images.brickset.com/sets/images/1404-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,"1405",1,"Racing Lion",2001,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/1405-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1405-1.jpg","https://images.brickset.com/sets/images/1405-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,"1406",1,"Nursing the Baby",2001,"Duplo","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/1406-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1406-1.jpg","https://images.brickset.com/sets/images/1406-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"1407",1,"Cooking with Mummy",2001,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/1407-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1407-1.jpg","https://images.brickset.com/sets/images/1407-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,"1408",1,"Walking the dog with Daddy",2001,"Duplo","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/1408-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1408-1.jpg","https://images.brickset.com/sets/images/1408-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,"1411",1,"Pirates Treasure Hunt",2001,"Studios","Modern day","Promotional","Normal",TRUE,31,4,"https://brickset.com/sets/1411-1",3.9,7,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1411-1.jpg","https://images.brickset.com/sets/images/1411-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,"1413",1,"Rover",2001,"Space","Action/Adventure","Life On Mars","Normal",TRUE,29,1,"https://brickset.com/sets/1413-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1413-1.jpg","https://images.brickset.com/sets/images/1413-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"1414",1,"Double Hover",2001,"Space","Action/Adventure","Life On Mars","Normal",TRUE,21,1,"https://brickset.com/sets/1414-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1414-1.jpg","https://images.brickset.com/sets/images/1414-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,"1415",1,"Jet Scooter",2001,"Space","Action/Adventure","Life On Mars","Normal",TRUE,24,1,"https://brickset.com/sets/1415-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1415-1.jpg","https://images.brickset.com/sets/images/1415-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,"1416",1,"Worker Robot",2001,"Space","Action/Adventure","Life On Mars","Normal",TRUE,30,1,"https://brickset.com/sets/1416-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1416-1.jpg","https://images.brickset.com/sets/images/1416-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,"1417",1,"Vakama",2001,"Bionicle","Constraction","Promotional","Normal",TRUE,28,NA,"https://brickset.com/sets/1417-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1417-1.jpg","https://images.brickset.com/sets/images/1417-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,"1418",1,"Matau",2001,"Bionicle","Constraction","Promotional","Normal",TRUE,26,NA,"https://brickset.com/sets/1418-1",0,2,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1418-1.jpg","https://images.brickset.com/sets/images/1418-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"1419",1,"Nokama",2001,"Bionicle","Constraction","Promotional","Normal",TRUE,27,NA,"https://brickset.com/sets/1419-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1419-1.jpg","https://images.brickset.com/sets/images/1419-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"1420",1,"Nuju",2001,"Bionicle","Constraction","Promotional","Normal",TRUE,29,NA,"https://brickset.com/sets/1420-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1420-1.jpg","https://images.brickset.com/sets/images/1420-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"1421",1,"Director's Copter",2001,"Studios","Modern day","Promotional","Normal",TRUE,22,1,"https://brickset.com/sets/1421-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1421-1.jpg","https://images.brickset.com/sets/images/1421-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,"1422",1,"Camera Cart",2001,"Studios","Modern day","Promotional","Normal",TRUE,20,1,"https://brickset.com/sets/1422-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1422-1.jpg","https://images.brickset.com/sets/images/1422-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,"1423",1,"Air Boat",2001,"Studios","Modern day","Promotional","Normal",TRUE,24,1,"https://brickset.com/sets/1423-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1423-1.jpg","https://images.brickset.com/sets/images/1423-1.jpg",NA,NA,NA,NA,NA,NA,13.6525,10.16,3.4925,NA
304,"1424",1,"Stunt Go-Kart",2001,"Studios","Modern day","Promotional","Normal",TRUE,25,1,"https://brickset.com/sets/1424-1",0,0,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/1424-1.jpg","https://images.brickset.com/sets/images/1424-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22441,"1452",1,"Flower",2001,"Baby","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/1452-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22442,"1453",1,"Butterfly",2001,"Baby","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/1453-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22443,"1454",1,"Stack-n-Learn",2001,"Baby","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/1454-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1454-1.jpg","https://images.brickset.com/sets/images/1454-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"1456",1,"Squirt Frog",2001,"Baby","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/1456-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,"1457",1,"Caterpillar",2001,"Baby","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/1457-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1457-1.jpg","https://images.brickset.com/sets/images/1457-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
