"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
7210,"619",1,"Rally Car",1977,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,18,1,"https://brickset.com/sets/619-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/619-1.jpg","https://images.brickset.com/sets/images/619-1.jpg"
7205,"663",1,"Hovercraft",1977,"LEGOLAND","Vintage","Vehicle","Normal",TRUE,60,NA,"https://brickset.com/sets/663-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/663-1.jpg","https://images.brickset.com/sets/images/663-1.jpg"
7507,"664",1,"TV Crew",1977,"LEGOLAND","Vintage",NA,"Normal",TRUE,46,3,"https://brickset.com/sets/664-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/664-1.jpg","https://images.brickset.com/sets/images/664-1.jpg"
3747,"698",1,"Boeing Aeroplane",1977,"LEGOLAND","Vintage",NA,"Normal",TRUE,46,NA,"https://brickset.com/sets/698-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/698-1.jpg","https://images.brickset.com/sets/images/698-1.jpg"
7508,"699",1,"Photo Safari",1977,"LEGOLAND","Vintage",NA,"Normal",TRUE,130,1,"https://brickset.com/sets/699-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/699-1.jpg","https://images.brickset.com/sets/images/699-1.jpg"
7509,"711",1,"Jeep CJ-5",1977,"LEGOLAND","Vintage",NA,"Normal",TRUE,56,NA,"https://brickset.com/sets/711-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/711-1.jpg","https://images.brickset.com/sets/images/711-1.jpg"
5300,"712",1,"Sea Plane",1977,"LEGOLAND","Vintage",NA,"Normal",TRUE,115,2,"https://brickset.com/sets/712-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/712-1.jpg","https://images.brickset.com/sets/images/712-1.jpg"
6739,"727",1,"Locomotive",1977,"Trains","Modern day","4.5/12V","Normal",TRUE,134,NA,"https://brickset.com/sets/727-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/727-1.jpg","https://images.brickset.com/sets/images/727-1.jpg"
4041,"786",1,"Storage Cloth",1977,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/786-1",0,1,"{Not specified}","{Not specified}",NA,NA
4050,"787",1,"Storage Cloth",1977,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/787-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/787-1.jpg","https://images.brickset.com/sets/images/787-1.jpg"
