"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","height","width","depth","weight"
824,"2187",1,"Freestyle Set",1997,"Freestyle","Basic",NA,"Normal",TRUE,60,1,"https://brickset.com/sets/2187-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2187-1.jpg","https://images.brickset.com/sets/images/2187-1.jpg",NA,NA,NA,NA,NA,NA,NA
825,"2188",1,"Freestyle Set",1997,"Freestyle","Basic",NA,"Normal",TRUE,56,1,"https://brickset.com/sets/2188-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2188-1.jpg","https://images.brickset.com/sets/images/2188-1.jpg",NA,NA,NA,NA,NA,NA,NA
6898,"2189",1,"Pony Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,3,NA,"https://brickset.com/sets/2189-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,"2195",1,"JUBEL 3+ BULK",1997,"Basic","Basic",NA,"Normal",TRUE,228,NA,"https://brickset.com/sets/2195-1",0,1,"Bucket","Retail - limited",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
22460,"2199",1,"Large Bulk Bucket",1997,"Basic","Basic",NA,"Normal",TRUE,466,NA,"https://brickset.com/sets/2199-1",0,0,"Bucket","Retail",NA,"https://images.brickset.com/sets/small/2199-1.jpg","https://images.brickset.com/sets/images/2199-1.jpg",NA,NA,NA,NA,NA,NA,NA
837,"2241",1,"Basic Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/2241-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2241-1.jpg","https://images.brickset.com/sets/images/2241-1.jpg",NA,NA,NA,NA,NA,NA,NA
838,"2242",1,"Extra Bricks (S)",1997,"Duplo","Pre-school",NA,"Normal",TRUE,50,NA,"https://brickset.com/sets/2242-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2242-1.jpg","https://images.brickset.com/sets/images/2242-1.jpg",NA,NA,NA,NA,NA,NA,NA
839,"2245",1,"Farmhouse Bucket",1997,"Duplo","Pre-school",NA,"Normal",TRUE,46,1,"https://brickset.com/sets/2245-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22461,"2246",1,"Large Basic Set",1997,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/2246-1",0,0,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,"2247",1,"Extra Bricks (M)",1997,"Duplo","Pre-school",NA,"Normal",TRUE,99,NA,"https://brickset.com/sets/2247-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2247-1.jpg","https://images.brickset.com/sets/images/2247-1.jpg",NA,NA,NA,NA,NA,NA,NA
