"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","weight","height","width","depth"
5043,"611",2,"Air Canada Jet Plane",1988,"Town","Modern day","Special","Normal",TRUE,92,NA,"https://brickset.com/sets/611-2",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/611-2.jpg","https://images.brickset.com/sets/images/611-2.jpg",NA,NA,NA,NA
357,"1490",1,"Town Bank",1988,"Town","Modern day","Shops and Services","Normal",TRUE,187,3,"https://brickset.com/sets/1490-1",3.8,6,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1490-1.jpg","https://images.brickset.com/sets/images/1490-1.jpg",NA,NA,NA,NA
9409,"1495",1,"Basic Building Set Trial Size",1988,"Basic","Basic","Universal Building Set","Normal",TRUE,26,NA,"https://brickset.com/sets/1495-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1495-1.jpg","https://images.brickset.com/sets/images/1495-1.jpg",NA,NA,NA,NA
29633,"1500",1,"Oval Bricks",1988,"Duplo","Pre-school",NA,"Normal",TRUE,2,NA,"https://brickset.com/sets/1500-1",0,0,"Box","{Not specified}",NA,NA,NA,NA,NA,NA,NA
9408,"1514",1,"Basic Building Set Trial Size",1988,"Basic","Basic","Universal Building Set","Normal",TRUE,46,NA,"https://brickset.com/sets/1514-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/1514-1.jpg","https://images.brickset.com/sets/images/1514-1.jpg",NA,NA,NA,NA
5383,"1530",2,"Space Value Pack",1988,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,83,NA,"https://brickset.com/sets/1530-2",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1530-2.jpg","https://images.brickset.com/sets/images/1530-2.jpg",NA,NA,NA,NA
400,"1544",1,"Duplo Building Set",1988,"Duplo","Pre-school",NA,"Normal",TRUE,55,2,"https://brickset.com/sets/1544-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1544-1.jpg","https://images.brickset.com/sets/images/1544-1.jpg",NA,NA,NA,NA
6158,"1577",1,"Basic Set 3+",1988,"Basic","Basic",NA,"Normal",TRUE,216,1,"https://brickset.com/sets/1577-1",0,0,"Bucket","Retail",3,"https://images.brickset.com/sets/small/1577-1.jpg","https://images.brickset.com/sets/images/1577-1.jpg",NA,NA,NA,NA
433,"1584",1,"Knight's Challenge",1988,"Castle","Historical","Lion Knights","Normal",TRUE,132,8,"https://brickset.com/sets/1584-1",4,4,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1584-1.jpg","https://images.brickset.com/sets/images/1584-1.jpg",NA,NA,NA,NA
452,"1612",1,"Victory Racer",1988,"Town","Modern day","Racing","Normal",TRUE,25,1,"https://brickset.com/sets/1612-1",3.4,5,"Polybag","Retail - limited",6,"https://images.brickset.com/sets/small/1612-1.jpg","https://images.brickset.com/sets/images/1612-1.jpg",0.025,NA,NA,NA
455,"1617",1,"Small Bucket",1988,"Basic","Basic",NA,"Normal",TRUE,149,1,"https://brickset.com/sets/1617-1",0,0,"Bucket","Retail",NA,"https://images.brickset.com/sets/small/1617-1.jpg","https://images.brickset.com/sets/images/1617-1.jpg",NA,NA,NA,NA
29394,"1623",1,"Small Bucket",1988,"Duplo","Pre-school",NA,"Normal",TRUE,43,NA,"https://brickset.com/sets/1623-1",0,0,"Bucket","{Not specified}",NA,NA,NA,NA,NA,NA,NA
667,"1929",1,"Toy Soldier",1988,"Basic","Basic",NA,"Normal",TRUE,13,NA,"https://brickset.com/sets/1929-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1929-1.jpg","https://images.brickset.com/sets/images/1929-1.jpg",NA,NA,NA,NA
6376,"2395",1,"{duplo box}",1988,"Duplo","Pre-school",NA,"Normal",TRUE,NA,NA,"https://brickset.com/sets/2395-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
547,"2612",1,"Motorbike & Rider",1988,"Duplo","Pre-school",NA,"Normal",TRUE,1,1,"https://brickset.com/sets/2612-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2612-1.jpg","https://images.brickset.com/sets/images/2612-1.jpg",NA,NA,NA,NA
5022,"2614",1,"Mother and Baby",1988,"Duplo","Pre-school",NA,"Normal",TRUE,1,2,"https://brickset.com/sets/2614-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2614-1.jpg","https://images.brickset.com/sets/images/2614-1.jpg",NA,NA,NA,NA
23103,"2626",1,"Car and Boat Vacation Trailer",1988,"Duplo","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/2626-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2626-1.jpg","https://images.brickset.com/sets/images/2626-1.jpg",NA,NA,NA,NA
23268,"2641",2,"Jumbo Plane",1988,"Duplo","Pre-school",NA,"Normal",TRUE,10,1,"https://brickset.com/sets/2641-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2641-2.jpg","https://images.brickset.com/sets/images/2641-2.jpg",NA,NA,NA,NA
5002,"2652",1,"Circus Caravan",1988,"Duplo","Pre-school",NA,"Normal",TRUE,16,4,"https://brickset.com/sets/2652-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2652-1.jpg","https://images.brickset.com/sets/images/2652-1.jpg",NA,NA,NA,NA
5007,"2701",1,"Train and Station Set",1988,"Duplo","Pre-school","Trains","Normal",TRUE,42,2,"https://brickset.com/sets/2701-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
5008,"2706",1,"Barnyard Express",1988,"Duplo","Pre-school","Trains","Normal",TRUE,10,1,"https://brickset.com/sets/2706-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
5009,"2720",1,"Goods Station",1988,"Duplo","Pre-school","Trains","Normal",TRUE,32,1,"https://brickset.com/sets/2720-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA
1690,"3622",1,"Rowboat with Lionel Lion and Hannah Hippopotamus",1988,"Fabuland","Junior",NA,"Normal",TRUE,12,2,"https://brickset.com/sets/3622-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3622-1.jpg","https://images.brickset.com/sets/images/3622-1.jpg",NA,NA,NA,NA
