"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
5261,"75",1,"PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/75-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/75-1.jpg","https://images.brickset.com/sets/images/75-1.jpg"
5262,"77",1,"PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal",TRUE,20,NA,"https://brickset.com/sets/77-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/77-1.jpg","https://images.brickset.com/sets/images/77-1.jpg"
30975,"077",1,"Pre-School Set",1975,"Duplo","Pre-school",NA,"Normal",TRUE,21,NA,"https://brickset.com/sets/077-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/077-1.jpg","https://images.brickset.com/sets/images/077-1.jpg"
5263,"78",1,"PreSchool Set",1975,"PreSchool","Pre-school",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/78-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
22707,"78",3,"Basic Set",1975,"Samsonite","Vintage","Basic set","Normal",TRUE,330,NA,"https://brickset.com/sets/78-3",0,0,"Box","{Not specified}",NA,NA,NA
7985,"133",1,"Locomotive",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,87,NA,"https://brickset.com/sets/133-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/133-1.jpg","https://images.brickset.com/sets/images/133-1.jpg"
252,"134",1,"Mobile Crane and Wagon",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,86,NA,"https://brickset.com/sets/134-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/134-1.jpg","https://images.brickset.com/sets/images/134-1.jpg"
261,"136",1,"Tanker Wagon",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,83,NA,"https://brickset.com/sets/136-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/136-1.jpg","https://images.brickset.com/sets/images/136-1.jpg"
7437,"137",2,"Passenger Sleeping Car",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,82,NA,"https://brickset.com/sets/137-2",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/137-2.jpg","https://images.brickset.com/sets/images/137-2.jpg"
352,"148",1,"Station",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,293,5,"https://brickset.com/sets/148-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/148-1.jpg","https://images.brickset.com/sets/images/148-1.jpg"
608,"182",1,"Train Set with Motor",1975,"Trains","Modern day","4.5/12V","Normal",TRUE,369,NA,"https://brickset.com/sets/182-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/182-1.jpg","https://images.brickset.com/sets/images/182-1.jpg"
5244,"190",1,"Farm Set",1975,"Building Set with People","Vintage",NA,"Normal",TRUE,526,NA,"https://brickset.com/sets/190-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/190-1.jpg","https://images.brickset.com/sets/images/190-1.jpg"
5269,"195",1,"Airplane",1975,"Building Set with People","Vintage",NA,"Normal",TRUE,89,NA,"https://brickset.com/sets/195-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/195-1.jpg","https://images.brickset.com/sets/images/195-1.jpg"
828,"222",1,"Building Ideas Book",1975,"Books","Miscellaneous","LEGO","Book",TRUE,1,NA,"https://brickset.com/sets/222-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/222-1.jpg","https://images.brickset.com/sets/images/222-1.jpg"
931,"253",2,"Helicopter and Pilot",1975,"Building Set with People","Vintage",NA,"Normal",TRUE,49,NA,"https://brickset.com/sets/253-2",0,2,"Box","Retail",NA,"https://images.brickset.com/sets/small/253-2.jpg","https://images.brickset.com/sets/images/253-2.jpg"
7438,"254",1,"Family",1975,"Building Set with People","Vintage",NA,"Normal",TRUE,103,NA,"https://brickset.com/sets/254-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/254-1.jpg","https://images.brickset.com/sets/images/254-1.jpg"
7439,"255",2,"Farming Scene",1975,"Building Set with People","Vintage",NA,"Normal",TRUE,120,NA,"https://brickset.com/sets/255-2",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/255-2.jpg","https://images.brickset.com/sets/images/255-2.jpg"
6539,"362",1,"Windmill",1975,"LEGOLAND","Vintage",NA,"Normal",TRUE,215,2,"https://brickset.com/sets/362-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/362-1.jpg","https://images.brickset.com/sets/images/362-1.jpg"
6368,"363",1,"Hospital",1975,"LEGOLAND","Vintage",NA,"Normal",TRUE,229,7,"https://brickset.com/sets/363-1",4.1,3,"Box","Retail",NA,"https://images.brickset.com/sets/small/363-1.jpg","https://images.brickset.com/sets/images/363-1.jpg"
7440,"364",1,"Harbour",1975,"LEGOLAND","Vintage",NA,"Normal",TRUE,518,7,"https://brickset.com/sets/364-1",0,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/364-1.jpg","https://images.brickset.com/sets/images/364-1.jpg"
