"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
7465,"1",7,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,107,"https://brickset.com/sets/1-7",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1-7.jpg","https://images.brickset.com/sets/images/1-7.jpg"
7466,"2",7,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,184,"https://brickset.com/sets/2-7",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2-7.jpg","https://images.brickset.com/sets/images/2-7.jpg"
7467,"3",4,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,184,"https://brickset.com/sets/3-4",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/3-4.jpg","https://images.brickset.com/sets/images/3-4.jpg"
7468,"4",3,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,230,"https://brickset.com/sets/4-3",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/4-3.jpg","https://images.brickset.com/sets/images/4-3.jpg"
7469,"5",3,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,349,"https://brickset.com/sets/5-3",0,0,"Box","Retail","https://images.brickset.com/sets/small/5-3.jpg","https://images.brickset.com/sets/images/5-3.jpg"
7470,"6",3,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,349,"https://brickset.com/sets/6-3",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/6-3.jpg","https://images.brickset.com/sets/images/6-3.jpg"
7471,"7",3,"Basic Set",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,415,"https://brickset.com/sets/7-3",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/7-3.jpg","https://images.brickset.com/sets/images/7-3.jpg"
7239,"8",3,"Basic Set #8",1973,"Universal Building Set","Basic",NA,"Normal",TRUE,776,"https://brickset.com/sets/8-3",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/8-3.jpg","https://images.brickset.com/sets/images/8-3.jpg"
7530,"010",2,"Pre-School Set",1973,"Duplo","Pre-school",NA,"Normal",TRUE,17,"https://brickset.com/sets/010-2",0,0,"{Not specified}","{Not specified}",NA,NA
7700,"11",2,"Small pre-school set",1973,"Minitalia","Vintage",NA,"Normal",TRUE,32,"https://brickset.com/sets/11-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/11-2.jpg","https://images.brickset.com/sets/images/11-2.jpg"
7701,"12",2,"Medium pre-school set",1973,"Minitalia","Vintage",NA,"Normal",TRUE,70,"https://brickset.com/sets/12-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/12-2.jpg","https://images.brickset.com/sets/images/12-2.jpg"
7702,"13",2,"Large pre-school set",1973,"Minitalia","Vintage",NA,"Normal",TRUE,92,"https://brickset.com/sets/13-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/13-2.jpg","https://images.brickset.com/sets/images/13-2.jpg"
7703,"14",3,"Small house set",1973,"Minitalia","Vintage",NA,"Normal",TRUE,93,"https://brickset.com/sets/14-3",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/14-3.jpg","https://images.brickset.com/sets/images/14-3.jpg"
7704,"15",2,"Large house set",1973,"Minitalia","Vintage",NA,"Normal",TRUE,157,"https://brickset.com/sets/15-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/15-2.jpg","https://images.brickset.com/sets/images/15-2.jpg"
7705,"16",2,"City square",1973,"Minitalia","Vintage",NA,"Normal",TRUE,NA,"https://brickset.com/sets/16-2",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/16-2.jpg","https://images.brickset.com/sets/images/16-2.jpg"
