"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"omgbrick","2007-07-18T13:33:29.357Z","intersting","i foud this at Toys r us for 8 dollars so i picked it up once you get past the fighter having no contols and the ship not being air tight its actually not that bad looking the laser gun looks good though theres only one the alien is made out of two pieces leges and torso with head and arms only the torso glows in the dark.Ps stickers still it's a nice set 3/5 buy it  ",FALSE,3,0,0,0,0
"Legonater","2007-07-25T22:19:03.77Z","Even better than I thought","I know I reviewed this set before, but now I own it, And I'll like to show what I think now.

Pros: Awesome gun.
      cool cockpit.
      rotating wings
      jewel!

CONS: Um... somebody help please?

All in all, now i still don't like the fact that there's one gun, but the fire power is great enough that that's all it needs.",FALSE,5,0,0,0,0
"Lego_K","2007-09-17T21:46:01.403Z","Cheap and very cheerful set.","In the UK this set is a mere &#163;4, I picked up two (one as a wingman) and I intend on getting at least one more for a three fighter squadron.

For such a small set it stands out and has good qualities.

The white scheme with orage highlights and its general angular design work really well, and the orange cockpit sheild is a nice smooth design which compliments well.

The jet could do with having an identical gun on the other side too, but it doesn't ruin it by having only one.

The fighter does hae a nice landing function, by simply tilting the wings up so they are level to the ground the jet can land on its central area, or as I call it its landing skid.

The additional alien isn't much use, but if you do buy a squadron of these you do end up with a small battalion of aliens you can then use with the other sets.

Only minus points in this set are the lack of firearms for the figures. The slight lack of cockpit protection is a minus, but its forgivale for such a easy obtainable set.

Recommended.",FALSE,5,0,0,0,0
"dragon_teenager","2007-11-04T22:26:18.747Z","Great set if you just want to get your hands on the minifigures for cheap","It's fun, playable, easy to build and cheap. Hard to go wrong.

~PROS~

- Comes with both alien and human minifigures

- Sturdy construction

- Several interesting pieces for such a small set

- Wings fold

- Cheap


~CONS~ 

- The cockpit's windshield is cool, but beyond that there's nothing to indicate a cockpit at all.



Overall: 5/5",FALSE,5,0,0,0,0
"Topcop999","2007-08-12T07:47:57.8Z","worth it!","When i saw the mars mission on the shelf i went MAD and straight away i got this and the trike and just loved the sets and im saving up for the claw tank now the pros and cons.

pros:
cool ship
worth the money
cool figs
nice design

cons:
NONE!

",FALSE,5,0,0,0,0
"Republic_Commando_Sev","2007-07-31T23:52:59.567Z","Small but awesome!","I love this set! It's only $5.00! I love the asturnout! It comes with a crystal! I like how the guns built. I HATE the alien! I like the tail fin to! Great price, and great pieces! GET IT!
Republic Commando Sev",FALSE,4,0,0,0,0
"Sky_guardian","2007-11-17T16:34:35.187Z","good","This is a good starter set here are pros and cons

Pros:
nice color scheme
cool gun
wings can move up and down
1 astronaut(sweet gold mask) and alien mini fig
alien glows in the dark
sturdy

Cons:
no controls
alien has two pieces and legs and head dont glow in the dark
aliens head, legs, and arms cant move
nospot on the plane to put the alien

over all a good set and i like the little crystel.",FALSE,5,0,0,0,0
"_whateverist","2007-12-21T08:05:21.687Z","Some flaws, but good overall ","The Astro Fighter is a very good small set. The craft itself looks great, with four moving parts (cockpit, wings and the laser), a great colour scheme and a very sturdy construction. The pointy wings and big laser cannon look menacing without becoming silly. The set also comes with a lot of useful and interesting parts, from the canopy and the hinges to the neat crystal.
The pilot minifig look good, but the alien is just terrific, resembling a cross between a transparent Gorn and the creature from Alien. 
There are two small downsides, however. The cockpit is barren (no controls whatsoever and the pilot is sitting too far back to even see where he's going) and it's disappointing that you have to fiddle with small stickers, but those two small niggles don't drag this set down. Overall it's a very neat fighter that really fits the Mars theme.",FALSE,4,0,0,0,0
"shima55","2007-12-04T22:28:52.247Z","A great set to introduce someone to Mars Mission, or LEGO for that matter","This is one of the nicer sets for 2007, despite the small size. It is a very good introductory set, both for the price, and the good impression it leaves.

Pros:
Astronaut Minifigure is good
Alien glow is effective
Sturdy
Great price
High play value
Great build

Cons:
Alien is not very poseable
Alien seems thrown it, with no accessories
Cockpit is not airtight
Stickers
The laser on the one side does not look very good

Overall, despite the cons, this is one of LEGO's finest, and is a must for any collection.",FALSE,5,0,0,0,0
"bricklord","2008-02-23T09:26:10.45Z","Great Little Fighter","For $5 u.s. this is exactly what I was expecting.<br><br>This is a great little set with a bunch of good features.<br>- adjustable wings<br>- opening canopy<br>- tilting laser<br>- space minfig<br>- alien fig for target practice<br><br>This is a exactly what I wanted.  A nice little Lego set at an affordable price.",TRUE,4,4,3,5,5
