"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"BaneShake","2009-05-26T11:12:44.78Z","Red and Blue Player Review","This is a great set. It is fun, cheap, and works well as a game you can play against anyone else. Not only can you use it for hockey, but you can also use them as giant robots with your minifigs! I have no cons to bring to your attention.",FALSE,4,0,0,0,0
"lego123456gh","2009-11-29T05:17:53.14Z","Best sport set ever","I got this set yesterday and have never stoped playing with it since,it is just brilliant. 

pros: 
exellent style 
works very easily 
 quick to build 
 cheap
good for partys 

cons:
none! 

I would recomend this set to anyone.",FALSE,5,0,0,0,0
