"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"Falconhood","2006-12-19T05:56:55Z","comes with 7 Droids!!!","that is a BAD pic above, the package pic would be better, on the back it shows that it comes with 4 of the white droid, and 3 of the dark-gray droid! the ship is NOT why i bought this, but the pieces make good fodder for other things. The instant army of droids IS why i bought this set. how fun!",FALSE,3,0,0,0,0
"Pegasi","2007-01-10T18:26:44Z","Times Have Changed","    I never thought lego would relese a nearly-true army builder.
The vehicles are interesting, because they do conform to the trade federation/ CIS look. The STAP is a great improvement on the previous design in the naboo swamp set, as it looks smooth and swooshable. The battle droid carrier, though not being movie accurate, is a good way to store battle droids without having to risk breaking their hands, and you can get them all off of there quite quickly. 
   Overall, though it is not as good a deal for the beige battle droids as the battle droid carrier, it is good if you want to build up a large seperatist army.",FALSE,4,0,0,0,0
"Jedd_the_Jedi","2007-02-06T04:24:25.41Z","Excellent Army Builder","First of all, I must say I was looking forward to the clone ones more, but this is just excellent! The STAP redesign is low on parts but smart and pretty spiffy. Unfortunately, the droid carrier looks far too thrown together. But the droids included are to die for, plus the new grunge metallic sheen on the super battle droids is one of the best paint jobs I've ever seen. However, it's far too pricey at Singapore $24.95. Still, a great set.",FALSE,4,0,0,0,0
"omgbrick","2007-02-03T20:26:26.91Z","Finally  a troop builder","I'm happy that lego has finally made troop builders something megabloks has been doing for years.First of this set contains seven droids four battle droids and three supers in a new blackish colour which makes them more acuate looking then the former ones from the gunship the stap looks sweet and i personally think its better than the onesfrom 1999.the carrior is nice though it doesn't provide any cover for the troops or supplies on it but its a nice touch overall a great set but there are only two guns for the four battle droiods 5/5 buy two or more and builkd an army.
",FALSE,5,0,0,0,0
"Evilnurn","2007-03-18T23:56:46.293Z","I've been hoping for it all my life","And in days past when my friends and I yearned to stage these battles and we finally can.

This set is the pinnacle of Lego's relationship with Star Wars. It is perfect for collectors, players, builders and diorama makers. It is the perfect balance of minifigure and set, and the price point isn't too bad. Going along with the clone set it is perfect.

My only complaint is that the Super Battle Droid Armor color doesn't match that of the original.",FALSE,5,0,0,0,0
"david001","2007-03-19T14:46:15.607Z","At long last!","Released along with its siter product #7655 (Clone Battle Pack), this set is designed primarily for those who just want to build up their Droid forces.  The vehicles provided (1 STAP and the carrier pictured above) only appear fleetingly, if at all, in the films but that's not really the point with this set.  

Now if only Lego would release a Stormtrooper battle pack!  ",FALSE,4,0,0,0,0
"A_Brickset_user","2007-06-08T00:32:31.357Z","Must Have","This is a great set

Pros.
-great army building set
-rerelease of the super battle droids
-transporter for the droids
-new S.T.A.P.
-superbattle droids look better in gray

Cons.
-i would have liked the droids to have their &quot;backpacks&quot;

This is a must for any army and a great set",FALSE,5,0,0,0,0
"A_Brickset_user","2007-06-10T11:59:55.827Z","Hmmm","Okay. I don't know where I should start to be honest. I’ve collected Lego for many years but now at the age of 15 I'm going for classics to treasure and selling on my old items. And I’ve come across this. It would be a great item to save but I'm still not to sure. 

To be blunt this droid carrier isn’t great. Let’s be fair it lacks good design and Lego initiative!!!!

BUT! And yes its a big but, this is a fantastic army builder and that’s why I will contemplate buying it. 

This model is far worse than the past version and is a classic re-make gone horrifically wrong. This one looks like a slug and is so impractical it’s unreal. But I would be a good buy, just for the droids and lets be fair you can always modify the carrier. 
",FALSE,3,0,0,0,0
"A_Brickset_user","2007-06-06T13:17:25.123Z","Great..... If your only a fan of collecting minifigs","First off who would have ever decided to create an army builder well whoever it was im happy and i bought this set just to see what its like.

Pros:
MiniFigs
Pieces
The New STAP

Cons
The Droid Carrie doesnt really have much to it except the moving swivel peices to let it turn just a little

The Super battle droid legs dont even move theyre big enough to have an extra link in them arnt they?

Overall:

I did like this set got it as a present but it better than what i expected ",FALSE,5,0,0,0,0
"bsmarthen","2007-06-06T19:18:00.043Z","great","First off there is nothing wrong with this picture, Its on the box. This set is great. Easy way to make a big battle scene. Could have done with out the tank in exchange for more minifigs. Other than that great set. ",FALSE,5,0,0,0,0
