"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"ogel646","2008-11-22T19:51:41.56Z","good for a pirates fan","The box says this set includes 6 figures,however,it just contains 5 real figures because one of them is a skeleton.

This set is also a expensive set,considering it only has 310 pieces.Anyway,some of the pieces are worthy to have,here's a list about this set:

Pros:
Exclusive female pirate
Great animals such as crab,fish,parrot,and 2 snakes
No sticker at all!All patterns are printed
The captain pirate and soldiers 
Cool weapons
Other nice accessories,such as bridge,flag,cannon...

Cons:
Should be $35,not $40
More soldiers needed

Overall,this is still a good set but can not deserve a 5/5",FALSE,4,0,0,0,0
"donneyboy","2008-11-22T22:51:05.937Z","arrg pirates be a huntin' ","i got this set today, and for those who dont know it is $39.99 USD. i got this set at my TRU, which is the place for 2009 sets. first off the figures are great. you get 5- the skeleton is not a minifig. the figures are captain brickbeard, a generic pirate,a pirate wench, and two british redcoats. the wench is awesome! and the british gaurds are sweet also, they have printed packs on their backs as well. it includes 3 bags of parts. bag 1 is the minifigs, the boat, and the front of the ship. bag 2 is the rock, and cabin. and bag 3 is the back, and mast. here is what i think the pros and cons are- 
pros- 
great structure
pirate wench
dark blue boats
no dds ( dreaded sticker sheet)
new fish
captain brickbeard
cannon!

cons- 
could have a flag on the mast
none others. 

BTW this is a limited edition set. 

overall i give this a 5/5 ",FALSE,5,0,0,0,0
"rEV300","2008-12-25T13:02:45.013Z","got it for chrictmas and its awesome","    Got this set for christmas and the minifigures are awesome.

    cons:
         it should have fire for the cannon.
  

    pros:it comes with alot of men.
         the broken ship is cool.
         it comes with alot of extra pieces.",FALSE,5,0,0,0,0
"mountainbricks","2008-11-29T13:32:02.84Z","Hooray for rolling skulls!","There is much controversy about the new Pirates, but this is one of the best sets.
Pros: 
Rolling Skull Heads (though how would it stop the soldiers?...)
Clever design and lots of accessories: snakes, crab, skeleton, weapons
Swinging blade is OK

Cons:
Not many pieces for price
Soldier Captain's head (Rascus) is overused in all the sets
Bridge doesn't work well

This was the first set I grabbed, and it's a great one.",FALSE,4,0,0,0,0
"pdcarson","2008-12-24T12:40:53.2Z","Great set, great pieces","Before I get down to the pro and con list I've got to say this set has some great out of the ordinary pieces, from the logs, to the arcs used to make the ships skeleton, to the bridge.  All the pieces are great additions to any ones collections.  As for the set traditional build its a 8/10  not the best but very original none the less.

Playability 10/10  perfect mini complement 2 Imperial and 3 pirates with a skelly thrown in for good measure not to mention all the &quot;traps&quot; the set has.

Pros
-good mini figure count (5 and 1 Skelly)
-Female Pirate
-Pirate Captain
-Bridge is a nice touch
-spare sword and oar.

Cons
-not enough treasure for the chest (I always have this bone to pick though)
-the snakes bug me they seems like a non-LEGO toy thrown in for no real reason (Consider the fish, it has a lego quality to it the snakes - not at all)
-Price is just wee bit high - but still within range of being a good value

Overall 9.7/10 - great pieces, great minis, great complement to any pirate collection, good model.",FALSE,5,0,0,0,0
"CCOOK","2008-12-05T21:43:03.09Z","Cool","Good set - can't really complain about anything except that lego doesn't like using the nice old baseplates - would've been nice to have a 32x32 stud blue baseplate with this set, but oh well.

It looks like a shipwreck which is cool, the cabin is nice, the flag looks really good (best pirate flag there is), the minifigures are detailed.  Wish it would have come with one of those new big sharks like the Brickbeard Bounty.",FALSE,5,0,0,0,0
"jinxjinx550","2009-02-19T19:16:56Z","Best of the New Pirate Sets","One of the things I really appreciate about the new pirate sets is the wealth of pieces in new colors they bring.  I was really happy to get a bunch of new dark brown stockade/log pieces as well as some slopes in this set.  Pirate sets are great in that they enable you to combine them into new interesting constructions for Castle, Forestmen, Harry Potter, and even some of the Japanese mecha settings.  It's a real plus -- the gift that keeps on giving!",FALSE,5,0,0,0,0
"jonbuddy","2009-01-26T17:38:47.607Z","""I don't get it Captain, why are we going to a shipwreck?"" ""Well, scouts have told us that it's a Shipwreck Hideout.""","Awesome set. Worth it's price of $39.99, while I personally think that the Soldier's Fort is not worth $49.99.

Good:
Captain Redbeard
Pirate Wench
Pirate
Admiral
Armada Captain
Pirate Flag
Crow's Nest
Loaded Treasure Chest
Skeleton Head x3
Fish
Snakes in the Water x2
Rare Bridge
Really looks like a Shipwreck
Crab (Awesome)
Skeleton Captain
Rifles
Newer type of Pistols
Telescopes

Bad:
Bridge has to be turned manually

Overall:
5/5
or
10/10",FALSE,5,0,0,0,0
"DevDevBeck","2009-01-04T17:59:12.327Z","Amazing new lego Pirates Set","   This is an excellent new LEGO set. In my lifetime, i have never come in contact with a pirate set, so this is my first pirate set. 6253 comes with 2 British soldiers, 3 pirates, a treasure chest, a rowboat, a parrot and many more features.
   Shipwreck Hideout is a great example of how clever the people at LEGO are, especially with the ships keel and supporters. 6253 includes a female pirate with Agent Trace's hair, A captain, and a regular pirate. There is also a commander British soldier, and his officer.
   The mast is pretty simple. Just take the mast (all one piece) and put the Barrel on top using some technic pieces. The bridge is an extremely rare piece, and it uses a pull stick to make it collapse. 
   A massive shipwreck is also included with this set. the hull veins appear to be intact, but almost all of the deck was lost to nature. The captains cabin is what the title says, it's a captains cabin. Inside is a desk with a treasure map, a cup, and a pile of sculls. The desk can be moved so the captain can send the skulls to the outside world. On the roof of the cabin is a cannon with a pretty cool pirate flag. Underneath he cabin is a booby trap and a treasure chest. Although not visible in the picture, there is a ship wheel behind the cabin on the keelline floor.
   The last part of the shipwreck hideout os th english boat. The minifigures are cool, but the boat is pretty basic.
   Remember, this is a limited edition set and is likely to go off store shelves soon, so get yours now!
DevDev",FALSE,5,0,0,0,0
"jakelongdragon","2009-02-25T05:21:21.717Z","Yo-ho-ho and a treasure of bricks!","""This a great booty for any Pirate fans of Legos.

First this set is as filled with traps and adventure fun as the Indiana Jones series. These traps include a swinging sword area, a hidden cache with rolling skeleton heads, and a flipping bridge. The main hideout is ship cabin with a nice door, windows and a table. The bridge links the cabin to a ship mast and lookout. Those great features make this Pirate set a step above the rest. It is lots of fun both to build and play with and there an infinite way to re-arrange the traps and the various parts of the hideouts.

Another great treasure comes from the huge variety of rare and special pieces and the awesome minifigs. Any lego sea rover will love the shipmast with a lookout area, steering wheel, ship rib pieces, jolly roger and redcoat flags, boat dinghies and a bridge in one piece, as well as all the pirate-related weapons (3 rifles, 3 swords and 2 guns) and tons of accessories. 

The minifigs are really beautiful especially Brickbeard (the lego pirate captain). Brickbeard is just awesome-looking with his peg leg, hook hand, and eyepatch. He wears a really nice captain costume and a hat with a jolly roger. There is also a female pirate (with an eyepatch as well), a regular pirate crew, a redcoat officer with a tricorn hat, a redcoat soldier with a tall hat and a skeletion. All minifigs are printed both front and back and are very detailed!

Lego Pirates sets are a bit pricey but they are as nice looking and full of details as Lego Castle and as much fun as Indiana Jones sets so they are really worth it; and the Shipwreck hideout is really the best deal of the series for the fun and the money.

Arrr! Mateys! This is a pirate life for everyone!"" ",FALSE,5,0,0,0,0
