"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"meyerc13","2009-12-17T02:32:10.827Z","Nice figure, but accessories could be better","Found this set for $3.49 and picked it up tonight.  On the plus side, you get a civilian min-fig, someone for your fire fighters to save or your police officers to arrest.  He also has some useful pieces, a computer screen, suitcases, a camera, a satchel, and the small wheels from his luggage cart.<br><br>The luggage cart might be nice if you have a hotel, airport, or train station.  If you are like me and your LEGO town doesn't have those destinations, the parts from the luggage cart and departure sign will most likely be used for other creations.<br><br>I think this guy is worth picking up, but I think you'd have a hard time finding a reason to pick up more than one.  Your town can always use a few chefs, police officers, fire fighters, construction workers, etc.  However, the parts here aren't interesting enough to justify picking up more than one of these guys.  For that reason I'm knocking it down one star.  I hope LEGO gives us more civilian sets like this, but they need to include accessories that are useful for filling your LEGO City.  Things like bicycles, furniture, etc. you can always use more of.  Luggage carts?  Not so much.<br><br>Edit (12/14/2010) - It's been almost a year since I posted this review.&nbsp; Since that time I've actually picked up a few more of this set, so I have to retract what I said above - that I would have a hard time finding a reason to pick up more than one.&nbsp; The reason is that this is a great parts pack.&nbsp; As I predicted above the parts from the cart and sign have been turned to other uses.&nbsp; I used the wheels from the luggage cart to make hospital beds, and the screens are computer monitors (also in the hospital).&nbsp; My overall rating of 4 stands, but I've added a breakdown to show that as a Parts pack this set is worth picking up more than one.<br>",TRUE,4,5,3,4,4
"aplbomr79","2009-12-30T02:18:50.53Z","Makes a good stocking stuffer...","It is an alright set.  I am not understanding the Space logo though (on the Mini-Fig).  This is a great add on to many other sets such as a Train Depot, Airplane/Airport, or as a passenger for the bus in the City Corner set (7641), or even the Camper (7639).

Pros:
1. The Camera is a great addition to this set.
2. This is the first time I seen a satchel (manPurse) used effectively.
3. The dual suitcases are a nice touch.
4. It is less than $5 (USD)

Cons:
1. The Space Emblem on the jacket... not sure where this really fits with the sets of today.
2. The Video Screen is not clear... not sure what it is supposed to be.

Again, for less than $5, it is a set that you can use as a stocking stuffer or to include with another appropriate set.",FALSE,3,0,0,0,0
"indykid","2010-07-30T21:51:23.647Z","Awesome find!","I was searching for this set for months after I walked into Toys 'R' Us without money (big mistake). I finally got it along with the Farmer set. I like how the computer screen isn't a sticker. I also like the black suitcase 9and the brown)&nbsp;because&nbsp;I only had 2 brown ones and a grey one. The trolly is cool except it doesn't hold the camera but oh well. The minifigure is very cool and he has a camera!&nbsp;The price was&nbsp;$2 higher than it&nbsp;is listed&nbsp;in other places but that's ok.&nbsp;I like this set very much and I highly reccommend it!",FALSE,5,5,3,4,4
"spyder38","2010-03-03T20:35:43.45Z","Absolutely Fantastic...","<p>This whole set is basically a parts set. Just look at all the accessories it comes with. I bought two of 'em, it's such a good value! Not much of a building experience, because ou don't build much. The cart could be a bit better, but it's fine the way it is.</p>
<p>Pros: </p>
<ul>
    <li>great accessories, like the suitcases and sidebag.</li>
    <li>some nice parts too, like the tiny wheels on the underside of the cart, and the computer screen in bley</li>
    <li>relatively cheap</li>
</ul>
<p>Cons:</p>
<ul>
    <li>although a great set, the total cost of it is about $4, a little expensive for 21 pieces.</li>
</ul>
<p>&nbsp;</p>
<p>This is a must buy for any Lego collector, especially if you are a City fan.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",TRUE,4,5,4,3,5
"Harm1","2010-01-22T13:43:15.217Z","Great little set","This is definately one of my favourite sets. Given the size it includes many useful/rare pieces such as:

- Computer screen (no sticker)
- New 1x1 brick with 1 stud on side
- 2-wide cheese slope
- dark brown suitcase
- hairpiece
- camera

This set is way better then some of the last series of mini-city sets that included only more of the same common pieces and policemen/firefighters that are around in countless of other sets.

All in all, it's a great little set!",FALSE,5,0,0,0,0
"Roketah","2010-07-05T01:29:28.26Z","Airport stuff","<p>This Was A Alright Set With Alot Of Cool Stuff I Only Got It For The Black Suitcase And The Camera....</p>
<p><strong>Minifig</strong> A Good Job On This One, With Camra, Space Jacket, Orange Hair And The Face Is Flawless</p>
<p>&nbsp;<strong>Pros</strong></p>
<ul>
    <li>Good MiniFig, Im Low On Towns People</li>
    <li>Indiana Jones Pouch</li>
    <li>Suit Cases<strong> (</strong>Brown And Black<strong>)</strong></li>
    <li>Computer That Tells Times Of Flights</li>
    <li>Trolly</li>
    <li>Camera</li>
</ul>
<p>&nbsp;<strong>Cons</strong></p>
<ul>
    <li>Suitcase's Funk-Around In The Trolly</li>
    <li>Camera Is Impossible To Be Held Upright</li>
    <li>Pointless Without Plane's <strong>(</strong>Which I Have None<strong>)</strong></li>
</ul>
<p>&nbsp;Great Set Find It Buy It.... :)</p>",TRUE,4,2,3,4,5
"Jedisquidward","2011-02-05T22:40:29.73Z","Hey! A set that didn't really need to be made! Cool!","This set has 1 minifigure and he is actually pretty good. It has good parts to make a modern fig for collectors (Such as I) who don't really have that many City sets. It has a screen on a stick which was completely unnecessary. Then again, if they did not put in in, this set would have been simply too small to sell by itself. There Is a small cart which I don't know why, but seems very well designed.<br><br>The building experience is limited, but it could be worse. You could have bought a magnet set of keyring. The parts are really nothing new. But the value for money is actually quite good.<br><br>In the end, I reccomend this set but only if you are using the minifig parts.<br>",TRUE,3,1,2,1,3
"Firox_5000","2010-08-26T15:02:28.79Z","Small traveler","<p>I bought this from the lego shop for £2.49. After a&nbsp; 3 minute build you get a figure,trolley with suitcases and tv moniter. </p>
<p>&nbsp;</p>
<p>The figure is very nice with sleek ginger hair as well as a camera and casual clothing printed. The trolley is also quite nice , simple but nice addition.&nbsp;The tv moniter should be a bit shorter as it feels a bit bulky. </p>
<p>&nbsp;</p>
<p>This a good little set which is very good for building up a mini figure collection. </p>",TRUE,4,3,3,5,3
"AETerry","2010-09-07T15:59:49.91Z","Great Small/Impulse Set","<div class=""description""><p>I nailed and picked up this set due to being small, for the accessories, the new camera, more suitcases, minifigure and pouch. </p>



<p>It's still great for the value and playability though at $3.99 and makes it an easy impulse set to grab up.<br></p></div>
<h4>Instructions</h4><p>The instructions are printed on a folded sheet paper with LEGO's easy to follow step-by-step illustration.</p>
<h4>Parts</h4><p>As a small set, there's only 21 pieces to it. Most notable are the suitcases, satchel and camera accessories along with the printed monitor tile.<br></p>
<h4>Minifigures</h4><p>There is only one minifigure with this set. It features the new, reddish-brown short tussled hair and new sports jacket with the classic space symbol.<br></p>
<h4>The build and completed model</h4><p>Considering that this is a small set, there isn't much of a build to it. The most complicated part of this set is the yellow trolley that the suitcases are carried on. Next to it is the simple build of the Flight Monitor that the traveler can watch to make sure he doesn't miss his flight.<br></p>
<h4>Summary</h4><p>This is still a good set, it works as a compliment to a larger Airport set, filling it out. Otherwise it has a potential of feeling out of place in a larger LEGO collection unless gotten for pieces.<br></p>",TRUE,4,4,3,5,5
"Doctor_Leg_O_Brick","2010-09-26T11:08:25.967Z","Amazing if you have a airport.....","<p>As the title reads, this set can only be used in a airport. Well, i think you could the trolly and the minifigure some where else but i think if that happened the sign/moniter&nbsp;woud go the way of the parts bin. I was lucky because i had made an airport rather than spend £70 on buying one.</p>
<p>&nbsp;</p>
<p>THE BUILD </p>
<p>1 minute at the most. Simple and fun. The instuction page is just..well...a page. No stikers as all impuse sets have none.</p>
<p>&nbsp;</p>
<p>THE PARTS</p>
<p>You get two suit case's one black, one brown.&nbsp;The&nbsp;sign post piece, usefull if your city needs some. </p>
<p>&nbsp;</p>
<p>THE PLAYABILITY</p>
<p>Not very good if its on its own. If you have other sets thats great. Even if you&nbsp;have a small super market or just want it for the figure.</p>
<p>&nbsp;</p>
<p>THE MONEY</p>
<p>£2.50-£3 GP&nbsp;is good.</p>
<p>&nbsp;</p>
<p>THE OVERALL RATING</p>
<p>This has to have five bricks next to its name. If you see it, by it!&nbsp;</p>",TRUE,5,5,2,2,5
