"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"Nightshroud99","2009-05-23T09:32:00.327Z","Good for Parts","This set really isn't that good. It has alot of technic pieces which I hate building with and the vehicles just aren't that good.

PROS:
Gold Pieces: Gold Hair, gun, dinosaur statue
Agent Swipe: New agent but really just a regular city face with added headset and raised eyebrows.
Gold Tooth: Cheap way to get him.
Wheels: I like getting wheels lol
New agents armor

CONS: 
Stickers
Alot of Technic Parts
No handlebars on Gold Tooths Bike
A little overpriced

Overall if you want a good starter set for Agents get last years Jetpack Pursuit, its much better. The set is worth getting if you don't have Gold Tooth, but I'm still thinking about picking up Gold Hunt just because its cool. Also check out my YouTube channel I post LEGO reviews!!http://www.youtube.com/user/Nightshroud99",FALSE,3,0,0,0,0
"r3s6714","2009-05-27T19:18:16.233Z","he got away? probaly","cool set<br><br>     pros:agent swipe<br>             gold thooth<br>              agent body armor<br>              cool vehiales<br>              good working flick missles<br>              gold satue<br>              orange telascope<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp; cons; alittle over priced<br> <br>    i would not&nbsp;recamend this set to anyone",TRUE,3,4,2,2,2
"andy87","2009-06-28T17:42:34.843Z","ok little set","pros: i like the bikes, sweet new agent figure and goldtooth has his gun!

cons: the new agent has a weird looking hairpiece and it doesn't fit his look and goldtooth's bike doesnt have handlebars.

4/5",FALSE,4,0,0,0,0
"captain_radda_radda","2009-05-31T15:50:42.233Z","Great start to the summer sets","I bought this set yesterday and was quite pleased. It was very easy to build and had many new and rare elements. The bike fits in Dr. Infernoes base perfectly and actually looks goof with anyone on it. 

Pros:
The vest
The hair
The t-rex and the gun
The bike

Cons:
Is Gold-tooth Jesus, because there are no handle bars!
Swipe has no weapon
Swipes bike is very small. ",FALSE,4,0,0,0,0
"Greyface","2009-05-30T18:45:15.89Z","[Groan] Another stolen dinosaur statue...","This set is pretty good for only $10. Gold Tooth isn't anything special, kind of a ""been there, done that"" thing, but Agent Swipe rocks! What's even better is his protective armor.

I felt the vehichles were pretty good for the money. Gold Tooth's quad bike is awesome, while I am pleased, but not as much, with Agent Swipe's 3-wheeler. In actuality, the 3-wheeler is unimpressive, and its highlight is its cannons, which are way too flimsy and aren't in a fixed position. The bike is actually better, however, than the development images of the set found on Boris's Bricks and/or Brickshelf. This set is a good one overall, especially if you're a major Agents collector like me.",FALSE,3,0,0,0,0
"tman684","2009-07-13T15:51:02.013Z","gold tooths getaway","i thought this set was really good. it comes with goldtooth, agent swipe, a gold dinosaur,and flick-fire missiles, all in a cheap set

pros: minifigs, and dino.

cons:flick-fire missiles turn when you try to flick them. and for people who dont like stickers, it has 4 stickers.",FALSE,4,0,0,0,0
"Pepper","2009-12-31T15:29:52.577Z","My first (yes it's true) Agents set","I got this set on a few days ago for Christmas from my aunt. It's very cool, except for the fact that there are no handlebars on Gold Tooth's motorcycle.<br/><br/>pros:<br/>-Agent Swipe and his cool vest<br/>-Gold Tooth with an awesome gold (painted) gun<br/>-gold dino statue<br/>-flick-fire missles (yes, I like them!)<br/>-orange telescope<br/>-nicely built 3-wheeler and motorcycle<br/><br/>cons:<br/>-$10 is a little steep (should be $7)<br/>-no handlebars on Gold Tooth's motorcycle<br/>-no gun for Swipe<br/>-gold paint wears off<br/><br/>Overall, this is a set that I recommend, with handlebars on the bike and a gun for Swipe, I would give it a 5. But if you just want Gold Tooth, get 8630 gold hunt instead, my friend has it and it's a lot cooler.",TRUE,4,4,3,4,3
"michaelvader","2010-01-01T12:56:14.89Z","Happy New Year!","I like this set but there is some cons...

pros:
Gold dino
laser cannon in front of gold tooth's motorcycle
only a few stickers
The minifigs are awesome!

cons:
flick-fire
I have like 3 gold tooths now!
still stickers
no gun for agent

ok its a good set so I say get it if you like agents and Happy New Year!",FALSE,4,0,0,0,0
"Alemas","2010-03-04T14:45:39.2Z","""Haha, now I'll escape- Hang on, where are the handlebars?!?""- Gold Tooth escaping","<h4>Overview</h4>
<p>This set was launched in Summer 2009, when the Agents 2.0 theme was launched. It was actually called &quot;Agents&quot;, but for its second wave LEGO renamed it &quot;Agents 2.0&quot;.</p>
<h4>Features</h4>
<ul>
    <li>Flick-fire missiles</li>
    <li>Ummm... that's it, I'm afraid... playability will suffer as a result...</li>
</ul>
<h4>Building Experience</h4>
<p>Woah, WHAT building experience? This set has only two small vehicles, so build time was... I think 5 minutes. Too quick. 3/5</p>
<h4>Parts</h4>
<p>Woah... A gold pistol, a gold dinosaur, gold hair, tan hair, a motorcycle body, and a new PRINTED Agents body armour! 5/5</p>
<h4>Playability</h4>
<p>Ouch. Well, we have flick-missiles, but they barely work. Also, the Agent doesn't have any hand weapon, so the missiles are his only weapons! If those fail, bye bye Gold Tooth. Also, Tooth's bike doesn't have handlebars because the body is built on Technic pieces. Pretty poor. 3/5</p>
<h4>Value for Money</h4>
<p>&pound;8.79 for this? Not exceptional. 4/5</p>
<h4>Overall</h4>
<p>Not so good. The parts make up for this though, but playability isn't good, and the two vehicles are, frankly, cheap-looking. Not recommended. 4/5</p>",TRUE,4,5,3,3,4
"hobby_boy","2009-09-23T15:50:40.357Z","2.0 mission 1","I got this set as a birthday present from my friend in late August.

Pros:
- New agent
- New body armer
- the car can come off the wheels to make a hovercraft
- nice dino
- good dr inferno bike

Cons:
- Missiles don't work well

Apart from that its quite a good set. You should get it!
",FALSE,5,0,0,0,0
"Stayontargetprod","2009-10-17T19:25:33.077Z","Could be better...","This set could be better. The agent  motorcycle is kinda lame. The rockets don't work well. And way too many technic pieces on both bikes. 

On the other hand, Gold Tooth has a cool motorcycle. Nice pieces. Just a hard build. At least the bike stays together well.",FALSE,3,0,0,0,0
