"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"A_Brickset_user","2004-12-05T13:15:40Z","Neat little wheely car!","I just got this set, and it's really cool. It can do wheelies! I like the big wheels and the color scheme. There are a few pieces that would be good for building in this set, like the windshield.This set also has a partner you can combine it with, which I might like to get. Overall, I give it an eight,Lego's done a good job.",FALSE,4,0,0,0,0
"Alemas","2009-05-23T16:30:04.903Z","WHEEEEEELIES!","Yep, it can do wheelies! It has huge wheels, nice sidepipes, pull-back motor, trans-blue 1x1 round plates, and wheelie function!

Pros:

Wheels
Sidepipes
Trans-blue pieces
Pull-back motor
Wheelies!

Cons:

None!

Overall, a wheelie good set! LOL!",FALSE,5,0,0,0,0
