"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"A_Brickset_user","2004-11-09T13:56:59Z","loved it!","Yep,the title is right!This set is an amazing set!,it goes off SMALL jumps very well,and has a fast,long run pull back motor.It is a very efficent set and is very well decorated on the chassis.The best thing is it`s made by Exo-Force!,one of the three best teams,that one,Nitro,and Mavrick!",FALSE,4,0,0,0,0
"gome4","2009-08-28T13:22:07.89Z","pretty cool","this is a cool set, but i was disappointed that you cant fit a lego figure on it, thats why i rated it 4

pros
looks cool
pull back motor
fun to build

cons
if one piece falls off, you need to look in the instruction manual to see where it goes

overall this is a cool set",FALSE,4,0,0,0,0
